contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $35K And-One [20 Entry Max],550,Classic,123724568,1,20,35000,Thu 7:00PM,41,41617,63631,35000
NBA $350K Fadeaway [$100K to 1st],8250,Classic,123724572,15,150,350000,Thu 7:00PM,7,27450,63631,23333.3333333333
NBA $80K Four Point Play [20 Entry Max],2200,Classic,123724570,4,20,80000,Thu 7:00PM,28,23781,63631,20000
NBA $17.5K And-One (Night),550,Classic,123678947,1,20,17500,Wed 10:00PM,12601,20808,63543,17500
NBA $15K And-One (Night),550,Classic,123718049,1,20,15000,Thu 10:00PM,82,17835,63638,15000
NBA $175K Fadeaway [$50K to 1st] (Night),8250,Classic,123692891,15,150,175000,Wed 10:00PM,7705,13725,63543,11666.6666666667
NBA $30K Jab Step [$5K to 1st] (Night),3300,Classic,123678945,6,150,30000,Wed 10:00PM,3691,5882,63543,5000
NBA $25K Zone [$5K to 1st],2750,Classic,123718105,5,150,25000,Thu 7:00PM,7,5945,63631,5000
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,123718043,6,150,26000,Thu 10:00PM,8,5098,63638,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,123724574,6,150,26000,Thu 7:00PM,0,5098,63631,4333.33333333333
NBA $8.5K mini-MAX [150 Entry Max],1100,Classic,123718091,2,150,8500,Thu 7:00PM,1,5053,63631,4250
NBA $5K Hot Shot [3 Entry Max],1650,Classic,123718090,3,3,5000,Thu 7:00PM,3,1981,63631,1666.66666666667
NBA $5K Sharpshooter [20 Entry Max],1650,Classic,123718106,3,20,5000,Thu 7:00PM,0,1981,63631,1666.66666666667
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,123718149,10,52,15000,Thu 7:30PM,4,1764,63665,1500
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,123718150,1,20,1500,Thu 7:30PM,37,1783,63665,1500
NBA $6K Four Point Play [20 Entry Max] (Night),2200,Classic,123678946,4,20,6000,Wed 10:00PM,1272,1783,63543,1500
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,123718031,1,20,1500,Thu 8:00PM,13,1783,63636,1500
NBA $2 Double Up,1100,Classic,123718103,2,20,3000,Thu 7:00PM,1,1724,63631,1500
NBA $6K Four Point Play [20 Entry Max] (Night),2200,Classic,123718048,4,20,6000,Thu 10:00PM,21,1783,63638,1500
NBA $10K Pull Up Jumper [$2K to 1st] (Turbo),5500,Classic,123718025,10,35,10000,Thu 8:00PM,4,1176,63636,1000
