contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA Showdown $4K All Star [Single Entry] (Must Fill) (MEM vs LAL),583000,Showdown Captain Mode,154311491,1060,1,4000,Tue 10:30PM,0,4,95836
NBA Showdown $267 Winner Take All [$1K to 1st] (Must Fill) (MEM vs LAL),146850,Showdown Captain Mode,154311496,267,1,1000,Tue 10:30PM,2,4,95836
Reignmakers 2023 Holiday Pack Special [3 Packs to 1st!!] (MEM vs LAL),13200,Showdown Captain Mode,154281318,24,1,389.97,Tue 10:30PM,7,19,95836
Reignmakers 2023 Holiday Pack Special [3 Packs to 1st!!] (MEM vs LAL),13200,Showdown Captain Mode,154281317,24,1,389.97,Tue 10:30PM,6,19,95836
"NBA Showdown Satellite to $4,494 NFL Showdown MEGA Millionaire (11-20) [Must Fill] (MEM vs LAL)",872850,Showdown Captain Mode,154248730,1587,1,4494,Tue 10:30PM,2,3,95836
"NBA Showdown Satellite to $4,444 NFL Fantasy Football MEGA Millionaire [Must Fill] (MEM vs LAL)",863500,Showdown Captain Mode,154248729,1570,1,4444,Tue 10:30PM,2,3,95836
NBA Showdown Satellite to 12-12 NHL $888 Abominable Snowman [Must Fill] (MEM vs LAL),133100,Showdown Captain Mode,154248735,242,1,888,Tue 10:30PM,0,4,95836
NBA Showdown Satellite to NAS 2-18 Screaming Eagle [Must Fill] (MEM vs LAL),99550,Showdown Captain Mode,154248734,181,1,500,Tue 10:30PM,0,3,95836
NBA Showdown Satellite to 2024 NAS America's Race [Must Fill] (MEM vs LAL),4400,Showdown Captain Mode,154248728,8,1,36,Tue 10:30PM,2,5,95836
NBA Tiers $25K Zone [$5K to 1st],2750,Tiers,154303735,5,150,25000,Wed 7:00PM,180,5945,95943
NBA Tiers $7K And-One,550,Tiers,154290626,1,20,7000,Wed 7:00PM,188,8323,95943
NBA Tiers $1.5K High Five [Single Entry],2750,Tiers,154290629,5,1,1500,Wed 7:00PM,11,356,95943
NBA Tiers $2.2K Posterizer [Single Entry],82500,Tiers,154290623,150,1,2200,Wed 7:00PM,1,16,95943
NBA Tiers $1.5K Sharpshooter,1650,Tiers,154290630,3,17,1500,Wed 7:00PM,9,594,95943
NBA Showdown $15K Pull Up Jumper [$5K to 1st] (DAL vs WAS),5500,Showdown Captain Mode,154290634,10,52,15000,Wed 7:00PM,63,1764,95944
NBA Showdown $1.5K High Five [Single Entry] (DAL vs WAS),2750,Showdown Captain Mode,154290633,5,1,1500,Wed 7:00PM,9,356,95944
NBA Showdown $2.57K Posterizer [Single Entry] (DAL vs WAS),82500,Showdown Captain Mode,154290635,150,1,2570,Wed 7:00PM,1,19,95944
NBA Showdown $3K And-One [20 Entry Max] (DAL vs WAS),550,Showdown Captain Mode,154290636,1,20,3000,Wed 7:00PM,69,3567,95944
NBA Showdown $1K Sharpshooter (DAL vs WAS),1650,Showdown Captain Mode,154290640,3,11,1000,Wed 7:00PM,10,396,95944
NBA Showdown $15K Pull Up Jumper [$5K to 1st] (BOS vs PHI),5500,Showdown Captain Mode,154290656,10,52,15000,Wed 7:30PM,20,1764,95946
NBA Showdown $1.5K High Five [Single Entry] (BOS vs PHI),2750,Showdown Captain Mode,154290655,5,1,1500,Wed 7:30PM,9,356,95946
