contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $400K Fadeaway [$100K to 1st],8250,Classic,116249542,15,150,4e+05,Thu 7:30PM,1094,31372,58120,26666.6666666667
NBA $25K And-One [20 Entry Max],550,Classic,116249539,1,20,25000,Thu 7:30PM,1778,29726,58120,25000
NBA $50K Sharpshooter [20 Entry Max],1650,Classic,116249537,3,20,50000,Thu 7:30PM,868,19817,58120,16666.6666666667
NBA $22K Zone [$5K to 1st],2750,Classic,116249543,5,150,22000,Thu 7:30PM,326,5231,58120,4400
NBA $26K Jab Step [$5K to 1st],3300,Classic,116249544,6,150,26000,Thu 7:30PM,340,5098,58120,4333.33333333333
NBA $4K And-One (Night),550,Classic,116248527,1,20,4000,Thu 8:00PM,249,4756,58124,4000
NBA $10K Stretch Four [3 Entry Max],2200,Classic,116248461,4,3,10000,Thu 7:30PM,103,2972,58120,2500
NBA $2 Double Up,1100,Classic,116248494,2,20,5000,Thu 7:30PM,101,2873,58120,2500
NBA $30K Fadeaway [$10K to 1st] (Night),8250,Classic,116260900,15,70,30000,Thu 8:00PM,17,2352,58124,2000
NBA $5 Double Up,2750,Classic,116248493,5,34,5000,Thu 7:30PM,42,1149,58120,1000
NBA $5 Double Up,2750,Classic,116248496,5,34,5000,Thu 7:30PM,24,1149,58120,1000
