contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $10K And-One (Night),550,Classic,120955545,1,20,10000,Mon 10:00PM,11305,11890,61027,10000
NBA $6K And-One (Night),550,Classic,121023878,1,20,6000,Tue 8:30PM,45,7134,61040,6000
NBA $80K Fadeaway [$20K to 1st] (Night),8250,Classic,120968215,15,150,80000,Mon 10:00PM,5577,6274,61027,5333.33333333333
NBA $22K Zone [$5K to 1st],2750,Classic,121023806,5,150,22000,Tue 7:30PM,9,5231,61033,4400
NBA $26K Jab Step [$5K to 1st],3300,Classic,121023805,6,150,26000,Tue 7:30PM,10,5098,61033,4333.33333333333
NBA $8.5K mini-MAX [150 Entry Max],1100,Classic,121023807,2,150,8500,Tue 7:30PM,7,5053,61033,4250
NBA $2K And-One (Night),550,Classic,121033777,1,20,2000,Mon 10:00PM,325,2378,61027,2000
NBA $5K Hot Shot [3 Entry Max],1650,Classic,121023837,3,3,5000,Tue 7:30PM,6,1981,61033,1666.66666666667
NBA $2 Double Up,1100,Classic,121023834,2,20,3000,Tue 7:30PM,5,1724,61033,1500
NBA $4K Sharpshooter,1650,Classic,121023836,3,20,4000,Tue 7:30PM,1,1585,61033,1333.33333333333
NBA $4K Four Point Play (Night),2200,Classic,120955544,4,20,4000,Mon 10:00PM,1148,1189,61027,1000
