abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
A. Davis,Anthony Davis,PF/C,CHA,50.6,"$10,600",4.77,34.02,26.7,10.8,3.0,1.1,1.7,2.0
N. Jokic,Nikola Jokic,C,MIA,50.3,"$11,100",4.53,34.11,23.3,11.2,6.9,1.3,0.8,3.1
L. Doncic,Luka Doncic,PG/SG,NO,48.1,"$10,200",4.72,33.86,26.3,7.6,8.0,1.1,0.5,4.1
S. Curry,Stephen Curry,PG,ATL,47.1,"$9,800",4.81,34.67,30.2,5.9,5.9,1.2,0.2,3.2
K. Durant,Kevin Durant,SF/PF,BKN,46.8,"$10,500",4.45,34.11,27.1,7.6,4.9,0.9,1.2,3.1
R. Westbrook,Russell Westbrook,PG/SG,CHA,45.8,"$9,400",4.87,34.96,19.2,8.5,10.5,1.3,0.3,4.2
K. Towns,Karl-Anthony Towns,C,MIN,44.8,"$10,100",4.43,35.01,24.1,9,4.5,0.9,1.2,3.2
J. Harden,James Harden,SG/PG,BKN,44.7,"$9,600",4.65,35.42,20.0,7.6,8.9,1.1,0.8,3.5
J. Randle,Julius Randle,PF/C,NY,42.6,"$9,500",4.48,36.89,21.8,9.9,5.6,0.9,0.3,3.1
J. Morant,Ja Morant,PG,MIN,41.9,"$9,100",4.6,34.42,24.5,4.4,7.8,1.1,0.2,3.5
L. Ball,LaMelo Ball,PG,CHA,41.9,"$8,700",4.81,34.10,20.8,6.8,6.6,1.6,0.4,3.0
J. Butler,Jimmy Butler,SF/SG,MIA,41.8,"$9,700",4.31,34.01,20.2,6.7,5.6,2.0,0.4,2.0
T. Young,Trae Young,PG,ATL,41.0,"$8,500",4.82,34.12,23.5,3.8,8.8,1.0,0.2,3.9
J. Valanciunas,Jonas Valanciunas,C,NO,41.0,"$8,500",4.82,31.41,18.0,13.5,2.1,0.7,1.1,1.8
A. Drummond,Andre Drummond,C,NY,40.3,"$5,500",7.33,33.72,12.6,14.7,2.9,1.5,1.4,3.0
N. Vucevic,Nikola Vucevic,C,BKN,39.7,"$7,700",5.15,34.68,16.4,11.8,3.6,1.0,0.8,1.7
Z. LaVine,Zach LaVine,SG/PG,BKN,37.9,"$8,000",4.74,34.46,24.6,4.9,4.3,0.8,0.5,2.9
D. Fox,De'Aaron Fox,PG,PHX,37.9,"$7,400",5.12,36.04,21.8,4,5.8,1.5,0.4,3.1
D. Booker,Devin Booker,SG,PHX,37.6,"$8,500",4.43,34.99,25.1,4.7,4.4,0.9,0.2,3.0
C. Paul,Chris Paul,PG,PHX,37.6,"$8,300",4.53,31.92,15.7,4.7,9.0,1.4,0.3,2.3
D. DeRozan,DeMar DeRozan,SG/SF,BKN,37.0,"$8,500",4.35,33.85,22.9,4.4,4.6,0.9,0.3,1.7
B. Adebayo,Bam Adebayo,C/PF,MIA,36.8,"$8,400",4.38,34.16,16.9,9.4,3.1,1.1,1.1,2.6
M. Bridges,Miles Bridges,SF,CHA,36.6,"$8,300",4.4,34.25,20.8,7,2.5,0.9,0.9,1.8
B. Ingram,Brandon Ingram,SF,NO,35.6,"$8,200",4.34,32.73,21.3,4.9,4.6,0.7,0.6,2.4
A. Edwards,Anthony Edwards,SF/SG,MIN,35.5,"$7,900",4.5,34.90,21.2,5.6,3.2,1.2,0.5,2.3
D. Russell,D'Angelo Russell,SG/PG,MIN,34.9,"$7,300",4.77,32.73,18.7,3.5,6.5,1.2,0.5,2.9
D. Green,Draymond Green,PF/C,ATL,34.6,"$7,300",4.74,31.18,8.5,7.5,8.4,1.5,0.9,2.7
C. Capela,Clint Capela,C,ATL,34.1,"$6,300",5.42,28.18,11.3,12.7,0.8,0.7,1.8,1.1
J. Jackson,Jaren Jackson Jr.,PF/C,MIN,33.6,"$6,300",5.34,30.68,16.4,6.9,1.5,1.0,1.8,1.7
R. Holmes,Richaun Holmes,C/PF,PHX,33.5,"$7,200",4.65,31.36,13.8,9.5,1.8,0.7,1.6,1.3
H. Barnes,Harrison Barnes,SF/PF,PHX,33.0,"$7,400",4.46,36.32,17.6,7.4,3.4,0.8,0.2,1.6
K. Porzingis,Kristaps Porzingis,PF/C,NO,32.9,"$7,100",4.63,28.81,16.9,7.9,1.4,0.6,1.3,1.3
L. Ball,Lonzo Ball,PG,BKN,32.4,"$5,900",5.49,34.86,13.5,5.3,5.5,1.5,0.7,2.3
