name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
L. James Q,$10.8k,PG/SF,0,LAL,POR,3,-7.5,222,114.8,44.8,55.2,64.8,51.3,4.75
LaMelo Ball,$8.8k,PG,1,CHA,CHI,19,+1.5,236.5,117.5,24.5,40.4,63.5,49.5,5.63
S. Curry,$10.3k,PG,1,GSW,UTA,16,+1.5,224.5,111.5,35.8,50.0,66.8,48.5,4.71
A. Davis Q,$10.1k,C,0,LAL,POR,26,-7.5,222,114.8,44.3,56.1,68.3,48.3,4.78
D. DeRozan,$9.6k,PF,1,CHI,CHA,25,-1.5,236.5,119,48.0,54.8,67.3,47.0,4.9
K. Towns,$9.7k,C,0,MIN,SAC,12,-8,234.5,121.3,40.3,51.0,67.8,47.0,4.85
D. Murray,$10.6k,PG,4,SA,CLE,6,+5.5,216.5,105.5,47.3,54.2,64.3,46.8,4.41
N. Vucevic,$9.5k,C,1,CHI,CHA,20,-1.5,236.5,119,32.5,50.2,70.8,45.8,4.82
P. Siakam,$9.4k,PF/C,1,TOR,OKC,1,-10,204,107,45.0,50.4,58.3,44.8,4.76
D. Mitchell,$8.6k,PG/SG,1,UTA,GSW,23,-1.5,224.5,113,32.3,43.5,58.8,44.0,5.12
Zach LaVine,$9.1k,SG,1,CHI,CHA,29,-1.5,236.5,119,34.0,40.7,52.5,43.0,4.73
Fred VanVleet,$8.7k,PG,1,TOR,OKC,30,-10,204,107,38.3,43.8,50.0,42.0,4.83
J. Nurkic,$8.2k,C,0,POR,LAL,23,+7.5,222,107.3,29.8,37.3,43.3,40.8,4.98
M. Bridges,$7.8k,SF/PF,1,CHA,CHI,5,+1.5,236.5,117.5,11.3,33.5,49.5,40.5,5.19
T. Rozier,$6.9k,PG/SG,1,CHA,CHI,19,+1.5,236.5,117.5,20.8,31.7,41.3,38.5,5.58
R. Westbrook Q,$9.2k,PG,0,LAL,POR,3,-7.5,222,114.8,21.0,35.4,49.3,37.8,4.1
De'Aaron Fox,$7.7k,PG,0,SAC,MIN,5,+8,234.5,113.3,22.8,41.3,49.5,37.0,4.81
A. Simons,$7.3k,PG,0,POR,LAL,27,+7.5,222,107.3,17.3,28.5,35.3,37.0,5.07
