name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
G. Antetokounmpo,$12.5k,PF/C,2,MIL,LAL,11,-9,222,115.5,43.3,54.0,67.0,54.5,4.36
J. Butler Q,$9.4k,SF,6,MIA,NO,21,-7.5,213,110.3,12.5,35.7,51.8,51.9,5.52
K. Towns,$10.4k,C,1,MIN,SAC,7,-2.5,227,114.8,30.0,46.3,56.8,49.8,4.78
K. Durant,$11.5k,SF/PF,0,BKN,CLE,15,-9.5,206.5,108,29.8,45.5,59.8,49.8,4.33
J. Harden,$11.3k,PG,0,BKN,CLE,4,-9.5,206.5,108,33.5,47.4,68.8,49.8,4.4
A. Davis Q,$10.9k,PF/C,1,LAL,MIL,12,+9,222,106.5,29.0,52.3,68.5,47.8,4.38
J. Tatum,$10.2k,SF/PF,1,BOS,ATL,4,+5,216,105.5,26.5,45.9,57.3,47.0,4.61
R. Westbrook,$11.0k,PG,1,LAL,MIL,26,+9,222,106.5,29.3,48.3,67.5,46.3,4.2
Bradley Beal,$9.8k,SG,6,WAS,CHA,23,+1,220.5,109.8,28.8,38.5,48.3,43.8,4.46
J. Randle,$9.9k,PF/C,1,NY,ORL,21,-11.5,208.5,110,26.3,36.9,55.0,43.5,4.39
LaMelo Ball,$10.7k,PG/SG,2,CHA,WAS,2,-1,220.5,110.8,38.3,49.7,68.5,43.3,4.04
Trae Young,$9.7k,PG,1,ATL,BOS,12,-5,216,110.5,37.5,49.1,72.0,43.3,4.46
D. Lillard Q,$9.3k,PG,1,POR,CHI,11,-1.5,219.5,110.5,41.0,44.3,47.0,42.8,4.6
D. Sabonis,$9.2k,PF/C,1,IND,DET,18,-6.5,205.5,106,25.3,41.0,51.3,42.7,4.64
K. Porzingis,$7.4k,PF,1,DAL,PHO,2,+8.5,213,102.3,29.0,42.4,56.3,42.5,5.74
D. DeRozan,$8.9k,PF,1,CHI,POR,15,+1.5,219.5,109,29.5,41.7,54.3,42.5,4.78
Zach LaVine,$8.5k,SG/SF,1,CHI,POR,1,+1.5,219.5,109,30.0,38.0,43.0,42.3,4.97
J. Valanciunas,$9.5k,C,1,NO,MIA,18,+7.5,213,102.8,33.8,41.8,52.8,42.0,4.42
Christian Wood,$7.7k,C,1,HOU,OKC,27,+3,213.5,105.3,13.3,25.6,37.3,41.2,5.35
M. Brogdon,$8.4k,PG,1,IND,DET,17,-6.5,205.5,106,38.0,43.9,49.8,41.0,4.88
T. Herro,$7.5k,PG/SG,1,MIA,NO,20,-7.5,213,110.3,24.8,37.5,47.3,40.9,5.45
Shai Gilgeous-Alexander,$8.7k,PG,1,OKC,HOU,29,-3,213.5,108.3,22.3,35.0,44.8,40.8,4.68
D. Booker,$9.0k,PG/SG,1,PHO,DAL,3,-8.5,213,110.8,32.0,39.9,47.3,39.5,4.39
A. Edwards,$8.1k,SG/SF,1,MIN,SAC,27,-2.5,227,114.8,14.3,40.8,67.5,39.3,4.85
M. Bridges,$8.1k,SF/PF,2,CHA,WAS,2,-1,220.5,110.8,35.5,38.9,42.0,39.0,4.81
Chris Paul,$8.7k,PG,1,PHO,DAL,3,-8.5,213,110.8,33.3,39.4,48.5,38.8,4.45
Al Horford,$7.5k,PF/C,1,BOS,ATL,28,+5,216,105.5,23.5,27.8,37.8,38.5,5.13
Cole Anthony,$7.9k,PG,1,ORL,NY,15,+11.5,208.5,98.5,26.5,43.4,53.8,38.5,4.87
CJ McCollum,$8.0k,PG/SG,1,POR,CHI,11,-1.5,219.5,110.5,24.3,36.1,49.8,38.3,4.78
De'Aaron Fox,$8.3k,PG,1,SAC,MIN,30,+2.5,227,112.3,24.8,40.4,55.5,38.3,4.61
