draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,teamId,teamAbbreviation,playerGameHash,playerGameAttributes.id,playerGameAttributes.value,draftStatAttributes.sortValue.1,draftStatAttributes.id,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.value,draftStatAttributes.sortValue
95956,31092805,Noah,Clowney,Noah Clowney,N. Clowney,1401380,713774,PF,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/713774.png,https://dkn.gs/sports/images/nba/players/160/713774.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,17,BKN,1401380-5960144,,,24,219,219,24th,,
95956,31092808,Dariq,Whitehead,Dariq Whitehead,D. Whitehead,1401778,707380,SG,464,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/707380.png,https://dkn.gs/sports/images/nba/players/160/707380.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,17,BKN,1401778-5960144,,,7,219,219,7th,,
95956,31092700,Cason,Wallace,Cason Wallace,C. Wallace,1408195,713763,SG,464,,None,FALSE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/713763.png,https://dkn.gs/sports/images/nba/players/160/713763.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,25,OKC,1408195-5960972,,,19,219,219,19th,15.9,15.9
95956,31092640,Chris,Paul,Chris Paul,C. Paul,229598,33246,PG,464,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33246.png,https://dkn.gs/sports/images/nba/players/160/33246.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,9,GSW,229598-5960972,,,19,219,219,19th,27.1,27.1
95956,31092664,Kyle,Lowry,Kyle Lowry,K. Lowry,266394,33371,PG,464,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33371.png,https://dkn.gs/sports/images/nba/players/160/33371.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,14,MIA,266394-5960144,,,10,219,219,10th,22.8,22.8
95956,31092610,Stephen,Curry,Stephen Curry,S. Curry,338365,33049,PG,464,,OUT,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33049.png,https://dkn.gs/sports/images/nba/players/160/33049.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,9,GSW,338365-5960972,,,19,219,219,19th,45.7,45.7
95956,31092721,Kevin,Love,Kevin Love,K. Love,395374,32978,C,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32978.png,https://dkn.gs/sports/images/nba/players/160/32978.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,14,MIA,395374-5960144,,,5,219,219,5th,18.2,18.2
95956,31092643,Klay,Thompson,Klay Thompson,K. Thompson,457611,33050,SG,464,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33050.png,https://dkn.gs/sports/images/nba/players/160/33050.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,9,GSW,457611-5960972,,,30,219,219,30th,23.9,23.9
95956,31092616,Jimmy,Butler,Jimmy Butler,J. Butler,458730,33155,SF,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33155.png,https://dkn.gs/sports/images/nba/players/160/33155.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,14,MIA,458730-5960144,,,26,219,219,26th,36.3,36.3
95956,31092646,Draymond,Green,Draymond Green,D. Green,468895,33052,PF,633,,OUT,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33052.png,https://dkn.gs/sports/images/nba/players/160/33052.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,9,GSW,468895-5960972,,,10,219,219,10th,25.7,25.7
