contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $50K And-One [20 Entry Max],550,Classic,121216037,1,20,50000,Sat 12:00PM,183,59453,60618,50000
NBA $100K Four Point Play [20 Entry Max],2200,Classic,121216033,4,20,1e+05,Sat 12:00PM,130,29726,60618,25000
NBA $20K And-One (Night),550,Classic,121216153,1,20,20000,Sat 8:00PM,30,23781,61280,20000
NBA $200K Eggnog Special [$50K to 1st] (Night),8250,Classic,121216151,15,150,2e+05,Sat 8:00PM,5,15686,61280,13333.3333333333
NBA $10K And-One (Night),550,Classic,121175406,1,20,10000,Thu 10:00PM,7450,11890,61262,10000
NBA $15K mini-MAX [150 Entry Max],1100,Classic,121216036,2,150,15000,Sat 12:00PM,30,8917,60618,7500
NBA $6K And-One (Afternoon),550,Classic,121216109,1,20,6000,Sat 2:30PM,3,7134,61274,6000
NBA $80K Fadeaway [$20K to 1st] (Night),8250,Classic,121187465,15,150,80000,Thu 10:00PM,3985,6274,61262,5333.33333333333
NBA $40K Excellent 8's [$10K to 1st],4400,Classic,121216690,8,150,40000,Sat 12:00PM,5,5882,60618,5000
NBA $30K Jab Step [$5K to 1st],3300,Classic,121216031,6,150,30000,Sat 12:00PM,2,5882,60618,5000
NBA $25K Zone [$5K to 1st],2750,Classic,121216032,5,150,25000,Sat 12:00PM,0,5945,60618,5000
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,121216144,6,150,26000,Sat 8:00PM,0,5098,61280,4333.33333333333
NBA $60K Fadeaway [$20K to 1st] (Afternoon),8250,Classic,121216107,15,141,60000,Sat 2:30PM,22,4705,61274,4000
NBA $10K Hot Shot [3 Entry Max],1650,Classic,121216034,3,3,10000,Sat 12:00PM,22,3963,60618,3333.33333333333
NBA $10K Sharpshooter,1650,Classic,121216035,3,20,10000,Sat 12:00PM,26,3963,60618,3333.33333333333
NBA $2 Double Up,1100,Classic,121216060,2,20,5000,Sat 12:00PM,1,2873,60618,2500
NBA $2K And-One (Turbo),550,Classic,121203828,1,20,2000,Thu 9:00PM,2161,2378,61260,2000
NBA $5 Double Up,2750,Classic,121216059,5,68,10000,Sat 12:00PM,0,2298,60618,2000
NBA $8K Four Point Play (Night),2200,Classic,121216152,4,20,8000,Sat 8:00PM,0,2378,61280,2000
NBA $1.25K And-One [20 Entry Max] (Turbo),550,Classic,121231650,1,20,1250,Thu 9:00PM,48,1486,61260,1250
