abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
G. Antetokounmpo,Giannis Antetokounmpo,PF/SF,MIL,57.8,"$11,300",5.12,33.58,31.4,10.8,6.1,1.1,1.4,3.2
L. Doncic,Luka Doncic,PG/SG,MIA,49.0,"$10,400",4.72,34.79,25.8,8.2,8.6,1.1,0.5,4.3
A. Davis,Anthony Davis,PF/C,HOU,46.3,"$10,000",4.63,34.19,24.0,9.3,2.7,1.2,1.8,1.9
R. Westbrook,Russell Westbrook,PG/SG,HOU,45.4,"$9,200",4.93,35.15,17.7,10,9.8,1.4,0.3,4.1
L. James,LeBron James,SF/PF,HOU,43.8,"$9,800",4.47,34.16,23.5,7.1,6.6,1.1,0.6,3.2
J. Butler,Jimmy Butler,SF/SG,MIA,43.3,"$10,000",4.33,34.23,20.9,6.6,6.4,1.9,0.4,2.0
J. Valanciunas,Jonas Valanciunas,C,NO,40.9,"$8,600",4.76,32.08,18.4,13.1,2.2,0.7,1.1,1.9
D. Mitchell,Donovan Mitchell,SG/PG,SAC,40.1,"$8,000",5.02,34.18,26.2,4.4,4.7,1.1,0.3,2.6
R. Gobert,Rudy Gobert,C,SAC,40.0,"$8,200",4.88,33.22,13.3,14.4,1.3,0.7,2.4,1.8
C. Wood,Christian Wood,PF/C,HOU,39.4,"$7,900",4.99,34.49,19.8,10.4,2.1,0.9,1.1,2.0
B. Adebayo,Bam Adebayo,C/PF,MIA,39.3,"$8,500",4.63,34.38,17.1,9.2,4.8,1.1,1.1,2.6
D. Fox,De'Aaron Fox,PG,SAC,38.8,"$7,700",5.03,36.04,23.1,3.8,5.4,1.5,0.5,3.0
D. Booker,Devin Booker,SG,NO,37.6,"$8,200",4.59,34.99,24.7,4.5,4.8,0.9,0.2,3.0
C. Paul,Chris Paul,PG,NO,36.7,"$7,800",4.7,29.93,15.1,4.3,9.0,1.4,0.3,2.2
R. Holmes,Richaun Holmes,C/PF,SAC,33.6,"$7,500",4.47,31.36,13.8,9.3,1.8,0.7,1.7,1.3
H. Barnes,Harrison Barnes,SF/PF,SAC,33.4,"$7,700",4.34,36.32,18.1,7.2,3.3,0.9,0.2,1.6
D. Ayton,Deandre Ayton,C,NO,33.0,"$7,800",4.23,31.11,14.1,10.6,1.6,0.7,1.1,1.6
D. Graham,Devonte' Graham,PG/SG,NO,32.5,"$6,800",4.78,32.54,18.2,3.1,6.1,1.0,0.1,1.9
J. Grant,Jerami Grant,PF,MIL,32.4,"$7,400",4.38,33.20,19.1,4.9,2.7,0.8,1.0,2.0
N. Alexander-Walker,Nickeil Alexander-Walker,SG/SF,NO,31.8,"$6,100",5.2,32.86,16.7,5,3.3,1.4,0.7,2.2
K. Lowry,Kyle Lowry,PG,MIA,30.5,"$5,900",5.17,33.48,13.3,4.9,6.6,1.0,0.3,2.5
M. Conley,Mike Conley,PG,SAC,30.3,"$5,500",5.51,30.19,15.2,3.4,5.4,1.4,0.2,1.9
T. Haliburton,Tyrese Haliburton,PG/SG,SAC,29.6,"$6,000",4.94,32.14,13.3,3.4,5.5,1.4,0.5,1.7
T. Herro,Tyler Herro,SG/SF,MIA,29.6,"$6,400",4.63,30.81,17.6,5.1,3.2,0.7,0.3,1.9
J. Tate,Jae'Sean Tate,SF/PF,HOU,28.9,"$5,200",5.55,32.70,12.7,6.3,3.2,1.3,0.5,1.6
J. Hart,Josh Hart,SG/SF,NO,28.4,"$5,500",5.17,32.33,11.5,8.7,2.8,0.9,0.3,1.3
S. Bey,Saddiq Bey,SF,MIL,27.7,"$6,500",4.26,34.01,15.2,6.3,1.7,0.9,0.3,1.2
B. Hield,Buddy Hield,SG/SF,SAC,27.6,"$6,600",4.18,29.64,15.9,4.3,3.0,0.8,0.4,1.6
M. Bridges,Mikal Bridges,SF/PF,NO,27.3,"$5,700",4.78,34.10,13.0,4.5,2.3,1.2,0.9,0.9
K. Olynyk,Kelly Olynyk,C/PF,MIL,27.2,"$6,000",4.53,25.91,12.5,6.8,2.6,0.9,0.5,1.6
E. Gordon,Eric Gordon,SF/SG,HOU,27.0,"$4,200",6.43,27.36,18.6,2.3,2.7,0.7,0.4,1.7
K. Porter,Kevin Porter Jr.,SF/PG,HOU,26.2,"$5,900",4.45,31.69,14.6,3.9,4.5,0.9,0.3,3.4
H. Jones,Herbert Jones,PF,NO,25.8,"$4,000",6.44,32.93,12.9,4.6,2.3,1.0,0.9,1.8
I. Stewart,Isaiah Stewart,PF,MIL,25.7,"$5,200",4.94,25.92,9.8,7.7,1.1,0.7,1.4,1.3
D. Powell,Dwight Powell,C/PF,MIA,25.2,"$4,800",5.26,32.82,9.6,6.4,2.1,1.1,1.0,1.5
G. Allen,Grayson Allen,SG,MIL,25.0,"$4,900",5.11,29.87,14.2,3.7,2.6,1.0,0.2,1.1
T. Hardaway Jr.,Tim Hardaway Jr.,SG/SF,MIA,24.9,"$5,000",4.99,32.12,15.9,3.7,2.0,0.7,0.2,1.1
B. Bogdanovic,Bojan Bogdanovic,SF/PF,SAC,24.6,"$5,400",4.56,32.15,16.1,4,1.8,0.8,0.1,1.7
J. Green,Jalen Green,SG/PG,HOU,24.4,"$5,800",4.2,34.45,12.2,4.5,2.5,1.1,0.5,1.8
D. Mitchell,Davion Mitchell,PG,SAC,24.3,"$4,000",6.08,26.59,13.0,2.8,4.1,1.0,0.1,1.5
J. Brunson,Jalen Brunson,PG/SG,MIA,24.1,"$4,600",5.23,27.39,12.8,3.8,4.0,0.7,0.0,1.4
J. Clarkson,Jordan Clarkson,PG/SG,SAC,23.9,"$5,400",4.43,24.15,15.5,3.5,2.0,0.8,0.1,1.5
G. Hill,George Hill,PG,MIL,23.6,"$4,600",5.14,30.61,10.5,3.2,4.4,1.1,0.3,1.5
A. Sengun,Alperen Sengun,C/PF,HOU,22.8,"$5,100",4.47,19.13,10.2,5.5,2.0,0.7,0.8,1.5
B. Portis,Bobby Portis,PF/C,MIL,22.7,"$4,700",4.83,21.92,9.7,7.1,1.2,0.7,0.5,0.9
J. Crowder,Jae Crowder,PF/SF,NO,22.2,"$4,200",5.3,27.30,10.4,4.7,2.2,0.9,0.4,1.0
P. Connaughton,Pat Connaughton,SG/SF,MIL,22.0,"$5,000",4.4,29.94,9.0,5.8,1.7,0.9,0.5,0.7
C. Anthony,Carmelo Anthony,SF/PF,HOU,21.9,"$6,000",3.64,26.18,12.5,3.3,1.4,0.8,0.6,0.9
D. Finney-Smith,Dorian Finney-Smith,SF/SG,MIA,21.8,"$5,100",4.26,30.80,9.6,5.5,1.7,0.9,0.4,0.9
T. Antetokounmpo,Thanasis Antetokounmpo,SF/PF,MIL,21.7,"$4,200",5.17,28.75,8.0,6,2.4,1.0,0.6,1.9
C. Cunningham,Cade Cunningham,PG/SG,MIL,21.6,"$5,000",4.31,29.21,10.6,4,2.7,0.9,0.3,1.5
R. O'Neale,Royce O'Neale,SF/PF,SAC,20.9,"$4,300",4.86,31.18,7.1,6.4,2.2,0.9,0.4,1.1
D. Robinson,Duncan Robinson,SG/SF,MIA,20.7,"$4,400",4.7,30.33,12.5,3.5,1.6,0.6,0.3,1.1
J. Ingles,Joe Ingles,SG/SF,SAC,20.0,"$4,700",4.26,24.18,9.6,3.1,3.6,0.7,0.2,1.4
N. Marshall,Naji Marshall,SF,NO,19.5,"$3,700",5.26,20.71,8.5,4.4,2.6,0.7,0.3,1.2
D. Theis,Daniel Theis,PF/C,HOU,19.4,"$4,000",4.86,22.03,7.9,5.1,1.6,0.6,0.7,0.9
J. Nwora,Jordan Nwora,PF/SF,MIL,19.4,"$4,500",4.31,22.15,9.3,4.5,1.0,0.8,0.7,1.3
K. Bazemore,Kent Bazemore,SF/SG,HOU,19.4,"$4,000",4.84,27.15,7.6,4.1,1.9,1.2,0.6,1.4
C. Johnson,Cameron Johnson,SF,NO,19.3,"$4,100",4.7,25.46,10.2,3.6,1.7,0.7,0.3,0.8
J. McGee,JaVale McGee,C,NO,19.1,"$4,300",4.45,15.97,7.7,5.7,1.0,0.4,1.1,1.4
K. Hayes,Killian Hayes,PG,MIL,18.8,"$4,500",4.17,25.02,7.2,2.8,4.8,0.9,0.3,2.6
R. Bullock,Reggie Bullock,SG,MIA,18.6,"$3,700",5.02,27.61,10.3,3.3,1.4,0.8,0.2,0.8
J. Jackson,Josh Jackson,SG,MIL,18.0,"$4,400",4.09,18.94,9.8,3.3,1.7,0.6,0.5,1.6
T. Thompson,Tristan Thompson,C/PF,SAC,17.9,"$3,600",4.98,18.31,7.2,6.3,0.9,0.4,0.5,0.9
T. Murphy III,Trey Murphy III,SF,NO,17.8,"$3,700",4.81,22.65,10.2,3.4,1.2,0.7,0.2,1.0
H. Whiteside,Hassan Whiteside,C,SAC,16.6,"$4,500",3.68,14.38,6.2,5.5,0.5,0.3,1.0,0.9
A. Bradley,Avery Bradley,SG,HOU,16.6,"$3,900",4.24,27.04,8.6,2.5,1.9,0.9,0.2,1.2
M. Morris,Markieff Morris,PF/SF,MIA,16.3,"$3,700",4.41,21.14,7.4,4.5,1.2,0.5,0.4,1.0
D. Dedmon,Dewayne Dedmon,C,MIA,15.7,"$4,500",3.48,14.08,6.3,5.3,0.8,0.4,0.5,0.9
M. Harkless,Maurice Harkless,SF/PF,SAC,15.4,"$3,700",4.17,21.19,7.2,2.7,1.2,0.8,0.5,0.7
D. Howard,Dwight Howard,C,HOU,15.3,"$3,700",4.15,14.08,4.8,6.2,0.6,0.4,0.7,1.1
C. Joseph,Cory Joseph,PG,MIL,15.1,"$4,200",3.59,18.60,6.9,2.1,2.7,0.7,0.2,1.1
P. Tucker,P.J. Tucker,PF/C,MIA,14.3,"$4,200",3.41,29.26,4.5,4.3,1.3,0.8,0.4,0.9
D. Nwaba,David Nwaba,SF/SG,HOU,14.0,"$3,700",3.78,14.37,7.0,2.6,0.9,0.6,0.4,0.5
W. Cauley-Stein,Willie Cauley-Stein,C/PF,MIA,13.8,"$3,800",3.63,15.87,4.9,4.3,0.7,0.4,0.7,0.6
J. Hayes,Jaxson Hayes,PF,NO,13.7,"$4,400",3.1,13.01,6.9,3.5,0.5,0.3,0.5,0.6
L. Shamet,Landry Shamet,SG,NO,13.3,"$3,700",3.61,19.01,7.9,1.7,1.6,0.5,0.1,0.8
E. Paschall,Eric Paschall,C/PF,SAC,13.2,"$3,900",3.37,16.14,7.0,3,1.1,0.4,0.2,0.9
F. Ntilikina,Frank Ntilikina,PG,MIA,13.0,"$3,700",3.52,17.29,6.4,1.9,1.5,0.8,0.2,0.9
F. Jackson,Frank Jackson,PG,MIL,12.3,"$3,700",3.32,16.15,8.1,2,1.0,0.4,0.0,0.9
J. Robinson,Justin Robinson,PG,MIL,12.3,"$3,600",3.41,18.13,5.6,1.6,2.3,0.7,0.1,1.1
D. Augustin,D.J. Augustin,PG/SG,HOU,12.0,"$3,500",3.43,13.50,6.4,1.1,2.6,0.4,0.0,0.8
R. Rondo,Rajon Rondo,PG,HOU,11.2,"$3,800",2.96,12.82,4.0,1.7,2.8,0.6,0.1,1.1
E. Payton,Elfrid Payton,PG,NO,10.5,"$4,200",2.51,12.03,5.2,1.7,1.8,0.4,0.1,0.9
T. Lyles,Trey Lyles,PF,MIL,10.5,"$3,800",2.75,12.87,4.9,3.3,0.6,0.3,0.1,0.5
A. Reaves,Austin Reaves,SG,HOU,9.8,"$3,600",2.72,15.09,5.7,1.4,1.0,0.4,0.1,0.6
K. Lewis Jr.,Kira Lewis Jr.,PG,NO,9.7,"$3,700",2.61,10.79,5.0,1,1.7,0.4,0.1,0.6
C. Martin,Caleb Martin,SG/SF,MIA,9.5,"$3,500",2.71,12.15,4.1,2,1.0,0.5,0.2,0.6
K. Martin,Kenyon Martin Jr.,SF/PF,HOU,9.5,"$3,700",2.56,10.00,4.7,2.2,0.5,0.3,0.3,0.4
W. Ellington,Wayne Ellington,SG,HOU,9.3,"$3,800",2.44,14.06,5.8,1.2,0.9,0.3,0.1,0.5
A. Nader,Abdel Nader,SF,NO,8.1,"$3,500",2.33,10.02,4.2,1.7,0.6,0.3,0.2,0.5
T. Davis,Terence Davis II,SG/SF,SAC,7.6,"$3,500",2.18,8.00,4.5,1.2,0.6,0.3,0.1,0.4
S. Brown,Sterling Brown,SG,MIA,7.5,"$3,500",2.13,10.21,3.6,1.8,0.6,0.3,0.1,0.4
G. Temple,Garrett Temple,SF,NO,7.4,"$3,700",1.99,10.03,3.6,1.1,0.9,0.3,0.2,0.4
S. Ojeleye,Semi Ojeleye,SF,MIL,7.0,"$3,500",2,12.87,3.2,2,0.6,0.3,0.0,0.4
M. Brown,Moses Brown,C,MIA,6.7,"$3,500",1.9,6.03,2.3,2.5,0.1,0.2,0.3,0.3
R. Hood,Rodney Hood,SG/SF,MIL,6.3,"$4,100",1.54,11.89,2.9,1.4,0.7,0.3,0.1,0.5
B. Marjanovic,Boban Marjanovic,C,MIA,5.6,"$3,700",1.52,5.04,2.4,2.2,0.2,0.1,0.1,0.3
T. Satoransky,Tomas Satoransky,PG,NO,0.7,"$3,500",0.21,0.99,0.4,0.1,0.2,0.0,0.0,0.1
S. Mamukelashvili,Sandro Mamukelashvili,PF/C,MIL,0.2,"$3,500",0.06,0.29,0.1,0.1,0.0,0.0,0.0,0.0
M. Strus,Max Strus,SG,MIA,0.0,"$3,600",0,0.00,0.0,0,0.0,0.0,0.0,0.0
K. Okpala,KZ Okpala,SF,MIA,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0
K. Porzingis,Kristaps Porzingis,PF/C,MIA,0.0,"$7,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0
G. Vincent,Gabe Vincent,PG,MIA,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0
