name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
R. Westbrook,$10.7k,PG,1,LAL,OKC,12,"","","",32.5,49.9,64.0,51.5,4.81
Joel Embiid,$10.5k,C,4,PHI,DET,9,"","","",27.5,42.8,59.0,50.0,4.76
L. James Q,$10.4k,SF/PF,1,LAL,OKC,15,"","","",39.0,45.8,54.5,49.3,4.74
A. Davis Q,$10.3k,PF/C,1,LAL,OKC,24,"","","",38.3,48.6,70.8,49.0,4.76
J. Tatum,$9.8k,SF/PF,2,BOS,MIA,13,+7.5,214.5,103.5,33.5,48.0,65.8,47.5,4.85
J. Butler,$9.6k,SF,1,MIA,BOS,22,-7.5,214.5,111,47.0,52.0,56.0,47.3,4.92
Trae Young,$9.9k,PG,2,ATL,UTA,4,"","","",31.0,43.0,52.5,47.0,4.75
D. Mitchell Q,$9.4k,PG/SG,1,UTA,ATL,2,"","","",32.3,42.3,58.0,44.8,4.76
J. Brown,$8.9k,SG/SF,2,BOS,MIA,17,+7.5,214.5,103.5,11.5,35.2,53.8,42.8,4.8
Christian Wood,$8.8k,C,1,HOU,PHO,19,"","","",32.3,40.3,55.0,42.0,4.77
D. Booker,$8.7k,PG/SG,1,PHO,HOU,21,"","","",33.3,40.4,53.5,41.5,4.77
Chris Paul,$8.5k,PG,1,PHO,HOU,21,"","","",24.5,40.7,53.8,41.0,4.82
Shai Gilgeous-Alexander,$8.4k,PG,2,OKC,LAL,24,"","","",26.8,42.6,52.0,41.0,4.88
Bam Adebayo,$8.1k,C,1,MIA,BOS,27,-7.5,214.5,111,34.3,43.9,57.8,39.5,4.88
Al Horford,$7.4k,PF/C,2,BOS,MIA,6,+7.5,214.5,103.5,38.8,41.9,44.5,36.8,4.97
Kyle Lowry,$7.7k,PG,1,MIA,BOS,5,-7.5,214.5,111,22.0,31.8,44.3,36.3,4.71
John Collins,$7.1k,PF/C,2,ATL,UTA,18,"","","",25.8,36.9,48.0,34.3,4.82
C. Capela,$7.2k,C,2,ATL,UTA,20,"","","",19.5,27.5,40.0,33.5,4.65
T. Herro,$6.7k,PG/SG,1,MIA,BOS,5,-7.5,214.5,111,26.0,34.8,42.5,32.5,4.85
D. Ayton Q,$6.6k,C,4,PHO,HOU,7,"","","",14.8,34.3,53.8,32.3,4.89
J. Grant,$6.8k,PF,1,DET,PHI,23,"","","",16.5,30.0,40.3,32.3,4.74
K. Porter Jr.,$6.4k,PG,1,HOU,PHO,22,"","","",12.5,27.1,37.3,30.5,4.77
Mike Conley,$6.3k,PG,1,UTA,ATL,2,"","","",16.0,28.6,39.8,30.3,4.8
A. Drummond,$6.5k,C,2,PHI,DET,9,"","","",7.0,26.2,56.8,30.3,4.65
Josh Giddey,$5.8k,SG/SF,2,OKC,LAL,7,"","","",27.5,35.8,47.0,28.8,4.96
Saddiq Bey,$5.9k,SF/PF,1,DET,PHI,7,"","","",17.3,28.3,38.8,28.3,4.79
Seth Curry,$5.9k,SG,2,PHI,DET,19,"","","",6.5,25.1,41.8,28.0,4.75
K. Thomas,$5.6k,SG,173,HOU,PHO,10,"","","",25.8,34.7,52.8,27.8,4.96
D. Schroder,$5.6k,PG/SG,2,BOS,MIA,19,+7.5,214.5,103.5,29.3,34.9,46.0,27.8,4.96
R. Williams,$5.8k,C,2,BOS,MIA,1,+7.5,214.5,103.5,11.3,26.4,44.5,27.3,4.7
J. Green,$5.7k,PG/SG,1,HOU,PHO,22,"","","",17.8,28.8,48.0,27.0,4.74
T. Maxey,$5.5k,PG,2,PHI,DET,20,"","","",15.0,24.1,35.5,26.0,4.73
B. Bogdanovic,$5.4k,PG/SG,2,ATL,UTA,4,"","","",20.3,26.1,34.5,26.0,4.81
M. Smart,$5.5k,PG/SG,2,BOS,MIA,19,+7.5,214.5,103.5,12.5,22.8,29.0,25.8,4.68
C. Anthony,$5.3k,PF,1,LAL,OKC,24,"","","",9.5,25.5,41.3,25.3,4.76
J. Clarkson,$5.3k,PG/SG,1,UTA,ATL,2,"","","",12.8,22.2,31.0,25.0,4.72
K. Olynyk,$5.1k,PF/C,1,DET,PHI,23,"","","",15.5,28.7,43.0,24.5,4.8
M. Bridges,$5.1k,SG/SF,1,PHO,HOU,2,"","","",19.8,26.2,40.3,24.5,4.8
Jae'Sean Tate,$5.2k,SF/PF,1,HOU,PHO,24,"","","",11.8,22.1,34.8,24.5,4.71
B. Bogdanovic,$5.0k,SF/PF,1,UTA,ATL,21,"","","",20.0,25.1,30.8,24.3,4.85
Jae Crowder,$5.0k,PF,1,PHO,HOU,28,"","","",14.5,23.6,35.5,23.8,4.75
Eric Gordon Q,$4.7k,SG/SF,3,HOU,PHO,10,"","","",9.0,22.5,33.8,22.5,4.79
Cam Reddish,$4.6k,SG/SF,2,ATL,UTA,13,"","","",10.8,23.4,30.0,22.5,4.89
D. Bazley,$4.6k,PF,2,OKC,LAL,19,"","","",17.8,25.1,41.0,22.3,4.84
Joe Ingles,$4.6k,SG/SF,1,UTA,ATL,28,"","","",10.3,19.4,30.8,21.8,4.73
F. Korkmaz,$4.7k,SG/SF,2,PHI,DET,19,"","","",8.8,17.6,28.0,21.8,4.63
I. Stewart,$4.6k,C,1,DET,PHI,4,"","","",6.8,20.2,36.3,21.5,4.67
Luguentz Dort Q,$4.4k,SG,4,OKC,LAL,7,"","","",20.3,22.4,26.0,21.3,4.83
Josh Jackson,$4.3k,SG/SF,1,DET,PHI,9,"","","",8.8,22.2,31.8,21.0,4.88
G. Niang,$4.4k,SF/PF,2,PHI,DET,9,"","","",12.0,20.8,37.8,20.5,4.66
S. Doumbouya,$4.2k,PF,176,LAL,OKC,24,"","","",11.5,24.2,35.5,20.3,4.82
Kent Bazemore,$4.3k,SF,1,LAL,OKC,15,"","","",16.3,18.8,22.5,20.3,4.71
A. Sengun,$4.1k,C,1,HOU,PHO,19,"","","",13.3,21.7,26.8,20.0,4.88
H. Whiteside Q,$4.1k,C,1,UTA,ATL,23,"","","",13.0,19.2,27.5,19.5,4.76
D. Jeffries,$4.1k,SG,177,ATL,UTA,13,"","","",5.5,21.0,38.3,19.5,4.76
D. Robinson,$4.2k,SG/SF,1,MIA,BOS,29,-7.5,214.5,111,9.3,17.6,23.3,19.5,4.64
R. O'Neale Q,$4.0k,PF,1,UTA,ATL,2,"","","",10.8,17.3,20.3,18.8,4.69
J. McGee,$3.9k,C,1,PHO,HOU,7,"","","",14.0,18.8,24.3,18.8,4.81
D. Hunter,$4.0k,SF,2,ATL,UTA,10,"","","",9.3,15.7,18.3,18.5,4.63
K. Hayes,$3.9k,PG,1,DET,PHI,18,"","","",7.8,19.3,27.3,18.3,4.68
Mike Muscala,$3.9k,C,2,OKC,LAL,25,"","","",9.8,17.1,23.8,18.3,4.68
D. Dedmon,$3.7k,C,1,MIA,BOS,27,-7.5,214.5,111,8.5,19.6,26.8,18.0,4.86
Cade Cunningham,$4.0k,PG/SG,1,DET,PHI,18,"","","",12.0,13.4,14.8,18.0,4.5
D. Gallinari,$3.8k,PF,2,ATL,UTA,18,"","","",7.8,16.8,24.5,18.0,4.74
Rudy Gay Q,$3.8k,SF/PF,168,UTA,ATL,21,"","","",13.8,25.1,31.3,18.0,4.74
D. Theis Q,$3.9k,PF/C,3,HOU,PHO,13,"","","",6.8,15.3,33.5,17.8,4.55
Trey Lyles,$3.6k,PF/C,1,DET,PHI,23,"","","",15.3,18.8,23.8,17.5,4.86
K. Huerter,$3.9k,SG/SF,4,ATL,UTA,13,"","","",6.5,12.2,23.8,17.5,4.49
D. Howard Q,$3.9k,C,5,LAL,OKC,5,"","","",8.5,12.7,22.0,17.5,4.49
S. Milton,$3.9k,PG/SG,2,PHI,DET,20,"","","",0.0,13.2,24.3,17.5,4.49
A. Pokusevski,$3.8k,SF/PF,2,OKC,LAL,6,"","","",-0.5,13.2,21.3,17.3,4.54
W. Ellington Q,$3.7k,SG,179,LAL,OKC,23,"","","",7.3,14.8,27.0,17.3,4.66
Josh Richardson,$3.7k,SG/SF,2,BOS,MIA,17,+7.5,214.5,103.5,3.5,11.8,25.8,17.0,4.59
M. Thybulle,$3.6k,SF,2,PHI,DET,9,"","","",10.5,18.8,31.8,17.0,4.72
KJ Martin,$3.6k,PF,1,HOU,PHO,13,"","","",1.5,11.8,23.5,16.8,4.65
D. Jordan,$3.4k,C,1,LAL,OKC,5,"","","",14.5,18.7,22.3,16.5,4.85
M. Morris,$3.5k,PF/C,1,MIA,BOS,4,-7.5,214.5,111,5.3,15.6,25.8,16.3,4.64
F. Mason III,$3.6k,PG,265,LAL,OKC,12,"","","",0.0,11.3,24.8,16.3,4.51
F. Kaminsky,$3.5k,PF/C,1,PHO,HOU,28,"","","",0.0,13.7,35.3,15.5,4.43
J. Robinson-Earl,$3.5k,PF/C,2,OKC,LAL,19,"","","",4.5,11.9,21.3,15.5,4.43
P.J. Tucker,$3.4k,PF/C,1,MIA,BOS,4,-7.5,214.5,111,1.3,14.1,28.3,15.5,4.56
Cory Joseph,$3.3k,PG,1,DET,PHI,18,"","","",4.0,15.0,25.8,15.3,4.62
D. Favors,$3.3k,C,2,OKC,LAL,25,"","","",6.5,13.4,22.0,15.0,4.55
G. Williams,$3.3k,PF/C,2,BOS,MIA,6,+7.5,214.5,103.5,6.0,14.7,27.3,15.0,4.55
E. Payton,$3.3k,PG,1,PHO,HOU,21,"","","",3.0,12.2,28.5,14.8,4.47
Isaiah Roby,$3.4k,PF/C,4,OKC,LAL,19,"","","",0.0,8.9,19.5,14.8,4.34
D. Wright,$3.3k,PG,2,ATL,UTA,4,"","","",1.5,8.4,18.3,14.5,4.39
A. Brooks,$3.4k,PG/SG,1,HOU,PHO,22,"","","",0.0,5.3,8.0,14.3,4.19
Gabe Vincent,$3.3k,PG,1,MIA,BOS,5,-7.5,214.5,111,0.0,5.2,12.5,14.0,4.24
F. Jackson,$3.1k,SG,1,DET,PHI,9,"","","",3.0,10.7,14.3,14.0,4.52
Lou Williams,$3.1k,PG/SG,2,ATL,UTA,4,"","","",6.3,9.7,18.5,13.8,4.44
Ty Jerome,$3.0k,PG/SG,2,OKC,LAL,24,"","","",2.0,14.7,36.0,13.8,4.58
C. Martin,$3.0k,SG/SF,1,MIA,BOS,29,-7.5,214.5,111,7.3,13.5,26.3,13.8,4.58
P. Pritchard,$3.1k,PG,2,BOS,MIA,19,+7.5,214.5,103.5,2.3,9.0,14.8,13.8,4.44
G. Dieng,$3.2k,C,2,ATL,UTA,20,"","","",7.8,12.9,24.0,13.5,4.22
A. Bradley,$3.0k,SF,1,LAL,OKC,15,"","","",0.0,10.1,15.8,13.5,4.5
Eric Paschall,$3.0k,PF/C,1,UTA,ATL,2,"","","",4.0,10.6,23.5,13.3,4.42
L. Shamet,$3.1k,SG/SF,1,PHO,HOU,2,"","","",3.5,7.0,11.3,13.3,4.27
Theo Maledon,$3.1k,PG,2,OKC,LAL,24,"","","",2.0,7.0,16.3,13.3,4.27
A. Reaves,$3.0k,PG/SG,1,LAL,OKC,12,"","","",3.0,9.1,15.8,13.3,4.42
U. Haslem,$3.0k,C,1,MIA,BOS,27,-7.5,214.5,111,1.3,6.9,17.0,13.0,4.33
Saben Lee,$3.0k,PG,1,DET,PHI,18,"","","",1.3,8.3,24.0,13.0,4.33
Paul Reed,$3.0k,PF/C,2,PHI,DET,27,"","","",0.0,5.9,15.3,12.8,4.25
C. Johnson,$3.2k,SF/PF,1,PHO,HOU,27,"","","",4.3,13.3,24.5,12.8,3.98
B. Fernando,$3.0k,C,2,BOS,MIA,1,+7.5,214.5,103.5,0.0,6.2,26.8,12.8,4.25
Luka Garza,$3.0k,C,1,DET,PHI,4,"","","",5.3,7.0,11.0,12.8,4.25
D.J. Augustin,$3.0k,PG,1,HOU,PHO,22,"","","",1.5,6.0,10.3,12.8,4.25
J. Butler Q,$3.0k,PG/SG,1,UTA,ATL,2,"","","",2.0,5.9,17.0,12.8,4.25
Isaiah Joe,$3.0k,SG,2,PHI,DET,19,"","","",0.0,3.9,8.3,12.5,4.17
R. McGruder,$3.0k,SF,1,DET,PHI,7,"","","",1.5,4.7,12.3,12.5,4.17
B. Thomas,$3.0k,PG,171,BOS,MIA,19,+7.5,214.5,103.5,15.8,21.1,25.5,12.5,4.17
J. Hernangomez,$3.0k,PF,2,BOS,MIA,6,+7.5,214.5,103.5,0.0,5.2,8.0,12.5,4.17
A. Nesmith,$3.0k,SG/SF,2,BOS,MIA,17,+7.5,214.5,103.5,0.0,2.7,5.5,12.3,4.08
C. Randle,$3.0k,PG,171,PHO,HOU,21,"","","",17.0,18.9,21.3,12.3,4.08
K. Williams,$3.2k,SF,2,OKC,LAL,6,"","","",3.3,11.4,21.8,11.8,3.67
M. Kabengele,$3.0k,PF,171,HOU,PHO,13,"","","",13.8,19.2,27.5,11.3,3.75
Malik Monk,$3.2k,SG,1,LAL,OKC,23,"","","",-1.0,10.9,26.8,10.3,3.2
Sam Hauser,$3.0k,PF,"",BOS,MIA,6,+7.5,214.5,103.5,"","","",10.3,3.42
R. Langford,$3.2k,SF,2,BOS,MIA,13,+7.5,214.5,103.5,5.5,14.4,30.8,10.3,3.2
J. Parker,$3.0k,PF,4,BOS,MIA,6,+7.5,214.5,103.5,7.5,15.7,22.8,10.0,3.33
Dante Exum,$3.0k,SG,305,HOU,PHO,10,"","","",7.8,14.8,23.5,9.8,3.25
Luke Kornet,$3.0k,C,162,BOS,MIA,1,+7.5,214.5,103.5,2.8,15.5,34.0,9.0,3
H. Diallo,$3.2k,SG/SF,1,DET,PHI,9,"","","",5.0,7.8,11.5,8.5,2.66
D. Nwaba,$3.2k,SF,1,HOU,PHO,24,"","","",1.3,7.2,12.8,8.5,2.66
C. Clemons,$3.0k,PG,417,BOS,MIA,19,+7.5,214.5,103.5,1.3,10.8,23.8,8.5,2.83
Ryan Arcidiacono,$3.0k,PG,171,BOS,MIA,19,+7.5,214.5,103.5,0.0,9.1,23.5,8.3,2.75
J. Okafor,$3.0k,C,171,ATL,UTA,20,"","","",4.8,10.5,17.5,8.3,2.75
M. Frazier Jr.,$3.0k,SF,447,OKC,LAL,6,"","","",-0.5,8.6,18.8,8.0,2.67
Omer Yurtseven,$3.2k,C,1,MIA,BOS,27,-7.5,214.5,111,0.0,5.1,11.8,6.8,2.11
Solomon Hill,$3.0k,SF/PF,9,ATL,UTA,10,"","","",0.0,5.6,12.3,6.5,2.17
A. Nader,$3.0k,SF/PF,1,PHO,HOU,27,"","","",-0.5,5.4,11.8,6.5,2.17
C. Stanley,$3.0k,SG,167,DET,PHI,9,"","","",0.0,5.6,16.3,6.5,2.17
Skylar Mays,$3.0k,SG,4,ATL,UTA,13,"","","",0.0,5.2,8.8,6.3,2.08
J. Johnson,$3.0k,PF,4,ATL,UTA,18,"","","",3.3,5.6,9.5,6.0,2
M. Bolden,$3.0k,C,295,UTA,ATL,23,"","","",1.5,4.3,10.5,5.8,1.92
A. Tolliver,$3.0k,PF,161,PHI,DET,27,"","","",0.0,2.6,11.8,5.8,1.92
S. Harrison,$3.0k,SG,145,PHI,DET,19,"","","",0.0,4.5,11.8,5.8,1.92
Enes Kanter,$3.0k,C,4,BOS,MIA,1,+7.5,214.5,103.5,1.3,4.0,6.5,5.5,1.83
Gary Clark,$3.0k,SF,171,PHI,DET,9,"","","",0.0,2.8,6.8,5.5,1.83
S. Cooper,$3.0k,PG,9,ATL,UTA,4,"","","",1.0,1.3,1.5,5.5,1.83
C. Bassey,$3.0k,C,4,PHI,DET,9,"","","",0.0,2.2,4.5,5.3,1.75
A. Henry,$3.0k,SF,14,PHI,DET,9,"","","",0.0,0.0,0.0,5.3,1.75
G. Mathews,$3.0k,SG,154,HOU,PHO,10,"","","",1.3,3.0,4.8,5.0,1.67
J. Morgan,$3.0k,PF,144,BOS,MIA,6,+7.5,214.5,103.5,0.0,1.6,3.3,5.0,1.67
T. Luwawu-Cabarrot,$3.0k,SG/SF,4,ATL,UTA,13,"","","",1.3,3.1,5.0,5.0,1.67
Tyler Bey,$3.0k,SG/SF,171,HOU,PHO,10,"","","",0.0,2.0,2.8,4.8,1.58
Theo Pinson,$3.0k,SG,182,BOS,MIA,17,+7.5,214.5,103.5,0.0,0.9,1.3,4.8,1.58
J. Springer,$3.0k,SG,14,PHI,DET,19,"","","",0.0,0.0,0.0,4.8,1.58
Ben Simmons O,$8.2k,PG/SF,136,PHI,DET,20,"","","",25.8,34.0,45.0,0.0,0
John Wall O,$7.0k,PG,194,HOU,PHO,22,"","","",11.8,36.4,56.3,0.0,0
O. Okongwu O,$3.0k,C,123,ATL,UTA,20,"","","",7.5,10.7,13.5,0.0,0
D. Green O,$4.0k,SF,2,PHI,DET,9,"","","",10.8,20.0,23.5,0.0,0
G. Riller O,$3.0k,PG,169,PHI,DET,20,"","","",0.0,4.9,9.0,0.0,0
C. Smith O,$3.0k,SG,"",DET,PHI,9,"","","","","","",0.0,0
M. Diakite O,$3.0k,SF/PF,127,OKC,LAL,6,"","","",0.0,2.7,6.3,0.0,0
Max Strus O,$3.1k,SG/SF,4,MIA,BOS,29,-7.5,214.5,111,6.8,12.3,22.8,0.0,0
T. Horton-Tucker O,$3.0k,SG/SF,153,LAL,OKC,23,"","","",0.5,10.8,27.3,0.0,0
D. Saric O,$3.0k,C,120,PHO,HOU,7,"","","",1.3,7.4,10.8,0.0,0
Kendrick Nunn O,$3.8k,PG/SG,158,LAL,OKC,12,"","","",9.3,21.8,46.5,0.0,0
Rudy Gobert O,$8.6k,C,1,UTA,ATL,23,"","","",37.3,43.9,51.8,0.0,0
T. Ariza O,$3.0k,PF,158,LAL,OKC,24,"","","",7.3,16.7,29.0,0.0,0
V. Oladipo O,$6.0k,PG,209,MIA,BOS,5,-7.5,214.5,111,19.8,29.0,45.3,0.0,0
T. Harris O,$9.1k,PF,4,PHI,DET,27,"","","",29.5,38.2,48.3,0.0,0
