contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $50K And-One [20 Entry Max],550,Classic,117975375,1,20,50000,Wed 7:00PM,256,59453,58962,50000
NBA $100K Four Point Play [20 Entry Max],2200,Classic,117975372,4,20,1e+05,Wed 7:00PM,150,29726,58962,25000
NBA $17.5K And-One (Night),550,Classic,117964831,1,20,17500,Wed 10:00PM,71,20808,59087,17500
NBA $20K mini-MAX [150 Entry Max],1100,Classic,117964718,2,150,20000,Wed 7:00PM,24,11890,58962,10000
NBA $15K Sharpshooter [20 Entry Max],1650,Classic,117975374,3,20,15000,Wed 7:00PM,62,5945,58962,5000
NBA $22K Zone [$5K to 1st],2750,Classic,117975379,5,150,22000,Wed 7:00PM,4,5231,58962,4400
NBA $26K Jab Step [$5K to 1st],3300,Classic,117975381,6,150,26000,Wed 7:00PM,1,5098,58962,4333.33333333333
NBA $2 Double Up,1100,Classic,117964746,2,20,8000,Wed 7:00PM,44,4597,58962,4000
NBA $30K Excellent 8's [2x Min Cash],4400,Classic,117975380,8,132,30000,Wed 7:00PM,1,4411,58962,3750
NBA $10K Hot Shot [3 Entry Max],1650,Classic,117964717,3,3,10000,Wed 7:00PM,38,3963,58962,3333.33333333333
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,117964830,4,20,10000,Wed 10:00PM,24,2972,59087,2500
NBA $5 Double Up,2750,Classic,117964744,5,82,12000,Wed 7:00PM,42,2758,58962,2400
NBA $2K And-One (Turbo),550,Classic,117964774,1,20,2000,Wed 7:30PM,31,2378,59077,2000
NBA $2K And-One (Turbo),550,Classic,117964792,1,20,2000,Wed 8:00PM,29,2378,59082,2000
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,117964777,10,52,15000,Wed 7:30PM,2,1764,59077,1500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,117964795,10,52,15000,Wed 8:00PM,0,1764,59082,1500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,117964818,10,52,15000,Wed 9:00PM,0,1764,59086,1500
NBA $8K Finger Roll [3 Entry Max],4400,Classic,117964747,8,3,8000,Wed 7:00PM,7,1176,58962,1000
NBA $5 Double Up,2750,Classic,117964745,5,34,5000,Wed 7:00PM,25,1149,58962,1000
NBA $1K And-One (Turbo),550,Classic,117964823,1,20,1000,Wed 9:00PM,30,1189,59086,1000
