name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
Luka Doncic,$10.6k,PG,136,DAL,ATL,7,+2.5,225.5,111.5,36.0,65.3,77.5,52.8,4.98
G. Antetokounmpo,$10.3k,PF/C,1,MIL,MIA,29,-2,224,113,52.3,66.7,79.5,51.5,5
S. Curry,$10.0k,PG,1,GSW,LAC,5,-3.5,226,114.8,34.8,54.4,73.3,49.3,4.93
Paul George,$9.7k,SF,112,LAC,GSW,13,+3.5,226,111.3,33.8,52.5,72.3,47.5,4.9
Trae Young,$9.1k,PG,109,ATL,DAL,2,-2.5,225.5,114,22.0,42.6,75.8,43.5,4.78
J. Butler,$8.3k,SF,144,MIA,MIL,4,+2,224,111,22.0,37.6,47.0,39.8,4.79
Kyle Lowry,$8.1k,PG,171,MIA,MIL,22,+2,224,111,27.8,40.8,63.0,39.0,4.81
Bam Adebayo,$7.6k,C,144,MIA,MIL,7,+2,224,111,23.8,34.8,47.0,36.5,4.8
K. Middleton,$7.3k,SF,1,MIL,MIA,5,-2,224,113,36.8,43.2,58.5,36.0,4.93
D. Green,$6.9k,PF/C,1,GSW,LAC,1,-3.5,226,114.8,24.5,40.4,50.5,33.8,4.89
D. Wright,$7.0k,PG,157,ATL,DAL,2,-2.5,225.5,114,12.3,29.6,47.5,33.8,4.82
C. Capela,$7.2k,C,109,ATL,DAL,1,-2.5,225.5,114,11.0,23.4,28.3,33.0,4.58
K. Porzingis,$7.1k,PF,136,DAL,ATL,25,+2.5,225.5,111.5,16.5,25.2,36.8,32.8,4.61
R. Jackson,$6.7k,PG,112,LAC,GSW,15,+3.5,226,111.3,28.8,34.2,37.3,32.5,4.85
Jrue Holiday Q,$6.5k,PG,1,MIL,MIA,19,-2,224,113,17.8,42.3,61.5,32.3,4.96
John Collins,$6.8k,PF/C,109,ATL,DAL,19,-2.5,225.5,114,18.3,26.1,35.0,31.5,4.63
Tim Hardaway Jr.,$6.4k,SG/SF,136,DAL,ATL,28,+2.5,225.5,111.5,6.8,21.6,35.3,29.8,4.65
B. Bogdanovic,$6.1k,PG/SG,109,ATL,DAL,2,-2.5,225.5,114,17.0,31.6,43.8,29.8,4.88
K. Huerter,$6.2k,SG/SF,109,ATL,DAL,29,-2.5,225.5,114,13.5,26.8,35.5,29.5,4.76
A. Wiggins,$5.9k,SG/SF,1,GSW,LAC,20,-3.5,226,114.8,24.3,37.8,53.8,29.0,4.92
Eric Bledsoe,$6.0k,PG/SG,157,LAC,GSW,15,+3.5,226,111.3,19.8,29.8,52.0,28.8,4.79
J. Poole,$5.5k,PG/SG,1,GSW,LAC,5,-3.5,226,114.8,16.3,31.5,55.0,26.5,4.82
D. Finney-Smith,$5.3k,SF/PF,136,DAL,ATL,6,+2.5,225.5,111.5,16.3,25.8,35.0,25.5,4.81
B. Lopez,$5.6k,C,1,MIL,MIA,4,-2,224,113,15.5,18.5,23.3,25.3,4.51
I. Zubac,$5.0k,C,116,LAC,GSW,17,+3.5,226,111.3,2.0,24.6,44.0,24.3,4.85
