name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
G. Antetokounmpo,$10.3k,PF/C,1,MIL,MIA,29,+2.5,223.5,110.5,52.3,66.7,79.5,56.5,5.49
Luka Doncic,$10.6k,PG,136,DAL,ATL,8,+2,224.5,111.3,36.0,65.3,77.5,53.8,5.07
S. Curry,$10.0k,PG,1,GSW,LAC,6,-3,227.5,115.3,34.8,54.4,73.3,52.3,5.23
Paul George,$9.7k,SF,112,LAC,GSW,12,+3,227.5,112.3,33.8,52.5,72.3,47.5,4.9
Trae Young,$9.1k,PG,109,ATL,DAL,2,-2,224.5,113.3,22.0,42.6,75.8,42.5,4.67
J. Butler,$8.3k,SF,144,MIA,MIL,4,-2.5,223.5,113,22.0,37.6,47.0,42.5,5.12
Bam Adebayo,$7.6k,C,144,MIA,MIL,7,-2.5,223.5,113,23.8,34.8,47.0,41.8,5.49
K. Middleton,$7.3k,SF,1,MIL,MIA,5,+2.5,223.5,110.5,36.8,43.2,58.5,38.5,5.27
K. Porzingis,$7.1k,PF,136,DAL,ATL,25,+2,224.5,111.3,16.5,25.2,36.8,37.5,5.28
Kyle Lowry,$8.1k,PG,171,MIA,MIL,24,-2.5,223.5,113,27.8,40.8,63.0,35.0,4.32
John Collins,$6.8k,PF/C,109,ATL,DAL,18,-2,224.5,113.3,18.3,26.1,35.0,31.5,4.63
J. Nwora,$3.7k,SF/PF,1,MIL,MIA,5,+2.5,223.5,110.5,0.0,9.9,29.0,30.3,8.18
R. Jackson,$6.7k,PG,112,LAC,GSW,14,+3,227.5,112.3,28.8,34.2,37.3,30.0,4.48
D. Green,$6.9k,PF/C,1,GSW,LAC,1,-3,227.5,115.3,24.5,40.4,50.5,30.0,4.35
I. Zubac,$5.0k,C,116,LAC,GSW,17,+3,227.5,112.3,2.0,24.6,44.0,29.3,5.85
A. Wiggins,$5.9k,SG/SF,1,GSW,LAC,18,-3,227.5,115.3,24.3,37.8,53.8,29.0,4.92
Eric Bledsoe,$6.0k,PG/SG,157,LAC,GSW,14,+3,227.5,112.3,19.8,29.8,52.0,28.8,4.79
C. Capela,$7.2k,C,109,ATL,DAL,1,-2,224.5,113.3,11.0,23.4,28.3,28.0,3.89
B. Bogdanovic,$6.1k,PG/SG,109,ATL,DAL,2,-2,224.5,113.3,17.0,31.6,43.8,27.8,4.55
T. Herro,$5.2k,PG/SG,144,MIA,MIL,24,-2.5,223.5,113,11.8,22.2,41.5,27.3,5.24
M. Morris Sr.,$5.1k,PF,112,LAC,GSW,12,+3,227.5,112.3,11.0,24.0,42.8,27.0,5.29
J. Poole,$5.5k,PG/SG,1,GSW,LAC,6,-3,227.5,115.3,16.3,31.5,55.0,26.5,4.82
Tim Hardaway Jr.,$6.4k,SG/SF,136,DAL,ATL,28,+2,224.5,111.3,6.8,21.6,35.3,26.5,4.14
G. Allen,$4.4k,SG/SF,1,MIL,MIA,11,+2.5,223.5,110.5,5.3,16.4,29.5,26.0,5.91
Pat Connaughton,$4.5k,SG/SF,1,MIL,MIA,11,+2.5,223.5,110.5,10.5,22.1,32.8,25.0,5.56
D. Robinson,$5.0k,SG,144,MIA,MIL,2,-2.5,223.5,113,7.3,17.5,32.0,23.3,4.65
D. Hunter,$4.7k,SF,140,ATL,DAL,30,-2,224.5,113.3,8.5,18.2,26.5,23.0,4.89
N. Bjelica,$4.6k,PF/C,1,GSW,LAC,1,-3,227.5,115.3,9.8,29.1,44.5,22.8,4.95
George Hill,$3.5k,PG/SG,1,MIL,MIA,18,+2.5,223.5,110.5,3.8,8.6,13.3,22.5,6.43
D. Finney-Smith,$5.3k,SF/PF,136,DAL,ATL,6,+2,224.5,111.3,16.3,25.8,35.0,21.3,4.01
Terance Mann,$4.5k,SG/SF,112,LAC,GSW,20,+3,227.5,112.3,8.3,15.1,23.3,20.5,4.56
Damion Lee,$3.6k,PG,1,GSW,LAC,6,-3,227.5,115.3,8.8,17.8,23.0,19.5,5.42
K. Huerter,$6.2k,SG/SF,109,ATL,DAL,29,-2,224.5,113.3,13.5,26.8,35.5,19.5,3.15
J. Brunson,$3.5k,PG/SG,136,DAL,ATL,8,+2,224.5,111.3,2.0,11.8,20.0,18.8,5.36
Luke Kennard,$3.3k,SG/SF,112,LAC,GSW,20,+3,227.5,112.3,3.0,8.2,16.5,18.0,5.45
M. Morris,$3.7k,PF/C,139,MIA,MIL,13,-2.5,223.5,113,2.3,9.2,26.0,17.8,4.8
D. Powell,$3.3k,C,136,DAL,ATL,5,+2,224.5,111.3,0.0,7.6,21.3,17.5,5.3
J. Winslow,$3.4k,PG/SF,140,LAC,GSW,14,+3,227.5,112.3,2.8,15.7,49.3,16.3,4.78
T. Antetokounmpo,$3.2k,PF,1,MIL,MIA,29,+2.5,223.5,110.5,2.0,6.6,14.5,15.8,4.92
A. Iguodala,$3.7k,SG,1,GSW,LAC,18,-3,227.5,115.3,6.3,13.6,21.5,15.3,4.12
G. Dieng,$3.5k,C,154,ATL,DAL,1,-2,224.5,113.3,4.8,16.0,31.8,15.0,4.29
D. Dedmon,$3.7k,C,144,MIA,MIL,7,-2.5,223.5,113,4.5,13.5,32.8,14.8,3.99
K. Looney,$3.6k,C,1,GSW,LAC,19,-3,227.5,115.3,16.0,20.9,27.8,14.5,4.03
R. Bullock,$4.5k,SG/SF,140,DAL,ATL,28,+2,224.5,111.3,7.5,17.1,25.0,14.3,3.17
Maxi Kleber,$3.6k,PF/C,136,DAL,ATL,25,+2,224.5,111.3,2.0,9.1,20.3,13.3,3.68
P.J. Tucker,$4.0k,PF/C,92,MIA,MIL,13,-2.5,223.5,113,7.8,11.9,16.8,13.0,3.25
I. Hartenstein,$3.1k,C,166,LAC,GSW,17,+3,227.5,112.3,5.8,14.5,20.8,12.5,4.03
Cam Reddish,$3.9k,SG/SF,109,ATL,DAL,29,-2,224.5,113.3,16.0,22.8,33.8,12.5,3.21
Otto Porter Jr.,$4.3k,SF/PF,1,GSW,LAC,22,-3,227.5,115.3,8.3,16.2,27.8,12.5,2.91
Juan Toscano-Anderson,$3.3k,PF/C,1,GSW,LAC,1,-3,227.5,115.3,11.3,20.7,33.3,11.0,3.33
S. Brown,$3.9k,SG/SF,193,DAL,ATL,28,+2,224.5,111.3,0.0,16.9,25.3,10.5,2.69
S. Mamukelashvili,$3.0k,C,1,MIL,MIA,4,+2.5,223.5,110.5,2.8,2.8,2.8,9.5,3.17
