name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
J. Randle,$10.3k,PF/C,2,NY,DET,10,-7.5,208,107.8,30.0,40.2,48.8,49.5,4.81
L. James Q,$11.1k,PG/SF,1,LAL,PHO,11,+6.5,223.5,108.5,38.3,54.4,66.3,48.5,4.37
K. Towns,$9.9k,C,1,MIN,DAL,1,-2,213.5,107.8,38.3,45.7,56.0,48.3,4.87
D. Lillard Q,$9.8k,PG,1,POR,NO,22,+2.5,218,107.8,38.3,49.3,63.5,45.3,4.62
R. Westbrook,$10.4k,PG,1,LAL,PHO,11,+6.5,223.5,108.5,25.0,37.3,49.0,43.5,4.18
J. Valanciunas,$8.3k,C,3,NO,POR,21,-2.5,218,110.3,35.8,42.7,51.8,42.5,5.12
D. Sabonis,$10.6k,PF/C,4,IND,MIA,4,-2,211,106.5,30.8,44.1,50.8,42.3,3.99
J. Brunson,$7.4k,PG/SG,1,DAL,MIN,12,+2,213.5,105.8,26.0,33.5,42.3,42.0,5.68
B. Ingram,$8.9k,SG/SF,3,NO,POR,6,-2.5,218,110.3,39.0,45.3,51.5,41.5,4.66
D. Ayton,$8.2k,C,1,PHO,LAL,11,-6.5,223.5,115,30.8,39.4,49.8,39.3,4.79
D. Russell,$7.7k,PG/SG,1,MIN,DAL,9,-2,213.5,107.8,30.5,36.8,44.3,39.0,5.06
Kyle Lowry,$8.7k,PG,1,MIA,IND,18,+2,211,104.5,27.5,39.9,47.3,39.0,4.48
Chris Paul,$9.1k,PG,1,PHO,LAL,13,-6.5,223.5,115,28.5,38.2,61.5,38.5,4.23
K. Walker,$5.2k,PG,2,NY,DET,8,-7.5,208,107.8,18.0,25.5,43.0,38.5,7.4
D. Booker,$8.5k,PG/SG,1,PHO,LAL,13,-6.5,223.5,115,13.5,35.1,45.5,37.8,4.44
J. Nurkic Q,$6.9k,C,1,POR,NO,20,+2.5,218,107.8,18.0,28.2,43.8,37.3,5.4
Alec Burks,$7.6k,PG/SG,2,NY,DET,8,-7.5,208,107.8,17.8,23.8,34.0,37.0,4.87
Cade Cunningham,$8.6k,PG/SG,1,DET,NY,3,+7.5,208,100.3,24.8,39.6,53.8,36.5,4.24
M. Brogdon,$8.1k,PG,5,IND,MIA,1,-2,211,106.5,26.3,34.1,46.0,36.0,4.44
Evan Fournier,$5.1k,SG/SF,2,NY,DET,27,-7.5,208,107.8,5.3,22.6,48.8,33.5,6.57
N. Powell,$6.4k,SF,1,POR,NO,7,+2.5,218,107.8,24.5,35.8,49.5,33.3,5.2
M. Turner,$6.8k,C,4,IND,MIA,15,-2,211,106.5,27.5,33.4,36.8,32.8,4.82
C. LeVert,$7.8k,PG/SG,4,IND,MIA,1,-2,211,106.5,24.0,36.4,49.3,32.0,4.1
Josh Hart,$5.7k,SF/PF,3,NO,POR,28,-2.5,218,110.3,26.3,34.8,43.8,31.5,5.53
T. Herro Q,$7.0k,PG/SG,7,MIA,IND,18,+2,211,104.5,16.5,26.6,38.3,31.5,4.5
Trey Burke,$3.9k,PG,1,DAL,MIN,12,+2,213.5,105.8,9.3,19.1,37.8,31.0,7.95
D. Dedmon,$5.3k,C,1,MIA,IND,2,+2,211,104.5,19.3,29.0,44.0,30.3,5.71
