name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
N. Jokic,$11.7k,C,0,DEN,DAL,12,+5.5,208.5,101.5,52.8,60.3,68.8,56.8,4.85
Luka Doncic,$11.3k,PG/SF,2,DAL,DEN,2,-5.5,208.5,107,41.3,56.3,78.5,52.5,4.65
A. Davis,$10.4k,PF/C,0,LAL,CHI,10,+1,216.5,107.8,5.8,48.1,69.8,50.0,4.81
K. Towns,$10.2k,C,1,MIN,PHO,13,+3.5,222.5,109.5,30.0,41.0,51.0,48.0,4.71
J. Tatum,$9.8k,SF/PF,1,BOS,CLE,21,-3,199.5,101.3,25.5,41.7,57.3,47.0,4.8
Ja Morant,$10.0k,PG,1,MEM,HOU,24,-11.5,219,115.3,24.0,48.8,57.8,46.8,4.68
R. Westbrook,$10.8k,PG,0,LAL,CHI,17,+1,216.5,107.8,29.3,45.4,67.5,46.5,4.31
Trae Young,$9.5k,PG,0,ATL,ORL,18,-10.5,215,112.8,37.5,52.2,72.0,46.3,4.87
J. Randle,$9.7k,PF/C,2,NY,IND,20,-3.5,213,108.3,26.3,41.8,58.5,44.0,4.54
J. Valanciunas,$9.1k,C,1,NO,WAS,18,+4.5,207.5,101.5,36.8,44.0,52.8,43.8,4.81
J. Butler Q,$9.0k,SF,4,MIA,OKC,14,-9,207.5,108.3,12.5,35.7,51.8,42.8,4.75
D. Booker,$8.9k,PG/SG,0,PHO,MIN,27,-3.5,222.5,113,32.0,42.1,58.0,42.3,4.75
Bam Adebayo Q,$8.1k,C,1,MIA,OKC,19,-9,207.5,108.3,28.0,40.6,58.0,41.5,5.12
Chris Paul,$8.6k,PG,0,PHO,MIN,27,-3.5,222.5,113,33.3,41.3,48.5,41.3,4.8
M. Brogdon,$8.2k,PG,1,IND,NY,11,+3.5,213,104.8,33.3,42.1,49.8,40.0,4.88
S. Dinwiddie,$7.2k,PG,1,WAS,NO,25,-4.5,207.5,106,15.0,28.8,49.3,40.0,5.56
P. Siakam,$8.3k,PF/C,1,TOR,POR,18,+2,211.5,104.8,23.3,40.6,70.8,39.8,4.79
D. DeRozan,$8.3k,PF,0,CHI,LAL,9,-1,216.5,108.8,29.5,38.9,50.8,39.8,4.79
Christian Wood,$8.0k,C,0,HOU,MEM,23,+11.5,219,103.8,13.3,29.6,40.3,39.5,4.94
Zach LaVine,$8.1k,SG,0,CHI,LAL,5,-1,216.5,108.8,30.0,39.1,47.3,39.0,4.81
Shai Gilgeous-Alexander,$8.6k,PG,0,OKC,MIA,13,+9,207.5,99.3,32.0,39.7,45.8,39.0,4.53
Fred VanVleet Q,$8.4k,PG/SG,3,TOR,POR,16,+2,211.5,104.8,37.0,44.5,54.5,38.8,4.61
D. Lillard Q,$9.2k,PG,2,POR,TOR,1,-2,211.5,106.8,28.5,40.6,46.8,38.8,4.21
D. Sabonis,$8.8k,PF/C,1,IND,NY,21,+3.5,213,104.8,25.3,38.1,51.3,38.0,4.32
A. Edwards,$7.9k,SG/SF,1,MIN,PHO,2,+3.5,222.5,109.5,14.3,39.0,67.5,38.0,4.81
De'Aaron Fox,$8.2k,PG,2,SAC,DET,8,-4.5,214.5,109.5,24.8,39.0,55.5,37.5,4.57
J. Grant,$7.2k,PF,1,DET,SAC,19,+4.5,214.5,105,18.5,35.8,51.3,37.5,5.21
K. Porzingis,$7.0k,PF,2,DAL,DEN,17,-5.5,208.5,107,14.3,34.0,47.8,37.0,5.29
Kyle Lowry,$7.6k,PG,1,MIA,OKC,23,-9,207.5,108.3,12.3,38.0,56.0,37.0,4.87
C. Capela,$7.0k,C,0,ATL,ORL,28,-10.5,215,112.8,14.0,30.1,40.5,36.8,5.25
B. Ingram,$8.5k,SG/SF,1,NO,WAS,8,+4.5,207.5,101.5,29.3,38.7,43.5,36.8,4.32
Kyle Kuzma,$6.7k,SF/PF,1,WAS,NO,18,-4.5,207.5,106,8.0,29.3,38.5,36.5,5.45
J. Allen,$7.5k,C,1,CLE,BOS,3,+3,199.5,98.3,21.8,35.0,49.3,36.3,4.83
CJ McCollum,$7.7k,PG/SG,0,POR,TOR,1,-2,211.5,106.8,21.3,30.4,39.0,36.0,4.68
D. Schroder,$6.5k,PG/SG,1,BOS,CLE,6,-3,199.5,101.3,26.8,36.5,53.0,36.0,5.54
M. Harrell,$6.5k,C,1,WAS,NO,1,-4.5,207.5,106,26.0,35.8,45.8,36.0,5.54
Cole Anthony,$7.4k,PG,1,ORL,ATL,29,+10.5,215,102.3,26.3,37.9,51.3,35.8,4.83
W. Carter Jr.,$6.9k,PF/C,1,ORL,ATL,28,+10.5,215,102.3,17.3,35.7,54.8,35.3,5.11
Evan Mobley,$7.2k,PF/C,1,CLE,BOS,8,+3,199.5,98.3,28.3,37.6,49.3,35.0,4.86
H. Barnes,$7.3k,SF/PF,2,SAC,DET,27,-4.5,214.5,109.5,25.3,32.6,39.0,34.5,4.73
D. Russell,$7.1k,PG/SG,1,MIN,PHO,20,+3.5,222.5,109.5,15.8,35.3,52.8,34.5,4.86
OG Anunoby,$7.5k,SF/PF,1,TOR,POR,13,+2,211.5,104.8,22.5,31.7,43.5,34.3,4.57
John Collins,$7.1k,PF/C,0,ATL,ORL,15,-10.5,215,112.8,15.0,31.6,43.3,33.8,4.75
R. Rubio,$6.0k,PG,1,CLE,BOS,9,+3,199.5,98.3,22.3,37.0,61.3,33.0,5.5
Mo Bamba,$6.9k,C,1,ORL,ATL,22,+10.5,215,102.3,25.0,33.7,49.3,33.0,4.78
M. Turner,$6.7k,C,1,IND,NY,30,+3.5,213,104.8,29.5,37.2,49.3,32.8,4.89
S. Barnes,$6.8k,SF/PF,1,TOR,POR,13,+2,211.5,104.8,25.0,32.8,37.3,32.8,4.82
D. Garland,$6.8k,PG/SG,1,CLE,BOS,9,+3,199.5,98.3,27.8,33.9,39.0,32.8,4.82
T. Herro,$6.6k,PG/SG,1,MIA,OKC,23,-9,207.5,108.3,24.8,35.5,40.5,32.5,4.92
R. Holmes,$6.8k,C,2,SAC,DET,7,-4.5,214.5,109.5,19.0,32.1,50.5,32.5,4.78
D. Brooks,$6.5k,SF,1,MEM,HOU,16,-11.5,219,115.3,28.8,35.3,40.3,31.8,4.88
C. LeVert,$6.7k,SG/SF,1,IND,NY,23,+3.5,213,104.8,20.0,30.1,39.5,31.8,4.74
J. Nurkic,$6.6k,C,0,POR,TOR,9,-2,211.5,106.8,12.0,30.6,46.3,31.8,4.81
Saddiq Bey,$6.4k,SF/PF,1,DET,SAC,6,+4.5,214.5,105,14.8,27.1,39.0,31.8,4.96
T. Haliburton,$6.0k,PG/SG,2,SAC,DET,8,-4.5,214.5,109.5,27.8,32.7,48.0,31.3,5.21
R. Williams,$6.4k,C,1,BOS,CLE,27,-3,199.5,101.3,21.0,34.0,46.0,31.3,4.88
Cade Cunningham,$5.5k,PG/SG,1,DET,SAC,14,+4.5,214.5,105,20.0,28.9,39.0,31.0,5.64
Al Horford Q,$7.4k,PF/C,2,BOS,CLE,1,-3,199.5,101.3,23.5,29.5,46.5,31.0,4.19
K. Porter Jr.,$6.2k,PG,0,HOU,MEM,21,+11.5,219,103.8,17.3,27.1,34.3,31.0,5
Lonzo Ball,$6.5k,PG,0,CHI,LAL,30,-1,216.5,108.8,22.0,27.7,43.0,30.5,4.69
RJ Barrett,$5.9k,PG/SF,2,NY,IND,12,-3.5,213,108.3,8.5,20.8,36.5,30.0,5.08
Josh Giddey,$6.4k,SG/SF,0,OKC,MIA,27,+9,207.5,99.3,19.3,25.8,35.5,30.0,4.69
B. Hield,$6.1k,SG/SF,2,SAC,DET,9,-4.5,214.5,109.5,18.8,28.7,38.8,29.0,4.75
J. Jackson Jr.,$6.0k,PF/C,1,MEM,HOU,27,-11.5,219,115.3,15.3,29.2,37.0,29.0,4.83
A. Gordon,$5.4k,PF,0,DEN,DAL,6,+5.5,208.5,101.5,16.3,26.0,45.0,28.3,5.23
Gary Trent Jr.,$5.8k,SG/SF,1,TOR,POR,3,+2,211.5,104.8,19.8,30.1,37.5,28.3,4.87
J. Brunson,$5.8k,PG/SG,2,DAL,DEN,2,-5.5,208.5,107,22.5,33.0,53.0,28.0,4.83
N. Alexander-Walker,$5.9k,PG/SG,1,NO,WAS,4,+4.5,207.5,101.5,12.3,30.0,61.0,27.8,4.7
D. Graham,$6.3k,PG,1,NO,WAS,4,+4.5,207.5,101.5,22.8,26.9,30.0,27.5,4.37
S. Adams,$5.1k,C,1,MEM,HOU,11,-11.5,219,115.3,9.3,24.2,41.8,27.0,5.29
I. Stewart,$5.0k,C,1,DET,SAC,6,+4.5,214.5,105,14.3,22.8,33.0,27.0,5.4
M. Smart,$5.4k,PG/SG,1,BOS,CLE,6,-3,199.5,101.3,18.0,28.6,42.5,26.0,4.81
M. Bridges,$5.0k,SG/SF,0,PHO,MIN,20,-3.5,222.5,113,18.8,22.9,28.5,26.0,5.2
Tim Hardaway Jr.,$5.4k,SG,2,DAL,DEN,1,-5.5,208.5,107,13.5,26.4,40.0,26.0,4.81
Josh Hart,$5.3k,SF/PF,1,NO,WAS,2,+4.5,207.5,101.5,10.8,26.8,38.0,25.8,4.86
J. McGee,$4.2k,C,0,PHO,MIN,21,-3.5,222.5,113,14.3,26.1,47.0,25.5,6.07
Jae'Sean Tate,$5.3k,SF/PF,0,HOU,MEM,30,+11.5,219,103.8,9.8,25.1,35.0,25.5,4.81
N. Powell,$5.4k,SF,0,POR,TOR,22,-2,211.5,106.8,13.8,24.4,35.8,25.5,4.72
Alex Caruso,$4.0k,PG/SG,0,CHI,LAL,30,-1,216.5,108.8,16.5,23.9,33.8,25.5,6.38
J. Green,$5.0k,PG/SG,0,HOU,MEM,21,+11.5,219,103.8,12.5,19.2,32.8,25.5,5.1
Desmond Bane,$4.7k,SG,1,MEM,HOU,6,-11.5,219,115.3,2.8,16.9,25.8,25.0,5.32
Luguentz Dort,$5.0k,SG,0,OKC,MIA,27,+9,207.5,99.3,21.8,29.4,36.8,24.8,4.95
C. Anthony,$5.3k,PF,0,LAL,CHI,10,+1,216.5,107.8,16.8,24.7,41.8,24.8,4.67
F. Wagner,$4.7k,SF/PF,1,ORL,ATL,1,+10.5,215,102.3,15.3,21.3,30.3,24.8,5.27
D. Bazley Q,$5.1k,PF/C,0,OKC,MIA,7,+9,207.5,99.3,12.3,24.9,35.8,24.5,4.8
Evan Fournier,$4.6k,SG/SF,2,NY,IND,7,-3.5,213,108.3,6.0,15.9,24.8,24.3,5.27
K. Huerter,$3.8k,SG/SF,0,ATL,ORL,12,-10.5,215,112.8,12.8,21.5,42.3,24.0,6.32
Kyle Anderson,$4.4k,SF/PF,1,MEM,HOU,16,-11.5,219,115.3,11.5,22.0,36.3,24.0,5.45
B. Bogdanovic Q,$5.1k,PG/SG,0,ATL,ORL,18,-10.5,215,112.8,14.5,20.5,27.8,23.8,4.66
T. Horton-Tucker,$3.0k,SG/SF,0,LAL,CHI,13,+1,216.5,107.8,0.5,15.2,27.3,23.5,7.83
K. Walker,$5.4k,PG,2,NY,IND,12,-3.5,213,108.3,6.5,18.4,39.3,23.3,4.31
Jae Crowder,$4.8k,PF,0,PHO,MIN,26,-3.5,222.5,113,18.0,25.1,30.5,23.3,4.84
P. Beverley,$4.1k,PG,1,MIN,PHO,20,+3.5,222.5,109.5,11.3,20.4,27.3,23.0,5.61
K. Hayes,$4.5k,PG,1,DET,SAC,14,+4.5,214.5,105,9.8,24.5,40.3,23.0,5.11
M. Morris,$4.4k,PG,0,DEN,DAL,10,+5.5,208.5,101.5,16.3,24.4,36.3,23.0,5.23
D. Robinson,$4.7k,SG/SF,1,MIA,OKC,4,-9,207.5,108.3,9.5,25.9,37.5,22.8,4.84
A. Holiday,$3.5k,PG/SG,1,WAS,NO,25,-4.5,207.5,106,0.0,13.9,25.0,22.5,6.43
Derrick Rose,$4.7k,PG/SG,2,NY,IND,12,-3.5,213,108.3,12.3,29.3,47.3,22.5,4.79
J. Suggs Q,$4.0k,PG/SG,1,ORL,ATL,29,+10.5,215,102.3,14.0,17.0,19.8,22.5,5.63
D. Gafford,$4.3k,C,1,WAS,NO,1,-4.5,207.5,106,14.0,20.1,27.0,22.0,5.12
C. Duarte Q,$4.7k,SG,1,IND,NY,23,+3.5,213,104.8,11.8,19.5,26.3,22.0,4.68
G. Hernangomez,$4.6k,C,9,NO,WAS,18,+4.5,207.5,101.5,3.5,22.3,41.3,21.8,4.73
Cedi Osman,$3.9k,SG/SF,1,CLE,BOS,15,+3,199.5,98.3,11.8,21.2,26.5,21.8,5.58
Eric Gordon Q,$4.6k,SG/SF,0,HOU,MEM,26,+11.5,219,103.8,13.3,19.7,26.3,21.5,4.67
T.J. McConnell,$5.6k,PG,1,IND,NY,11,+3.5,213,104.8,24.5,34.1,40.5,21.5,3.84
D. Finney-Smith,$4.5k,SF/PF,2,DAL,DEN,26,-5.5,208.5,107,15.5,21.8,37.8,21.3,4.72
F. Kaminsky,$5.6k,PF/C,0,PHO,MIN,26,-3.5,222.5,113,19.8,28.4,46.8,21.3,3.79
D. Melton,$4.6k,PG/SG,1,MEM,HOU,24,-11.5,219,115.3,4.3,17.3,33.3,21.3,4.62
Josh Jackson,$4.3k,SG/SF,1,DET,SAC,29,+4.5,214.5,105,8.3,19.0,26.0,20.5,4.77
Josh Richardson Q,$3.5k,SG/SF,2,BOS,CLE,14,-3,199.5,101.3,11.0,19.8,28.3,20.3,5.79
A. Sengun,$4.1k,C,0,HOU,MEM,23,+11.5,219,103.8,19.0,23.2,31.0,20.3,4.94
D. Theis,$4.2k,PF/C,0,HOU,MEM,3,+11.5,219,103.8,9.8,20.7,28.3,20.0,4.76
B. Hyland,$3.4k,PG/SG,0,DEN,DAL,10,+5.5,208.5,101.5,2.3,20.3,32.3,20.0,5.88
Chimezie Metu,$3.5k,PF,2,SAC,DET,5,-4.5,214.5,109.5,3.0,16.9,23.3,20.0,5.71
R. Covington,$4.2k,PF/C,0,POR,TOR,11,-2,211.5,106.8,11.5,18.6,28.0,19.8,4.7
D. Mitchell,$4.4k,PG,2,SAC,DET,8,-4.5,214.5,109.5,13.0,22.0,31.5,19.5,4.43
Alec Burks,$4.2k,SG/SF,2,NY,IND,7,-3.5,213,108.3,9.5,20.3,37.8,19.5,4.64
K. Caldwell-Pope,$4.1k,SG/SF,1,WAS,NO,22,-4.5,207.5,106,13.8,21.1,31.3,19.5,4.76
Raul Neto,$3.3k,PG,1,WAS,NO,25,-4.5,207.5,106,6.3,17.4,25.3,19.5,5.91
M. Robinson,$4.0k,C,2,NY,IND,24,-3.5,213,108.3,14.0,19.7,28.3,19.3,4.81
Terrence Ross,$3.6k,SF,1,ORL,ATL,1,+10.5,215,102.3,10.0,15.0,23.8,19.3,5.35
A. Simons,$3.5k,PG/SG,0,POR,TOR,1,-2,211.5,106.8,8.5,16.2,30.3,19.3,5.5
D. Gallinari,$3.2k,PF,0,ATL,ORL,15,-10.5,215,112.8,4.8,10.5,14.8,19.0,5.94
Naz Reid Q,$3.1k,PF/C,1,MIN,PHO,12,+3.5,222.5,109.5,11.5,20.1,29.0,18.8,6.05
Malik Monk,$4.1k,SG,0,LAL,CHI,13,+1,216.5,107.8,14.5,24.8,41.5,18.3,4.45
N. Little,$3.8k,SF/PF,0,POR,TOR,22,-2,211.5,106.8,16.0,26.3,41.0,18.3,4.8
P.J. Tucker,$3.8k,PF/C,1,MIA,OKC,29,-9,207.5,108.3,11.3,21.6,32.3,18.3,4.8
PJ Dozier,$3.7k,SG/SF,0,DEN,DAL,19,+5.5,208.5,101.5,15.5,20.4,27.0,18.0,4.86
