contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $50K And-One [20 Entry Max],550,Classic,118527765,1,20,50000,Wed 7:00PM,400,59453,59548,50000
NBA $450K Fadeaway [$100K to 1st],8250,Classic,118527771,15,150,450000,Wed 7:00PM,359,35294,59548,30000
NBA $100K Four Point Play [20 Entry Max],2200,Classic,118527763,4,20,1e+05,Wed 7:00PM,141,29726,59548,25000
NBA $17.5K And-One (Night),550,Classic,118515683,1,20,17500,Wed 10:00PM,102,20808,59559,17500
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,118484171,15,150,150000,Tue 10:00PM,11577,11764,59494,10000
NBA $15K mini-MAX [150 Entry Max],1100,Classic,118515578,2,150,15000,Wed 7:00PM,23,8917,59548,7500
NBA $25K Zone [$5K to 1st],2750,Classic,118515576,5,150,25000,Wed 7:00PM,163,5945,59548,5000
NBA $26K Jab Step [$5K to 1st],3300,Classic,118515575,6,150,26000,Wed 7:00PM,159,5098,59548,4333.33333333333
NBA $4K And-One (Night),550,Classic,118529419,1,20,4000,Tue 10:00PM,2632,4756,59494,4000
NBA $30K Excellent 8's [2x Min Cash],4400,Classic,118527772,8,132,30000,Wed 7:00PM,136,4411,59548,3750
NBA $10K Hot Shot [3 Entry Max],1650,Classic,118515577,3,3,10000,Wed 7:00PM,41,3963,59548,3333.33333333333
NBA $10K Sharpshooter,1650,Classic,118527766,3,20,10000,Wed 7:00PM,45,3963,59548,3333.33333333333
NBA $2 Double Up,1100,Classic,118515607,2,20,6000,Wed 7:00PM,53,3448,59548,3000
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,118515680,4,20,10000,Wed 10:00PM,11,2972,59559,2500
NBA $5 Double Up,2750,Classic,118515605,5,68,10000,Wed 7:00PM,209,2298,59548,2000
NBA $2K And-One (Turbo),550,Classic,118515632,1,20,2000,Wed 7:30PM,37,2378,59555,2000
NBA $2K And-One (Turbo),550,Classic,118515650,1,20,2000,Wed 8:00PM,29,2378,59557,2000
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,118515637,10,52,15000,Wed 7:30PM,58,1764,59555,1500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,118515655,10,52,15000,Wed 8:00PM,61,1764,59557,1500
NBA $5 Double Up,2750,Classic,118515606,5,34,5000,Wed 7:00PM,104,1149,59548,1000
