name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
S. Curry,$11.8k,PG,2,GSW,SAC,27,-13,221,117,30.5,38.3,45.5,54.5,4.62
Joel Embiid Q,$11.6k,C,3,PHI,BOS,17,+3.5,213.5,105,41.3,47.7,53.8,51.5,4.44
J. Tatum,$10.5k,SF/PF,1,BOS,PHI,30,-3.5,213.5,108.5,37.8,47.7,62.3,48.0,4.57
D. DeRozan,$9.3k,PF,0,CHI,HOU,11,-6.5,222.5,114.5,38.3,45.1,52.5,45.5,4.89
N. Vucevic,$9.1k,C,0,CHI,HOU,25,-6.5,222.5,114.5,22.8,34.0,42.8,44.8,4.92
D. Murray,$9.8k,PG,0,SA,LAC,13,+4.5,217.5,106.5,21.8,41.4,54.8,44.5,4.54
Rudy Gobert,$9.2k,C,1,UTA,CHA,8,-12.5,237.5,125,37.3,45.4,50.3,44.3,4.81
LaMelo Ball,$9.6k,PG/SG,0,CHA,UTA,26,+12.5,237.5,112.5,37.5,51.0,64.3,43.8,4.56
Paul George Q,$10.8k,SG/SF,13,LAC,SA,13,-4.5,217.5,111,35.3,41.3,45.0,43.5,4.03
D. Mitchell,$9.7k,PG/SG,1,UTA,CHA,29,-12.5,237.5,125,37.8,41.3,45.8,43.0,4.43
T. Harris,$8.7k,PF,3,PHI,BOS,15,+3.5,213.5,105,18.5,29.0,36.3,40.8,4.68
Christian Wood,$8.8k,C,1,HOU,CHI,16,+6.5,222.5,108,24.8,38.0,44.8,40.0,4.55
Lonzo Ball,$7.7k,PG,0,CHI,HOU,28,-6.5,222.5,114.5,29.3,38.8,49.0,38.5,5
M. Bridges,$8.0k,SF/PF,0,CHA,UTA,11,+12.5,237.5,112.5,27.5,39.3,44.5,38.5,4.81
J. Brown,$9.0k,SG/SF,1,BOS,PHI,6,-3.5,213.5,108.5,18.5,31.5,40.0,38.3,4.25
Shai Gilgeous-Alexander,$8.6k,PG,1,OKC,MEM,4,+9,214.5,102.8,21.0,35.5,45.3,38.0,4.42
D. Brooks,$6.4k,SF,0,MEM,OKC,17,-9,214.5,111.8,28.5,37.7,49.3,35.3,5.51
H. Barnes,$6.0k,SF/PF,0,SAC,GSW,3,+13,221,104,11.0,25.1,34.0,34.3,5.71
T. Haliburton,$7.0k,PG/SG,0,SAC,GSW,22,+13,221,104,17.5,35.8,54.0,34.3,4.89
Josh Giddey,$7.2k,SG/SF,1,OKC,MEM,1,+9,214.5,102.8,22.8,34.3,45.0,34.3,4.76
B. Hield,$5.8k,SG/SF,0,SAC,GSW,5,+13,221,104,21.3,29.6,43.8,33.8,5.82
Ja Morant Q,$8.9k,PG,23,MEM,OKC,10,-9,214.5,111.8,6.8,34.1,52.5,33.5,3.76
D. Green,$7.1k,PF/C,2,GSW,SAC,23,-13,221,117,20.0,29.8,39.3,33.3,4.68
J. Poeltl,$6.2k,C,0,SA,LAC,4,+4.5,217.5,106.5,15.0,26.9,49.0,32.3,5.2
