contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $15K And-One (Night),550,Classic,116326057,1,20,15000,Fri 10:00PM,6903,17835,58155,15000
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,116331800,15,150,150000,Fri 10:00PM,4458,11764,58155,10000
NBA $15K Sharpshooter [20 Entry Max],1650,Classic,116389521,3,20,15000,Fri 7:00PM,3675,5945,58145,5000
NBA $30K Jab Step [$5K to 1st],3300,Classic,116331222,6,150,30000,Fri 7:00PM,5162,5882,58145,5000
NBA $25K Zone [$5K to 1st],2750,Classic,116331217,5,150,25000,Fri 7:00PM,5905,5945,58145,5000
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,116326055,6,150,26000,Fri 10:00PM,1578,5098,58155,4333.33333333333
NBA $30K Excellent 8's [2x Min Cash],4400,Classic,116331223,8,132,30000,Fri 7:00PM,3322,4411,58145,3750
NBA $3K And-One [20 Entry Max] (Turbo),550,Classic,116326007,1,20,3000,Fri 7:30PM,3463,3567,58149,3000
NBA $3K And-One [20 Entry Max] (Turbo),550,Classic,116326027,1,20,3000,Fri 8:00PM,2729,3567,58151,3000
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,116326056,4,20,10000,Fri 10:00PM,1331,2972,58155,2500
NBA $35K Fadeaway [$10K to 1st],8250,Classic,116395133,15,82,35000,Fri 7:00PM,103,2745,58145,2333.33333333333
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,116326009,10,52,15000,Fri 7:30PM,1541,1764,58149,1500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,116326029,10,52,15000,Fri 8:00PM,1241,1764,58151,1500
NBA $2 Double Up,1100,Classic,116386806,2,20,3000,Fri 7:00PM,1664,1724,58145,1500
NBA $5 Double Up,2750,Classic,116325975,5,41,6000,Fri 7:00PM,1332,1379,58145,1200
NBA $2 Double Up,1100,Classic,116394800,2,20,2000,Fri 7:00PM,117,1149,58145,1000
NBA $1K And-One (Turbo),550,Classic,116390054,1,20,1000,Fri 7:30PM,259,1189,58149,1000
