contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $50K And-One [20 Entry Max],550,Classic,117394649,1,20,50000,Wed 7:00PM,395,59453,58792,50000
NBA $450K Fadeaway [$100K to 1st],8250,Classic,117394654,15,150,450000,Wed 7:00PM,418,35294,58792,30000
NBA $100K Four Point Play [20 Entry Max],2200,Classic,117394646,4,20,1e+05,Wed 7:00PM,191,29726,58792,25000
NBA $15K And-One (Night),550,Classic,117392695,1,20,15000,Wed 10:00PM,105,17835,58799,15000
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,117342680,15,150,150000,Tue 10:00PM,11741,11764,58623,10000
NBA $15K mini-MAX [150 Entry Max],1100,Classic,117392607,2,150,15000,Wed 7:00PM,10,8917,58792,7500
NBA $25K Zone [$5K to 1st],2750,Classic,117394647,5,150,25000,Wed 7:00PM,324,5945,58792,5000
NBA $15K Sharpshooter [20 Entry Max],1650,Classic,117394648,3,20,15000,Wed 7:00PM,106,5945,58792,5000
NBA $26K Jab Step [$5K to 1st],3300,Classic,117394656,6,150,26000,Wed 7:00PM,328,5098,58792,4333.33333333333
NBA $4K And-One (Night),550,Classic,117398269,1,20,4000,Tue 10:00PM,3430,4756,58623,4000
NBA $30K Excellent 8's [2x Min Cash],4400,Classic,117394655,8,132,30000,Wed 7:00PM,156,4411,58792,3750
NBA $10K Hot Shot [3 Entry Max],1650,Classic,117392606,3,3,10000,Wed 7:00PM,18,3963,58792,3333.33333333333
NBA $2 Double Up,1100,Classic,117392636,2,20,6000,Wed 7:00PM,69,3448,58792,3000
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,117392694,4,20,10000,Wed 10:00PM,17,2972,58799,2500
NBA $5 Double Up,2750,Classic,117392634,5,68,10000,Wed 7:00PM,229,2298,58792,2000
NBA $2K And-One (Turbo),550,Classic,117392672,1,20,2000,Wed 8:00PM,39,2378,58797,2000
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,117392679,10,52,15000,Wed 8:00PM,55,1764,58797,1500
NBA $15K Fadeaway [$5K to 1st] (Night),8250,Classic,117401350,15,35,15000,Tue 10:00PM,783,1176,58623,1000
NBA $8K Finger Roll [3 Entry Max],4400,Classic,117392605,8,3,8000,Wed 7:00PM,5,1176,58792,1000
NBA $5 Double Up,2750,Classic,117392635,5,34,5000,Wed 7:00PM,114,1149,58792,1000
