contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $50K Micro And-One Special [20 Entry Max],550,Classic,123912321,1,20,50000,Tue 7:30PM,59299,59453,63753,50000
NBA $400K Big Jam [$100K to 1st],5500,Classic,123912315,10,150,4e+05,Tue 7:30PM,46962,47058,63753,40000
NBA $17.5K And-One (Night),550,Classic,123932466,1,20,17500,Wed 10:00PM,92,20808,63927,17500
NBA $30K Jab Step [$5K to 1st],3300,Classic,123912320,6,150,30000,Tue 7:30PM,5635,5882,63753,5000
NBA $25K Zone [$5K to 1st],2750,Classic,123932369,5,150,25000,Wed 7:00PM,22,5945,63918,5000
NBA $70K Fadeaway [$20K to 1st] (Night),8250,Classic,123914867,15,150,70000,Tue 8:00PM,4953,5490,63757,4666.66666666667
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,123932461,6,150,26000,Wed 10:00PM,22,5098,63927,4333.33333333333
NBA $40K Pull Up Jumper [$10K to 1st],5500,Classic,123940265,10,141,40000,Tue 7:30PM,4459,4705,63753,4000
NBA $3K And-One,550,Classic,123943148,1,20,3000,Tue 7:30PM,2252,3567,63753,3000
NBA $10K Stretch Four [3 Entry Max],2200,Classic,123904469,4,3,10000,Tue 7:30PM,2499,2972,63753,2500
NBA $6K Sharpshooter [20 Entry Max],1650,Classic,123942848,3,20,6000,Tue 7:30PM,1532,2378,63753,2000
NBA $5K Hot Shot [3 Entry Max],1650,Classic,123932355,3,3,5000,Wed 7:00PM,11,1981,63918,1666.66666666667
NBA $5K Sharpshooter [20 Entry Max],1650,Classic,123932370,3,20,5000,Wed 7:00PM,6,1981,63918,1666.66666666667
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,123932417,10,52,15000,Wed 7:30PM,1,1764,63922,1500
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,123932418,1,20,1500,Wed 7:30PM,14,1783,63922,1500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,123932438,10,52,15000,Wed 8:00PM,2,1764,63924,1500
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,123932439,1,20,1500,Wed 8:00PM,9,1783,63924,1500
NBA $6K Four Point Play [20 Entry Max] (Night),2200,Classic,123932465,4,20,6000,Wed 10:00PM,4,1783,63927,1500
NBA $2 Double Up,1100,Classic,123932365,2,20,3000,Wed 7:00PM,4,1724,63918,1500
NBA $4K Four Point Play (Night),2200,Classic,123904510,4,20,4000,Tue 8:00PM,1185,1189,63757,1000
