abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
G. Antetokounmpo,Giannis Antetokounmpo,PF/SF,MIL,56.0,"$11,300",4.95,34.85,29.4,11.1,5.9,1.2,1.3,3.1
L. Doncic,Luka Doncic,PG/SG,DAL,51.1,"$11,000",4.64,34.92,27.6,7.6,9.1,1.1,0.5,4.1
S. Curry,Stephen Curry,PG,LAC,48.7,"$10,000",4.87,33.93,33.3,5.3,5.3,1.2,0.2,3.1
T. Young,Trae Young,PG,DAL,45.3,"$9,600",4.72,34.03,26.7,3.9,9.6,0.9,0.2,3.8
J. Butler,Jimmy Butler,SF/SG,MIL,44.8,"$9,100",4.92,34.79,22.0,6.9,6.4,1.9,0.4,2.0
P. George,Paul George,SG/SF,LAC,44.3,"$9,900",4.47,34.57,25.1,8,4.8,1.3,0.5,3.0
B. Adebayo,Bam Adebayo,C/PF,MIL,40.2,"$8,200",4.9,34.24,17.8,9,4.8,1.1,1.2,2.5
K. Middleton,Khris Middleton,SF/SG,MIL,38.7,"$7,800",4.96,35.87,21.3,6.2,5.7,1.1,0.2,2.5
K. Porzingis,Kristaps Porzingis,PF/C,DAL,35.1,"$7,000",5.01,32.18,17.0,8.9,1.8,0.7,1.3,1.3
K. Lowry,Kyle Lowry,PG,MIL,32.9,"$7,200",4.56,33.33,16.0,5,6.3,1.0,0.3,2.5
D. Green,Draymond Green,PF/C,LAC,32.6,"$7,100",4.6,32.41,7.0,7.2,8.2,1.5,1.0,2.8
J. Collins,John Collins,PF/C,DAL,30.9,"$6,400",4.83,30.34,16.3,7.6,1.4,0.6,1.0,1.4
C. Capela,Clint Capela,C,DAL,30.0,"$7,600",3.95,26.63,10.1,10.7,0.8,0.6,1.7,1.0
R. Jackson,Reggie Jackson,PG/SG,LAC,29.0,"$5,000",5.8,32.02,16.5,3.8,3.9,1.0,0.2,1.5
J. Poole,Jordan Poole,PG/SG,LAC,28.7,"$5,200",5.53,32.68,18.4,3.2,3.0,0.9,0.3,1.6
A. Wiggins,Andrew Wiggins,SG/SF,LAC,28.4,"$6,900",4.12,32.14,15.1,4.7,2.2,0.9,1.1,1.6
B. Bogdanovic,Bogdan Bogdanovic,SF/SG,DAL,27.8,"$6,200",4.49,30.22,15.7,3.7,3.4,1.0,0.3,1.3
D. Hunter,De'Andre Hunter,SF,DAL,26.5,"$4,400",6.02,33.02,13.6,5.4,2.2,0.9,0.6,1.4
T. Herro,Tyler Herro,SG/SF,MIL,26.4,"$4,900",5.38,28.68,15.3,4.5,2.9,0.7,0.3,1.7
I. Zubac,Ivica Zubac,C,LAC,26.2,"$4,200",6.24,28.41,10.0,8.8,1.5,0.5,1.1,1.4
J. Nwora,Jordan Nwora,PF/SF,MIL,25.6,"$4,300",5.95,27.93,13.5,5.6,1.1,1.1,0.7,1.7
T. Mann,Terance Mann,SG/SF,LAC,24.1,"$4,100",5.87,29.28,12.0,5.4,2.2,0.8,0.3,1.0
E. Bledsoe,Eric Bledsoe,SG/PG,LAC,24.0,"$4,500",5.33,28.50,13.1,3.2,3.3,0.9,0.3,1.5
T. Hardaway Jr.,Tim Hardaway Jr.,SG/SF,DAL,23.5,"$5,000",4.69,27.42,15.6,3,1.9,0.6,0.2,1.0
P. Connaughton,Pat Connaughton,SG/SF,MIL,22.8,"$4,300",5.3,30.84,9.2,6.3,1.7,0.9,0.5,0.7
O. Porter,Otto Porter,SF/PF,LAC,22.2,"$4,000",5.54,23.04,11.3,5.5,1.9,0.6,0.2,1.0
M. Morris,Marcus Morris,PF/SF,LAC,22.0,"$5,400",4.08,28.31,12.9,4.4,1.1,0.8,0.3,1.1
G. Hill,George Hill,PG,MIL,21.6,"$3,600",6,29.88,11.1,2.8,3.3,1.0,0.2,1.4
D. Finney-Smith,Dorian Finney-Smith,SF/SG,DAL,21.4,"$4,300",4.97,30.09,9.7,5,1.7,0.9,0.4,0.8
G. Allen,Grayson Allen,SG,MIL,21.0,"$4,100",5.12,29.55,10.3,3.7,2.5,1.0,0.2,1.1
D. Robinson,Duncan Robinson,SG/SF,MIL,20.8,"$4,200",4.95,30.19,12.7,3.3,1.5,0.7,0.3,1.1
S. Mamukelashvili,Sandro Mamukelashvili,PF/C,MIL,20.6,"$3,500",5.87,19.93,7.9,6.3,1.4,0.5,0.9,1.2
I. Hartenstein,Isaiah Hartenstein,PF,LAC,20.0,"$3,700",5.4,17.20,7.6,5.1,1.5,0.6,1.1,1.1
D. Powell,Dwight Powell,C/PF,DAL,19.2,"$3,700",5.19,20.90,8.1,5,1.4,0.7,0.6,0.9
R. Bullock,Reggie Bullock,SG,DAL,18.6,"$4,000",4.66,27.82,10.2,3.1,1.6,0.8,0.2,0.7
N. Bjelica,Nemanja Bjelica,PF,LAC,18.6,"$4,800",3.87,19.60,9.0,4.3,2.0,0.5,0.3,1.0
