contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $30K And-One [20 Entry Max],550,Classic,124209956,1,20,30000,Sat 7:30PM,297,35671,64337,30000
NBA $300K Fadeaway [$100K to 1st],8250,Classic,124209961,15,150,3e+05,Sat 7:30PM,526,23529,64337,20000
NBA $80K Four Point Play [20 Entry Max],2200,Classic,124209957,4,20,80000,Sat 7:30PM,89,23781,64337,20000
NBA $8K And-One (Night),550,Classic,124199581,1,20,8000,Sat 8:30PM,137,9512,64343,8000
NBA $22K Zone [$5K to 1st],2750,Classic,124199501,5,150,22000,Sat 7:30PM,184,5231,64337,4400
NBA $26K Jab Step [$5K to 1st],3300,Classic,124209963,6,150,26000,Sat 7:30PM,156,5098,64337,4333.33333333333
NBA $8.5K mini-MAX [150 Entry Max],1100,Classic,124199503,2,150,8500,Sat 7:30PM,12,5053,64337,4250
NBA $2K And-One (Night),550,Classic,124212214,1,20,2000,Fri 9:00PM,2307,2378,64322,2000
NBA $5K Hot Shot [3 Entry Max],1650,Classic,124199502,3,3,5000,Sat 7:30PM,20,1981,64337,1666.66666666667
NBA $5K Sharpshooter [20 Entry Max],1650,Classic,124199523,3,20,5000,Sat 7:30PM,6,1981,64337,1666.66666666667
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,124199563,10,52,15000,Sat 8:00PM,6,1764,64341,1500
NBA $2 Double Up,1100,Classic,124199519,2,20,3000,Sat 7:30PM,47,1724,64337,1500
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,124199564,1,20,1500,Sat 8:00PM,43,1783,64341,1500
