abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
N. Jokic,Nikola Jokic,C,DEN,59.5,"$11,500",5.18,35.95,27.2,14.1,8.2,1.2,0.9,3.2
G. Antetokounmpo,Giannis Antetokounmpo,PF/SF,DET,56.0,"$11,600",4.83,32.20,29.5,11.7,5.5,1.1,1.3,3.0
J. Harden,James Harden,SG/PG,MEM,54.1,"$11,400",4.75,38.25,26.5,9.1,10.0,1.3,0.7,4.3
K. Durant,Kevin Durant,SF/PF,MEM,52.2,"$11,200",4.66,38.75,31.8,7.8,5.9,0.8,1.1,3.5
J. Embiid,Joel Embiid,C,HOU,49.5,"$10,800",4.58,33.60,26.2,11,3.4,1.1,1.5,2.8
B. Beal,Bradley Beal,SG,CHA,49.2,"$9,100",5.41,38.79,28.5,5,9.0,1.2,0.4,3.6
T. Young,Trae Young,PG,ATL,48.4,"$9,800",4.93,37.22,29.3,4.3,9.6,1.0,0.2,4.1
J. Morant,Ja Morant,PG,MEM,47.1,"$9,500",4.96,34.13,28.0,6.3,7.1,1.2,0.2,3.3
L. Doncic,Luka Doncic,PG/SG,DEN,46.6,"$10,000",4.66,34.88,24.5,8,7.8,1.1,0.6,4.3
S. Curry,Stephen Curry,PG,MIA,44.5,"$10,200",4.36,34.88,27.8,5.3,5.9,1.3,0.3,3.3
L. Ball,LaMelo Ball,PG,CHA,44.2,"$9,400",4.71,33.43,20.8,6.9,7.9,1.7,0.4,3.0
R. Gobert,Rudy Gobert,C,UTAH,43.7,"$9,000",4.86,33.64,14.9,15,1.4,0.7,2.8,1.8
D. Mitchell,Donovan Mitchell,SG/PG,UTAH,43.7,"$8,600",5.08,36.06,27.7,4.6,5.7,1.3,0.3,2.9
D. DeRozan,DeMar DeRozan,SG/SF,ORL,42.3,"$8,700",4.86,33.97,26.1,4.6,5.7,1.0,0.3,1.8
J. Butler,Jimmy Butler,SF/SG,MIA,41.8,"$9,800",4.26,34.88,21.5,6.4,5.4,1.9,0.3,2.1
H. Diallo,Hamidou Diallo,SG/SF,DET,40.2,"$7,300",5.51,38.16,22.0,7.7,3.0,1.4,0.8,2.1
N. Vucevic,Nikola Vucevic,C,ORL,40.1,"$9,400",4.26,33.97,16.3,11.9,3.6,1.0,0.9,1.6
A. Edwards,Anthony Edwards,SF/SG,MIN,39.6,"$8,200",4.82,35.85,24.4,5.3,4.2,1.3,0.5,2.9
B. Ingram,Brandon Ingram,SF,UTAH,39.3,"$8,700",4.51,36.07,23.2,5.3,5.6,0.8,0.5,2.6
C. Capela,Clint Capela,C,ATL,39.0,"$8,300",4.69,31.97,12.8,14.5,1.1,0.8,1.9,1.0
J. Holiday,Jrue Holiday,PG/SG,DET,37.8,"$9,700",3.9,33.10,18.2,4.4,6.9,1.5,0.6,2.3
Z. LaVine,Zach LaVine,SG/PG,ORL,37.8,"$8,300",4.55,34.97,23.9,5.1,4.5,0.8,0.5,2.9
C. Cunningham,Cade Cunningham,PG/SG,DET,37.5,"$7,500",4.99,33.13,19.7,6,5.3,1.2,0.7,3.1
