contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $80K Four Point Play [20 Entry Max],2200,Classic,122889175,4,20,80000,Thu 7:30PM,22525,23781,62612,20000
NBA $12.5K And-One (Night),550,Classic,122923335,1,20,12500,Fri 9:00PM,33,14863,62630,12500
NBA $7.5K And-One,550,Classic,122926566,1,20,7500,Thu 7:30PM,4753,8917,62612,7500
NBA $10K mini-MAX [150 Entry Max],1100,Classic,122923247,2,150,10000,Fri 7:00PM,5,5945,62621,5000
NBA $8.5K mini-MAX [150 Entry Max],1100,Classic,122879998,2,150,8500,Thu 7:30PM,4365,5053,62612,4250
NBA $60K Fadeaway [$20K to 1st],8250,Classic,122926227,15,141,60000,Thu 7:30PM,2532,4705,62612,4000
NBA $2K And-One (Turbo),550,Classic,122923304,1,20,2000,Fri 8:00PM,1,2378,62627,2000
NBA $2K And-One (Turbo),550,Classic,122923286,1,20,2000,Fri 7:30PM,5,2378,62625,2000
NBA $2 Double Up,1100,Classic,122923263,2,20,4000,Fri 7:00PM,0,2298,62621,2000
NBA $5K Hot Shot [3 Entry Max],1650,Classic,122923230,3,3,5000,Fri 7:00PM,9,1981,62621,1666.66666666667
NBA $5K Sharpshooter [20 Entry Max],1650,Classic,122923246,3,20,5000,Fri 7:00PM,0,1981,62621,1666.66666666667
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,122923311,10,52,15000,Fri 8:00PM,1,1764,62627,1500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,122923293,10,52,15000,Fri 7:30PM,0,1764,62625,1500
NBA $5K Four Point Play [20 Entry Max] (Night),2200,Classic,122923334,4,20,5000,Fri 9:00PM,0,1486,62630,1250
NBA $4K Four Point Play,2200,Classic,122926709,4,20,4000,Thu 7:30PM,610,1189,62612,1000
NBA $5 Double Up,2750,Classic,122923262,5,34,5000,Fri 7:00PM,0,1149,62621,1000
