contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $1.25M Tip Off Special [$250K to 1st],8250,Classic,115221939,15,150,1250000,Tue 7:30PM,64405,98039,57068,83333.3333333333
NBA $70K And-One,550,Classic,115221937,1,20,70000,Tue 7:30PM,56719,83234,57068,70000
NBA $150K Sharpshooter [20 Entry Max],1650,Classic,115221934,3,20,150000,Tue 7:30PM,46828,59453,57068,50000
NBA $20K Stretch Four [3 Entry Max],2200,Classic,115221563,4,3,20000,Tue 7:30PM,3411,5945,57068,5000
NBA $40K Excellent 8's [2x Min Cash],4400,Classic,115221560,8,150,40000,Tue 7:30PM,3978,5882,57068,5000
NBA $50K Pull Up Jumper [$10K to 1st],5500,Classic,115221936,10,150,50000,Tue 7:30PM,4390,5882,57068,5000
NBA $30K Jab Step [$5K to 1st],3300,Classic,115221561,6,150,30000,Tue 7:30PM,5034,5882,57068,5000
NBA $2 Double Up,1100,Classic,115221591,2,20,8000,Tue 7:30PM,4030,4597,57068,4000
NBA $5 Double Up,2750,Classic,115221589,5,103,15000,Tue 7:30PM,2650,3448,57068,3000
NBA $5 Double Up,2750,Classic,115221590,5,68,10000,Tue 7:30PM,1395,2298,57068,2000
