contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $35K And-One [20 Entry Max],550,Classic,122528656,1,20,35000,Fri 7:00PM,217,41617,62274,35000
NBA $400K Fadeaway [$100K to 1st],8250,Classic,122528637,15,150,4e+05,Fri 7:00PM,370,31372,62274,26666.6666666667
NBA $80K Four Point Play [20 Entry Max],2200,Classic,122528649,4,20,80000,Fri 7:00PM,163,23781,62274,20000
NBA $15K And-One (Night),550,Classic,122516270,1,20,15000,Fri 10:00PM,162,17835,62283,15000
NBA $25K Zone [$5K to 1st],2750,Classic,122516188,5,150,25000,Fri 7:00PM,316,5945,62274,5000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,122516191,2,150,10000,Fri 7:00PM,7,5945,62274,5000
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,122516264,6,150,26000,Fri 10:00PM,38,5098,62283,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,122516176,6,150,26000,Fri 7:00PM,315,5098,62274,4333.33333333333
NBA $2 Double Up,1100,Classic,122516214,2,20,5000,Fri 7:00PM,56,2873,62274,2500
NBA $2K And-One (Turbo),550,Classic,122516236,1,20,2000,Fri 7:30PM,61,2378,62280,2000
NBA $6K Hot Shot [3 Entry Max],1650,Classic,122516189,3,3,6000,Fri 7:00PM,17,2378,62274,2000
NBA $6K Sharpshooter [20 Entry Max],1650,Classic,122516190,3,20,6000,Fri 7:00PM,5,2378,62274,2000
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,122516244,10,52,15000,Fri 7:30PM,56,1764,62280,1500
NBA $6K Four Point Play [20 Entry Max] (Night),2200,Classic,122516269,4,20,6000,Fri 10:00PM,5,1783,62283,1500
NBA $5 Double Up,2750,Classic,122516212,5,41,6000,Fri 7:00PM,205,1379,62274,1200
NBA $5 Double Up,2750,Classic,122516213,5,34,5000,Fri 7:00PM,171,1149,62274,1000
