name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
N. Jokic,$12.5k,C,1,DEN,DET,27,-8,217,112.5,55.5,69.7,91.5,62.5,5
J. Harden,$11.7k,PG,1,BKN,LAL,8,+3,226.5,111.8,37.5,52.4,71.5,58.5,5
Joel Embiid,$11.3k,C,1,PHI,NO,2,-11,212.5,111.8,43.0,61.8,77.0,55.5,4.91
L. James,$11.1k,PG/SF,1,LAL,BKN,13,-3,226.5,114.8,43.8,52.2,58.0,53.0,4.77
D. Murray,$10.0k,PG,1,SA,HOU,23,-5,234,119.5,34.0,50.8,65.5,52.8,5.28
P. Siakam,$8.9k,PF/C,1,TOR,CHA,18,-2.5,222,112.3,37.3,47.3,59.0,52.5,5.9
Luka Doncic,$10.9k,PG,1,DAL,GSW,2,+3.5,211,103.8,38.8,59.7,72.5,51.8,4.75
J. Tatum,$10.4k,SF/PF,1,BOS,SAC,12,-8.5,220.5,114.5,24.5,48.8,79.5,47.0,4.52
K. Towns,$9.4k,C,1,MIN,POR,23,-3,233,118,32.8,42.7,46.8,46.5,4.95
LaMelo Ball,$8.7k,PG/SG,1,CHA,TOR,15,+2.5,222,109.8,32.5,38.9,46.0,45.5,5.23
S. Curry,$10.7k,PG,1,GSW,DAL,20,-3.5,211,107.3,27.0,41.8,61.3,45.5,4.25
J. Nurkic,$8.5k,C,1,POR,MIN,1,+3,233,115,33.3,49.4,62.8,43.0,5.06
Christian Wood,$8.0k,C,3,HOU,SA,24,+5,234,114.5,41.8,47.3,53.8,42.0,5.25
OG Anunoby,$6.9k,SG/SF,1,TOR,CHA,14,-2.5,222,112.3,23.5,35.3,43.0,41.0,5.94
J. Brown,$9.2k,SG/SF,1,BOS,SAC,2,-8.5,220.5,114.5,36.3,38.3,41.3,41.0,4.46
J. Poeltl,$6.4k,C,1,SA,HOU,9,-5,234,119.5,27.5,40.8,50.5,40.8,6.37
Bradley Beal,$9.0k,PG/SG,1,WAS,LAC,17,-5,219.5,112.3,29.8,39.4,48.5,40.5,4.5
R. Westbrook,$8.3k,PG,1,LAL,BKN,13,-3,226.5,114.8,24.5,36.3,48.3,39.3,4.73
CJ McCollum,$7.5k,PG/SG,1,POR,MIN,18,+3,233,115,23.3,36.9,45.0,38.5,5.13
M. Bridges,$8.4k,SF/PF,1,CHA,TOR,15,+2.5,222,109.8,27.0,43.0,68.0,38.5,4.58
T. Haliburton,$7.4k,PG/SG,2,SAC,BOS,21,+8.5,220.5,106,34.5,41.7,53.5,37.8,5.1
