name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
Luka Doncic Q,$10.9k,PG/SF,3,DAL,BKN,16,+1.5,221.5,110,42.0,53.1,59.0,52.5,4.82
J. Harden,$10.7k,PG,2,BKN,DAL,25,-1.5,221.5,111.5,43.3,52.4,65.0,49.5,4.63
J. Tatum,$9.4k,SF/PF,2,BOS,LAL,3,+4,219,107.5,32.3,47.6,55.0,49.3,5.24
K. Durant,$10.8k,SF/PF,2,BKN,DAL,6,-1.5,221.5,111.5,40.5,52.3,69.8,49.0,4.54
D. Murray,$9.5k,PG,0,SA,NY,21,+1,211,105,47.5,52.0,59.8,46.8,4.92
A. Davis Q,$10.2k,PF/C,3,LAL,BOS,9,-4,219,111.5,32.5,46.0,52.0,44.8,4.39
L. James Q,$9.9k,PG/SF,3,LAL,BOS,26,-4,219,111.5,37.5,51.8,59.8,44.3,4.47
J. Randle,$9.1k,PF/C,2,NY,SA,13,-1,211,106,26.5,41.0,56.0,43.8,4.81
R. Westbrook,$10.0k,PG,3,LAL,BOS,26,-4,219,111.5,28.0,43.0,64.5,41.8,4.18
K. Porzingis Q,$7.6k,PF,5,DAL,BKN,21,+1.5,221.5,110,24.8,37.0,42.8,38.5,5.07
D. Schroder,$6.4k,PG,2,BOS,LAL,22,+4,219,107.5,19.8,30.8,52.0,34.3,5.35
J. Poeltl,$5.9k,C,0,SA,NY,21,+1,211,105,29.0,33.1,37.3,32.8,5.55
Al Horford,$7.1k,PF/C,3,BOS,LAL,20,+4,219,107.5,15.3,28.9,47.0,32.8,4.61
Alec Burks,$6.7k,PG/SF,2,NY,SA,12,-1,211,106,17.3,31.6,46.3,32.0,4.78
L. Aldridge,$5.7k,C,2,BKN,DAL,25,-1.5,221.5,111.5,20.5,26.9,33.8,31.8,5.57
D. White,$6.2k,PG/SG,0,SA,NY,21,+1,211,105,24.3,36.0,42.8,29.5,4.76
M. Smart,$6.0k,PG/SG,2,BOS,LAL,22,+4,219,107.5,23.5,30.9,40.0,29.3,4.88
K. Johnson,$5.6k,PF,0,SA,NY,15,+1,211,105,22.0,28.6,43.0,29.0,5.18
RJ Barrett,$5.3k,SF,2,NY,SA,13,-1,211,106,10.0,19.8,25.8,24.5,4.62
Derrick Rose,$5.1k,PG/SG,2,NY,SA,12,-1,211,106,16.8,25.3,36.8,24.5,4.8
J. Brunson,$5.2k,PG/SG,2,DAL,BKN,16,+1.5,221.5,110,6.3,19.4,31.3,24.5,4.71
R. Williams,$5.8k,C,2,BOS,LAL,16,+4,219,107.5,7.0,16.8,23.8,23.5,4.05
I. Quickley,$4.9k,PG,2,NY,SA,12,-1,211,106,4.8,21.4,28.3,23.3,4.74
P. Mills,$4.8k,PG/SG,2,BKN,DAL,25,-1.5,221.5,111.5,18.3,23.9,31.0,23.0,4.79
M. Robinson,$4.1k,C,2,NY,SA,5,-1,211,106,19.0,21.1,28.0,22.8,5.55
Evan Fournier,$4.7k,SG/SF,2,NY,SA,10,-1,211,106,13.5,23.2,28.8,22.5,4.79
D. Finney-Smith,$4.3k,SF/PF,2,DAL,BKN,2,+1.5,221.5,110,17.5,23.3,37.0,22.3,5.17
Tim Hardaway Jr. Q,$5.5k,SG,2,DAL,BKN,25,+1.5,221.5,110,15.3,25.6,43.8,22.0,4
T. Horton-Tucker,$5.0k,SG/SF,3,LAL,BOS,1,-4,219,111.5,10.0,20.2,30.5,21.3,4.25
Maxi Kleber,$4.4k,PF/C,2,DAL,BKN,21,+1.5,221.5,110,9.3,20.5,28.8,20.8,4.72
