abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
L. Doncic,Luka Doncic,PG/SG,PHX,48.3,"$10,900",4.43,34.63,24.4,8.8,8.6,1.1,0.5,4.4
S. Curry,Stephen Curry,PG,IND,42.3,"$10,300",4.11,34.85,24.9,5.5,6.2,1.3,0.3,3.3
D. Booker,Devin Booker,SG,PHX,41.0,"$9,000",4.56,34.79,28.0,4.9,4.3,0.9,0.3,2.9
J. Randle,Julius Randle,PF/C,NO,39.7,"$8,700",4.56,35.76,19.1,9.6,5.5,0.9,0.4,3.1
C. LeVert,Caris LeVert,SG/SF,IND,38.1,"$8,100",4.7,32.86,21.3,4.4,5.6,1.2,0.6,2.3
K. Porzingis,Kristaps Porzingis,PF/C,PHX,37.8,"$8,500",4.45,31.65,19.0,8.7,2.2,0.7,1.5,1.5
J. Valanciunas,Jonas Valanciunas,C,NO,37.7,"$7,300",5.16,32.02,17.7,11.5,2.3,0.6,1.0,2.1
B. Ingram,Brandon Ingram,SF,NO,37.3,"$8,200",4.55,34.82,22.1,5.4,5.1,0.7,0.5,2.5
C. Paul,Chris Paul,PG,PHX,36.7,"$7,800",4.71,32.01,14.2,4.6,9.0,1.6,0.3,2.2
M. Brogdon,Malcolm Brogdon,PG/SG,IND,31.5,"$6,600",4.77,27.92,17.6,4.3,5.3,0.7,0.2,1.9
R. Barrett,RJ Barrett,SF/SG,NO,31.0,"$6,500",4.77,34.94,18.4,5.7,2.9,0.8,0.3,1.9
J. Hart,Josh Hart,SG/SF,NO,30.5,"$6,500",4.69,34.80,12.4,8.6,3.7,1.0,0.3,1.7
A. Wiggins,Andrew Wiggins,SF,IND,30.0,"$6,300",4.75,31.86,17.4,4.5,2.3,0.9,0.9,1.7
J. McGee,JaVale McGee,C,PHX,29.9,"$4,800",6.22,24.87,12.1,9.8,1.2,0.6,1.5,2.1
J. Brunson,Jalen Brunson,PG/SG,PHX,29.6,"$7,100",4.17,31.72,15.0,4.1,5.8,0.9,0.0,1.7
D. Graham,Devonte' Graham,PG/SG,NO,28.5,"$5,400",5.27,31.78,15.1,2.8,5.4,1.0,0.2,1.7
K. Walker,Kemba Walker,PG,NO,27.4,"$5,500",4.97,28.55,14.8,3.5,4.3,1.0,0.2,1.7
M. Robinson,Mitchell Robinson,C,NO,26.1,"$4,900",5.33,28.60,8.3,8.7,0.6,0.9,1.6,1.0
J. Kuminga,Jonathan Kuminga,SF,IND,26.1,"$5,900",4.43,31.87,13.6,6.2,1.4,1.0,0.6,1.8
M. Bridges,Mikal Bridges,SF/PF,PHX,25.1,"$4,700",5.33,35.07,11.6,4.6,2.1,1.2,0.7,0.9
K. Thompson,Klay Thompson,SG,IND,24.7,"$6,500",3.79,23.84,14.9,3.3,2.4,0.8,0.4,1.4
H. Jones,Herbert Jones,PF,NO,24.4,"$5,800",4.21,32.08,10.2,4.2,2.1,1.4,1.0,1.2
E. Fournier,Evan Fournier,SF/SG,NO,23.9,"$5,600",4.27,27.63,14.7,2.7,2.5,0.9,0.3,1.4
K. Looney,Kevon Looney,C/PF,IND,23.9,"$4,900",4.87,24.95,6.6,8.9,2.4,0.6,0.7,0.9
C. Duarte,Chris Duarte,SF,IND,23.7,"$5,100",4.64,29.88,12.9,4.3,2.6,1.1,0.1,1.9
G. Bitadze,Goga Bitadze,C,IND,23.6,"$5,000",4.71,20.09,9.2,5.6,1.3,0.5,1.7,0.9
J. Holiday,Justin Holiday,SF/SG,IND,22.4,"$5,600",4,32.73,11.4,3.7,2.1,1.0,0.5,1.1
D. Finney-Smith,Dorian Finney-Smith,SF/SG,PHX,22.0,"$4,500",4.88,31.05,9.5,4.9,2.0,1.0,0.5,0.9
T. Hardaway Jr.,Tim Hardaway Jr.,SG/SF,PHX,21.0,"$5,000",4.2,25.78,13.1,3,2.0,0.6,0.1,0.8
C. Payne,Cameron Payne,PG/SG,PHX,20.8,"$4,300",4.83,20.74,10.0,2.9,3.8,0.7,0.3,1.4
J. Crowder,Jae Crowder,PF/SF,PHX,20.4,"$5,000",4.08,26.98,8.8,4.9,1.8,0.9,0.4,0.9
J. Poole,Jordan Poole,PG/SG,IND,20.3,"$5,200",3.91,22.92,12.9,2.3,2.5,0.6,0.2,1.5
C. Johnson,Cameron Johnson,SF,PHX,20.3,"$5,700",3.56,28.45,10.1,4.4,1.6,0.8,0.3,0.8
I. Jackson,Isaiah Jackson,PF,IND,20.1,"$3,500",5.74,20.02,8.8,5.5,1.0,0.6,0.8,1.0
N. Alexander-Walker,Nickeil Alexander-Walker,SG/SF,NO,20.0,"$3,500",5.7,22.22,10.7,3,2.3,0.8,0.4,1.4
B. Biyombo,Bismack Biyombo,C,PHX,19.9,"$5,200",3.83,22.93,6.8,6.3,1.3,0.4,1.2,1.2
G. Payton II,Gary Payton II,SG,IND,19.0,"$3,900",4.88,18.92,8.7,3.9,1.3,1.2,0.3,0.8
J. Lamb,Jeremy Lamb,SG/SF,IND,19.0,"$3,500",5.43,19.05,9.7,3.3,1.7,0.7,0.5,0.8
M. Kleber,Maxi Kleber,PF,PHX,18.9,"$4,100",4.6,25.76,7.2,5.3,1.4,0.5,0.8,0.7
A. Burks,Alec Burks,PG/SG,NO,18.8,"$6,000",3.14,21.71,9.3,3.6,2.0,0.8,0.2,0.8
O. Brissett,Oshae Brissett,SF,IND,18.0,"$3,700",4.87,20.43,8.8,4.4,0.9,0.6,0.5,0.7
N. Bjelica,Nemanja Bjelica,PF,IND,17.8,"$4,100",4.33,18.94,7.7,4.5,2.1,0.6,0.3,1.2
T. Craig,Torrey Craig,SG,IND,16.4,"$3,500",4.68,18.81,7.1,4.2,1.3,0.6,0.4,0.7
D. Powell,Dwight Powell,C/PF,PHX,16.0,"$3,600",4.45,18.84,6.4,4.3,1.3,0.6,0.5,0.8
I. Quickley,Immanuel Quickley,SG/PG,NO,14.6,"$4,300",3.38,18.76,8.2,2,2.1,0.5,0.1,1.0
T. Gibson,Taj Gibson,C,NO,14.5,"$3,500",4.13,18.05,4.3,4.6,0.7,0.5,0.9,0.6
J. Hayes,Jaxson Hayes,PF,NO,14.3,"$4,200",3.41,14.98,6.5,3.9,0.5,0.4,0.6,0.6
A. Iguodala,Andre Iguodala,SF/SG,IND,14.0,"$3,700",3.78,17.93,4.1,2.9,2.4,0.7,0.5,0.8
L. Stephenson,Lance Stephenson,SF,IND,13.6,"$4,600",2.96,13.89,6.2,2.3,2.5,0.5,0.1,0.9
J. Green,Josh Green,SG,PHX,13.6,"$3,800",3.58,19.13,5.7,3,1.6,0.7,0.2,0.8
R. Bullock,Reggie Bullock,SG,PHX,12.3,"$3,500",3.5,19.84,6.4,2.3,1.2,0.5,0.1,0.5
J. Alvarado,Jose Alvarado,PG,NO,11.7,"$3,700",3.17,12.97,5.1,1.6,2.2,0.6,0.1,0.7
J. Toscano-Anderson,Juan Toscano-Anderson,SF/PF,IND,11.2,"$3,600",3.1,13.09,3.9,2.6,1.7,0.5,0.3,0.8
O. Toppin,Obi Toppin,PF,NO,10.5,"$3,500",3,12.92,4.9,2.7,0.7,0.3,0.3,0.5
G. Temple,Garrett Temple,SF,NO,10.2,"$3,500",2.93,15.28,4.6,1.7,1.2,0.5,0.3,0.6
L. Shamet,Landry Shamet,SG,PHX,9.7,"$3,500",2.77,13.90,5.6,1.2,1.1,0.4,0.1,0.5
Q. Grimes,Quentin Grimes,SG,NO,9.2,"$3,500",2.62,12.90,4.9,1.3,1.0,0.5,0.1,0.6
G. Clark,Gary Clark,PF,NO,5.1,"$3,500",1.46,8.06,2.1,1.5,0.4,0.2,0.1,0.3
D. Washington,Duane Washington Jr.,SG,IND,3.1,"$3,500",0.88,3.99,1.9,0.4,0.4,0.1,0.0,0.2
M. Chriss,Marquese Chriss,PF,PHX,0.7,"$3,500",0.19,0.83,0.4,0.3,0.0,0.0,0.0,0.1
T. Satoransky,Tomas Satoransky,PG,NO,0.3,"$3,500",0.07,0.30,0.1,0,0.1,0.0,0.0,0.0
C. Chiozza,Chris Chiozza,PG,IND,0.3,"$3,500",0.07,0.38,0.1,0,0.1,0.0,0.0,0.0
T. Burke,Trey Burke,PG/SG,PHX,0.2,"$3,500",0.06,0.35,0.2,0,0.0,0.0,0.0,0.0
M. Moody,Moses Moody,SG,IND,0.1,"$3,500",0.03,0.30,0.1,0,0.0,0.0,0.0,0.0
E. Payton,Elfrid Payton,PG,PHX,0.0,"$3,500",0,0.06,0.0,0,0.0,0.0,0.0,0.0
B. Marjanovic,Boban Marjanovic,C,PHX,0.0,"$3,500",0,0.04,0.0,0,0.0,0.0,0.0,0.0
A. Nader,Abdel Nader,SF,PHX,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0
F. Ntilikina,Frank Ntilikina,PG,PHX,0.0,"$3,500",0,0.11,0.0,0,0.0,0.0,0.0,0.0
T. Murphy III,Trey Murphy III,SF,NO,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0
J. Sims,Jericho Sims,C,NO,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0
W. Hernangomez,Willy Hernangomez,PF/C,NO,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0
L. Samanic,Luka Samanic,PF,NO,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0
S. Brown,Sterling Brown,SG,PHX,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0
M. McBride,Miles McBride,PG,NO,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0
N. Noel,Nerlens Noel,C,NO,0.0,"$4,300",0,0.00,0.0,0,0.0,0.0,0.0,0.0
D. Lee,Damion Lee,SG,IND,0.0,"$3,700",0,0.12,0.0,0,0.0,0.0,0.0,0.0
D. Sabonis,Domantas Sabonis,PF/C,IND,0.0,"$9,600",0,0.00,0.0,0,0.0,0.0,0.0,0.0
Q. Weatherspoon,Quinndary Weatherspoon,SG,IND,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0
T. Taylor,Terry Taylor,SG,IND,0.0,"$3,500",0,0.06,0.0,0,0.0,0.0,0.0,0.0
K. Sykes,Keifer Sykes,PG,IND,0.0,"$3,800",0,0.06,0.0,0,0.0,0.0,0.0,0.0
O. Porter,Otto Porter,SF/PF,IND,0.0,"$5,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0
