contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $30K And-One [20 Entry Max],550,Classic,123180335,1,20,30000,Wed 7:00PM,302,35671,62855,30000
NBA $350K Fadeaway [$100K to 1st],8250,Classic,123180340,15,150,350000,Wed 7:00PM,534,27450,62855,23333.3333333333
NBA $80K Four Point Play [20 Entry Max],2200,Classic,123180336,4,20,80000,Wed 7:00PM,191,23781,62855,20000
NBA $15K And-One (Night),550,Classic,123129667,1,20,15000,Tue 10:00PM,17178,17835,62762,15000
NBA $15K And-One (Night),550,Classic,123169402,1,20,15000,Wed 10:00PM,116,17835,62932,15000
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,123141959,15,150,150000,Tue 10:00PM,11340,11764,62762,10000
NBA $25K Zone [$5K to 1st],2750,Classic,123169294,5,150,25000,Wed 7:00PM,389,5945,62855,5000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,123169297,2,150,10000,Wed 7:00PM,159,5945,62855,5000
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,123169392,6,150,26000,Wed 10:00PM,3,5098,62932,4333.33333333333
NBA $2.5K And-One (Night),550,Classic,123184013,1,20,2500,Tue 10:00PM,1162,2972,62762,2500
NBA $5K Hot Shot [3 Entry Max],1650,Classic,123169281,3,3,5000,Wed 7:00PM,11,1981,62855,1666.66666666667
NBA $5K Sharpshooter [20 Entry Max],1650,Classic,123169295,3,20,5000,Wed 7:00PM,8,1981,62855,1666.66666666667
NBA $6K Four Point Play [20 Entry Max] (Night),2200,Classic,123129666,4,20,6000,Tue 10:00PM,1384,1783,62762,1500
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,123169345,1,20,1500,Wed 7:30PM,32,1783,62927,1500
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,123169363,1,20,1500,Wed 8:00PM,28,1783,62929,1500
NBA $6K Four Point Play [20 Entry Max] (Night),2200,Classic,123169400,4,20,6000,Wed 10:00PM,2,1783,62932,1500
NBA $2 Double Up,1100,Classic,123169291,2,20,3000,Wed 7:00PM,26,1724,62855,1500
NBA $5 Double Up,2750,Classic,123169313,5,34,5000,Wed 7:00PM,138,1149,62855,1000
NBA $10K Pull Up Jumper [$2K to 1st] (Turbo),5500,Classic,123169337,10,35,10000,Wed 7:30PM,3,1176,62927,1000
NBA $10K Pull Up Jumper [$2K to 1st] (Turbo),5500,Classic,123169355,10,35,10000,Wed 8:00PM,3,1176,62929,1000
