nba_id,player_name,gametime,pos,opp,sal,proj,l3,l5,ceil,lopp,opp_rank,pts,ast,reb,current_time
770796510,Jordan Hawkins,9:00 PM EST @ DAL,PG,DAL,$5.8K,28.6,26.9,22.2,38.2,15.5,19,15.8,2.1,4.8,"Wed, November 15th at 1:56 AM EST"
770810372,Keyonte George,10:00 PM EST @ POR,PG,POR,$5.3K,28.6,18.1,17.8,34.3,0,11,11.2,7.1,3.5,"Wed, November 15th at 1:56 AM EST"
269165385,Mark Williams,8:00 PM EST @ MIA,C,MIA,$6.1K,28.2,35.8,32.1,37.3,46.5,21,13.2,1.1,8.1,"Wed, November 15th at 1:56 AM EST"
63085962,Marcus Smart,11:30 PM EST vs LAL,PG,LAL,$6.2K,28.1,22.8,28.6,35.6,37.75,13,12.4,5,2.4,"Wed, November 15th at 1:56 AM EST"
64021647,Clint Capela,8:00 PM EST vs DET,C,DET,$5.6K,27.6,27.8,27.9,36.2,40,25,9.5,0.9,10.3,"Wed, November 15th at 1:56 AM EST"
191448082,Isaiah Stewart,8:00 PM EST @ ATL,PF,ATL,$5.7K,26.9,24.9,24.9,34,31.5,28,12.5,1.6,7.7,"Wed, November 15th at 1:56 AM EST"
65823707,Bismack Biyombo,11:30 PM EST vs LAL,C,LAL,$6.0K,26.4,29.2,23.6,34.5,17.75,10,9.1,1.4,9.5,"Wed, November 15th at 1:56 AM EST"
106155196,De'Anthony Melton,8:00 PM EST @ IND,PG,IND,$5.5K,26.3,22,21.4,34.6,23.5,16,9.3,5,3.8,"Wed, November 15th at 1:56 AM EST"
105344269,Marvin Bagley III,8:00 PM EST @ ATL,C,ATL,$5.0K,26.3,16.5,18.4,34.1,54.5,28,14.1,1.7,6.5,"Wed, November 15th at 1:56 AM EST"
242869171,Austin Reaves,11:30 PM EST @ MEM,SG,MEM,$6.3K,26.3,31.3,27.6,35.6,35,23,12.6,3.9,3.7,"Wed, November 15th at 1:56 AM EST"
63072100,Kelly Olynyk,10:00 PM EST @ POR,C,POR,$5.1K,26.2,17.9,21.2,35.6,29,22,8.7,4,6.4,"Wed, November 15th at 1:56 AM EST"
119143890,De'Andre Hunter,8:00 PM EST vs DET,SF,DET,$4.7K,26.1,20.1,23,33.2,25.5,12,14.8,1.4,4.3,"Wed, November 15th at 1:56 AM EST"
64430576,Mike Conley,11:00 PM EST vs GSW,PG,GSW,$4.9K,25.9,23.9,25.2,33,27.75,7,10.9,5.2,3.5,"Wed, November 15th at 1:56 AM EST"
62981997,Tim Hardaway Jr.,9:00 PM EST vs NOP,SG,NOP,$5.4K,25.7,25.1,26.6,33.8,30.75,27,16.7,1.1,4.1,"Wed, November 15th at 1:56 AM EST"
191205497,Killian Hayes,8:00 PM EST @ ATL,PG,ATL,$5.4K,25.5,30.6,26.1,34.4,32,9,10.6,4.6,3.2,"Wed, November 15th at 1:56 AM EST"
191247083,Saddiq Bey,8:00 PM EST vs DET,SF,DET,$4.3K,25.2,20.4,21.9,34.7,30.25,12,11.9,1.1,6.5,"Wed, November 15th at 1:56 AM EST"
95592352,Royce O'Neale,8:30 PM EST @ ORL,SF,ORL,$5.1K,24.7,25.6,24.9,30.8,21.25,3,8,3.3,6.1,"Wed, November 15th at 1:56 AM EST"
119594405,Luguentz Dort,8:30 PM EST @ SAS,SF,SAS,$5.5K,24.3,32.4,27.4,32.8,25.5,26,11.9,1.1,4.2,"Wed, November 15th at 1:56 AM EST"
189507402,Onyeka Okongwu,8:00 PM EST vs DET,C,DET,$4.5K,24.1,26.2,23.8,32.2,26.5,1,9.6,1.6,6.7,"Wed, November 15th at 1:56 AM EST"
191586702,Theo Maledon,8:00 PM EST @ MIA,PG,MIA,$4.4K,23.9,11.7,15.5,32.5,18.5,16,10.1,3.9,3.9,"Wed, November 15th at 1:56 AM EST"
191226290,Cole Anthony,8:30 PM EST vs BRO,PG,BRO,$5.7K,23.8,23.9,25.4,32.2,33.75,3,12.6,2.6,3.6,"Wed, November 15th at 1:56 AM EST"
65893017,Alec Burks,8:00 PM EST @ ATL,SG,ATL,$4.6K,23.3,26.3,25.7,31.5,35.25,17,13.4,2.3,2.8,"Wed, November 15th at 1:56 AM EST"
64749402,Andrew Wiggins,11:00 PM EST @ MIN,SF,MIN,$5.0K,23.1,17.4,17.7,31.2,15.5,3,13.5,1.3,4.8,"Wed, November 15th at 1:56 AM EST"
119497371,Goga Bitadze,8:30 PM EST vs BRO,C,BRO,$5.0K,23,20.8,18.9,31,34.75,1,7.6,1.4,6.6,"Wed, November 15th at 1:56 AM EST"
119802335,Naz Reid,11:00 PM EST vs GSW,PF,GSW,$4.7K,22.9,21.3,23.4,31,20.5,4,13.1,0.9,4.4,"Wed, November 15th at 1:56 AM EST"
105954197,Bruce Brown,8:00 PM EST vs PHI,PG,PHI,$5.9K,22.9,24.4,23.8,31.5,22.5,5,10.4,2.5,4.2,"Wed, November 15th at 1:56 AM EST"
70120927,Dorian Finney-Smith,8:30 PM EST @ ORL,PF,ORL,$5.5K,22.8,22.4,24.6,29.6,11.5,3,11.4,1.4,4.9,"Wed, November 15th at 1:56 AM EST"
70481339,Ivica Zubac,11:00 PM EST vs DEN,C,DEN,$5.6K,22.6,22.6,24.1,30.4,17.75,8,9.4,0.4,7.1,"Wed, November 15th at 1:56 AM EST"
70252616,Buddy Hield,8:00 PM EST vs PHI,SG,PHI,$6.4K,22.5,26.4,25.3,30.8,31.5,5,11.3,2.6,2.9,"Wed, November 15th at 1:56 AM EST"
65671225,Kyle Anderson,11:00 PM EST vs GSW,SF,GSW,$4.5K,22.4,20.8,22,30.5,15,2,7.6,4.3,4,"Wed, November 15th at 1:56 AM EST"
63855303,Reggie Jackson,11:00 PM EST @ LAC,PG,LAC,$5.3K,22.3,22.9,20.1,31.4,18,1,10.8,3.9,1.9,"Wed, November 15th at 1:56 AM EST"
269893140,Bennedict Mathurin,8:00 PM EST vs PHI,SG,PHI,$5.4K,22.2,30.1,24.7,29.9,18.25,5,11.7,2.2,3.9,"Wed, November 15th at 1:56 AM EST"
106044300,Duncan Robinson,8:00 PM EST vs CHA,PF,CHA,$5.4K,22.1,25.8,20.8,29.8,1.5,28,13.2,2.3,2.5,"Wed, November 15th at 1:56 AM EST"
191870873,Jalen Smith,8:00 PM EST vs PHI,C,PHI,$4.5K,21.9,24.9,24.9,30.7,19.5,19,10.5,1.1,6.1,"Wed, November 15th at 1:56 AM EST"
215304584,Herbert Jones,9:00 PM EST @ DAL,SF,DAL,$5.7K,21.7,22.6,27.6,28.8,33.75,25,9,1.5,3.5,"Wed, November 15th at 1:56 AM EST"
63785993,Kentavious Caldwell-Pope,11:00 PM EST @ LAC,SG,LAC,$4.8K,21.6,18.8,19.6,28.4,14.75,24,10.4,1.9,2,"Wed, November 15th at 1:56 AM EST"
65290020,Robert Covington,8:00 PM EST @ IND,PF,IND,$3.4K,21.5,12.7,11.6,29.8,11.25,26,5.4,1.7,3.9,"Wed, November 15th at 1:56 AM EST"
191988700,Jaden McDaniels,11:00 PM EST vs GSW,SF,GSW,$4.6K,21.4,17.6,19.4,28.5,15,4,12,1.6,3,"Wed, November 15th at 1:56 AM EST"
276082523,Dyson Daniels,9:00 PM EST @ DAL,PG,DAL,$5.3K,21.4,24.9,22.3,28.3,34.25,25,7.7,2.8,4.7,"Wed, November 15th at 1:56 AM EST"
105503682,Moritz Wagner,8:30 PM EST vs BRO,PF,BRO,$4.8K,21.3,24.1,20.6,29.3,20,12,12.2,0.7,4.4,"Wed, November 15th at 1:56 AM EST"
70384305,Taurean Prince,11:30 PM EST @ MEM,SF,MEM,$4.7K,21.3,13.5,17.6,29.4,19.25,21,12.5,1.3,2.3,"Wed, November 15th at 1:56 AM EST"
63952337,Kevon Looney,11:00 PM EST @ MIN,C,MIN,$5.4K,21.2,20.9,23.2,28.4,11.5,9,5.2,2.5,7.9,"Wed, November 15th at 1:56 AM EST"
370954051,Jacob Gilyard,11:30 PM EST vs LAL,PG,LAL,$4.5K,20.9,16.1,0,29.3,0,13,6,5.4,2.7,"Wed, November 15th at 1:56 AM EST"
70107065,Dario Saric,11:00 PM EST @ MIN,PF,MIN,$4.8K,20.6,17.7,21,28.9,27,5,7.8,1.7,6.5,"Wed, November 15th at 1:56 AM EST"
770824234,Jaime Jaquez Jr.,8:00 PM EST vs CHA,SF,CHA,$4.5K,20.5,24.2,18.6,26.9,0,7,8.9,2.4,3.4,"Wed, November 15th at 1:56 AM EST"
64576127,Josh Richardson,8:00 PM EST vs CHA,SG,CHA,$4.9K,20.4,15.1,13.5,27.9,12.25,28,10.1,3.1,3.1,"Wed, November 15th at 1:56 AM EST"
119331027,Talen Horton-Tucker,10:00 PM EST @ POR,SG,POR,$5.2K,20.4,26.1,24.5,29.8,26,11,7.9,4.1,2.5,"Wed, November 15th at 1:56 AM EST"
373047213,Julian Champagnie,8:30 PM EST vs OKL,SF,OKL,$3.0K,20.3,4.2,18.3,29.4,0,29,8.1,0,3.6,"Wed, November 15th at 1:56 AM EST"
105385855,Collin Sexton,10:00 PM EST @ POR,PG,POR,$3.7K,20.2,17.6,18.7,28.8,29,21,12.5,2.8,2.2,"Wed, November 15th at 1:56 AM EST"
65844500,Norman Powell,11:00 PM EST vs DEN,SG,DEN,$4.2K,20,18,21.8,28.4,12.5,8,12.2,1.4,1.9,"Wed, November 15th at 1:56 AM EST"
758736570,Dereck Lively II,9:00 PM EST vs NOP,C,NOP,$4.9K,19.8,19.9,0,27.8,18,19,7.8,0.9,5.9,"Wed, November 15th at 1:56 AM EST"
215269929,Santi Aldama,11:30 PM EST vs LAL,PF,LAL,$4.6K,19.7,15.3,19.4,27.6,21.25,19,9,1.3,4.8,"Wed, November 15th at 1:56 AM EST"
95231940,Luke Kennard,11:30 PM EST vs LAL,SG,LAL,$5.0K,19.4,22.4,21.6,27.6,21.25,13,9.5,2.3,2.9,"Wed, November 15th at 1:56 AM EST"
105455165,Lonnie Walker IV,8:30 PM EST @ ORL,SG,ORL,$5.8K,19.4,24.4,23.4,27.2,15.25,6,11.6,1.7,2.2,"Wed, November 15th at 1:56 AM EST"
215110516,Jonathan Kuminga,11:00 PM EST @ MIN,PF,MIN,$4.6K,19.2,17.8,18.6,27.6,17.75,15,12.1,0.6,3,"Wed, November 15th at 1:56 AM EST"
215318446,JT Thor,8:00 PM EST @ MIA,PF,MIA,$4.2K,18.7,11.6,12.8,24,4.75,21,6.5,1.3,5.6,"Wed, November 15th at 1:56 AM EST"
119185476,Cam Reddish,11:30 PM EST @ MEM,SG,MEM,$4.7K,18.7,20.5,15.8,26.8,16.5,21,8.2,1.2,3.5,"Wed, November 15th at 1:56 AM EST"
119733025,Matisse Thybulle,10:00 PM EST vs UTA,SF,UTA,$4.1K,18.6,17.1,13.3,24.9,20,21,8.6,1.4,1.7,"Wed, November 15th at 1:56 AM EST"
193257073,Aaron Nesmith,8:00 PM EST vs PHI,SF,PHI,$4.8K,18.5,20.1,21.4,26.5,20.5,5,10,0.9,3,"Wed, November 15th at 1:56 AM EST"
191718391,Nick Richards,8:00 PM EST @ MIA,C,MIA,$4.1K,18.4,22.9,20.6,26.5,14.75,14,8.1,0.3,5.2,"Wed, November 15th at 1:56 AM EST"
70321926,Derrick Jones Jr.,9:00 PM EST vs NOP,SF,NOP,$4.5K,18,16.1,15.8,24.5,11.75,1,9.9,0.8,3.7,"Wed, November 15th at 1:56 AM EST"
107167122,Haywood Highsmith,8:00 PM EST vs CHA,PF,CHA,$4.3K,17.6,17.1,16.5,25.1,0,20,7.5,1.4,2.7,"Wed, November 15th at 1:56 AM EST"
119178545,Rui Hachimura,11:30 PM EST @ MEM,PF,MEM,$4.9K,17.5,26.1,21.8,24.9,25,21,9.1,0.7,3.1,"Wed, November 15th at 1:56 AM EST"
268506940,Malaki Branham,8:30 PM EST vs OKL,SG,OKL,$3.9K,17.4,18.6,15.6,24.6,3.5,29,9.5,2.6,1.6,"Wed, November 15th at 1:56 AM EST"
119698370,Grant Williams,9:00 PM EST vs NOP,PF,NOP,$4.6K,17.3,15.3,20.6,24.2,10,9,9.4,0.9,3,"Wed, November 15th at 1:56 AM EST"
770872751,Marcus Sasser,8:00 PM EST @ ATL,PG,ATL,$5.5K,17.1,26.2,21.6,26.1,0,17,8.2,2.5,2.3,"Wed, November 15th at 1:56 AM EST"
95183423,Jonathan Isaac,8:30 PM EST vs BRO,PF,BRO,$4.1K,16.9,15.1,14.1,27,26.5,23,6.6,0.3,4,"Wed, November 15th at 1:56 AM EST"
771059888,Toumani Camara,10:00 PM EST vs UTA,SF,UTA,$4.0K,16.8,16.1,0,19.8,0,30,5.5,1.4,4.8,"Wed, November 15th at 1:56 AM EST"
267335601,Ochai Agbaji,10:00 PM EST @ POR,SF,POR,$3.9K,16.8,13.1,10.3,24.4,17.75,11,6.9,1.6,3.4,"Wed, November 15th at 1:56 AM EST"
119379544,Terance Mann,11:00 PM EST vs DEN,SF,DEN,$3.9K,16.7,12.4,15.2,25.3,15.75,5,6.6,2.6,4.7,"Wed, November 15th at 1:56 AM EST"
65934603,Joe Ingles,8:30 PM EST vs BRO,SF,BRO,$4.0K,16.5,15.4,11.9,24.4,24,23,3.4,4,3.4,"Wed, November 15th at 1:56 AM EST"
63605787,Dwight Powell,9:00 PM EST vs NOP,C,NOP,$4.1K,16.4,20.2,15.2,23.6,24.5,9,6.6,1.4,4.1,"Wed, November 15th at 1:56 AM EST"
63404788,Doug McDermott,8:30 PM EST vs OKL,SG,OKL,$3.3K,15.9,17,13.5,22.4,20.25,8,9.1,2,1.5,"Wed, November 15th at 1:56 AM EST"
193264004,Paul Reed,8:00 PM EST @ IND,C,IND,$3.5K,15.9,13.8,16.3,23.9,18,6,5.1,1.2,5.8,"Wed, November 15th at 1:56 AM EST"
82354142,Gary Payton II,11:00 PM EST @ MIN,PG,MIN,$3.7K,15.9,13.1,15,23,11.5,6,6.6,1,3.3,"Wed, November 15th at 1:56 AM EST"
193028350,Naji Marshall,9:00 PM EST @ DAL,PF,DAL,$3.3K,15.6,9.9,12.6,23.8,13,10,8.9,2.2,2.2,"Wed, November 15th at 1:56 AM EST"
276179557,Collin Gillespie,11:00 PM EST @ LAC,PG,LAC,$3.3K,15.5,9.2,0,19.8,0,5,6.6,2.3,1.3,"Wed, November 15th at 1:56 AM EST"
770768786,Anthony Black,8:30 PM EST vs BRO,SG,BRO,$4.4K,15.4,16.4,0,21,0,3,7.1,1.8,2.4,"Wed, November 15th at 1:56 AM EST"
267779185,Jaden Ivey,8:00 PM EST @ ATL,PG,ATL,$4.9K,15.4,19.4,25.3,23.2,30,17,8.4,1.8,1.6,"Wed, November 15th at 1:56 AM EST"
267328670,Christian Braun,11:00 PM EST @ LAC,SG,LAC,$4.3K,15.4,11.7,17.1,22.2,0,24,6.1,1.9,3.8,"Wed, November 15th at 1:56 AM EST"
193243211,Isaiah Joe,8:30 PM EST @ SAS,SG,SAS,$3.7K,15.3,14.9,15.2,22.7,14.75,26,8.6,1.1,1.9,"Wed, November 15th at 1:56 AM EST"
65338537,Christian Wood,11:30 PM EST @ MEM,C,MEM,$4.8K,15.2,14.7,18.3,26.1,38.75,14,6,0.7,4.9,"Wed, November 15th at 1:56 AM EST"
95509180,Cedi Osman,8:30 PM EST vs OKL,SF,OKL,$3.2K,15.2,10.7,14.6,23.2,6.75,8,8.2,1.5,1.8,"Wed, November 15th at 1:56 AM EST"
190339122,Xavier Tillman,11:30 PM EST vs LAL,C,LAL,$5.6K,15.1,22.4,24.1,23,36.5,25,4.6,1.4,4.2,"Wed, November 15th at 1:56 AM EST"
191233221,Obi Toppin,8:00 PM EST vs PHI,PF,PHI,$3.9K,14.9,16.6,16.3,22.7,17.75,19,8.5,0.4,2.7,"Wed, November 15th at 1:56 AM EST"
95204216,Dennis Smith Jr.,8:30 PM EST @ ORL,PG,ORL,$4.9K,14.8,16.8,15.8,22.8,25.5,22,5.9,2.8,2.2,"Wed, November 15th at 1:56 AM EST"
106023507,Devonte' Graham,8:30 PM EST vs OKL,PG,OKL,$3.0K,14.5,16.6,19.5,24.4,31.75,13,2.7,1.3,1.3,"Wed, November 15th at 1:56 AM EST"
106106679,Kenrich Williams,8:30 PM EST @ SAS,SF,SAS,$4.0K,14.3,21.6,21.3,21.5,13.75,18,,,,"Wed, November 15th at 1:56 AM EST"
270024829,Jabari Walker,10:00 PM EST vs UTA,PF,UTA,$3.4K,14.3,10.9,12.8,19.9,6.5,30,5.6,0.5,3.8,"Wed, November 15th at 1:56 AM EST"
267633634,Andrew Nembhard,8:00 PM EST vs PHI,PG,PHI,$4.3K,14.3,17.8,17.6,22.5,4,15,6.3,3.1,1.4,"Wed, November 15th at 1:56 AM EST"
215429342,Charles Bassey,8:30 PM EST vs OKL,C,OKL,$3.4K,13.8,14.4,12.2,21.4,21,17,4,1.1,4.1,"Wed, November 15th at 1:56 AM EST"
63494891,Kevin Love,8:00 PM EST vs CHA,PF,CHA,$3.8K,13.8,19.9,19.6,23.4,35.75,29,6,1.2,4.1,"Wed, November 15th at 1:56 AM EST"
