draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,teamId,teamAbbreviation,playerGameHash,playerGameAttributes.id,playerGameAttributes.value
60093,20455763,Isaiah,Joe,Isaiah Joe,I. Joe,1134010,527259,SG,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/527259.png,https://dkn.gs/sports/images/nba/players/160/527259.png,"","",5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,219,6.2,6.2,-2,18th,18,Medium,20,PHI,1134010-5770791,,
60093,20454739,Tyler,Herro,Tyler Herro,T. Herro,1134176,33164,PG/SG,458,7500,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33164.png,https://dkn.gs/sports/images/nba/players/160/33164.png,"","",5773791,MIA @ IND,MIA, @ ,IND,TRUE,2021-12-04T00:00:00.0000000Z,5773791,MIA @ IND,MIA, @ ,IND,TRUE,2021-12-04T00:00:00.0000000Z,219,35.6,35.6,-2,19th,19,Medium,14,MIA,1134176-5773791,,
60093,20455704,D.J.,Stewart Jr.,D.J. Stewart Jr.,D. Stewart Jr.,1134189,591164,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/591164.png,https://dkn.gs/sports/images/nba/players/160/591164.png,"","",5773791,MIA @ IND,MIA, @ ,IND,TRUE,2021-12-04T00:00:00.0000000Z,5773791,MIA @ IND,MIA, @ ,IND,TRUE,2021-12-04T00:00:00.0000000Z,-2,18th,18,219,-,"",Medium,14,MIA,1134189-5773791,,
60093,20454752,Darius,Garland,Darius Garland,D. Garland,1134262,32989,PG/SG,458,7200,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32989.png,https://dkn.gs/sports/images/nba/players/160/32989.png,"","",5772957,CLE @ WAS,CLE, @ ,WAS,TRUE,2021-12-04T00:00:00.0000000Z,5772957,CLE @ WAS,CLE, @ ,WAS,TRUE,2021-12-04T00:00:00.0000000Z,219,34.6,34.6,-2,2nd,2,Low,5,CLE,1134262-5772957,,
60093,20455264,Aaron,Nesmith,Aaron Nesmith,A. Nesmith,1134264,502007,SG/SF,459,3200,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/502007.png,https://dkn.gs/sports/images/nba/players/160/502007.png,"","",5774169,BOS @ UTA,BOS, @ ,UTA,TRUE,2021-12-04T02:00:00.0000000Z,5774169,BOS @ UTA,BOS, @ ,UTA,TRUE,2021-12-04T02:00:00.0000000Z,219,5.2,5.2,-2,10th,10,Medium,2,BOS,1134264-5774169,,
60093,20455875,Trey,Murphy III,Trey Murphy III,T. Murphy III,1134570,591022,SF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32938.png,https://dkn.gs/sports/images/nba/teams/160/32938.png,"","",5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,219,10.0,10.0,-2,9th,9,Low,3,NOP,1134570-5772309,,
60093,20455381,Marcus,Zegarowski,Marcus Zegarowski,M. Zegarowski,1134616,591053,PG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32902.png,https://dkn.gs/sports/images/nba/teams/160/32902.png,"","",5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,-2,7th,7,219,-,"",Low,17,BKN,1134616-5771223,,
60093,20455679,Mac,McClung,Mac McClung,M. McClung,1134626,591146,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/591146.png,https://dkn.gs/sports/images/nba/players/160/591146.png,"","",5773881,LAC @ LAL,LAC, @ ,LAL,TRUE,2021-12-04T03:00:00.0000000Z,5773881,LAC @ LAL,LAC, @ ,LAL,TRUE,2021-12-04T03:00:00.0000000Z,-2,4th,4,219,-,"",Low,13,LAL,1134626-5773881,,
60093,20455529,David,Duke Jr.,David Duke Jr.,D. Duke Jr.,1134645,591886,PG/SF,458,3000,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591886.png,https://dkn.gs/sports/images/nba/players/160/591886.png,"","",5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,-2,10th,10,219,-,"",Medium,17,BKN,1134645-5771223,,
60093,20455631,LJ,Figueroa,LJ Figueroa,L. Figueroa,1134662,591829,SG/SF,459,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32917.png,https://dkn.gs/sports/images/nba/teams/160/32917.png,"","",5772615,PHX @ GSW,PHX, @ ,GSW,TRUE,2021-12-04T03:00:00.0000000Z,5772615,PHX @ GSW,PHX, @ ,GSW,TRUE,2021-12-04T03:00:00.0000000Z,-2,1st,1,219,-,"",Low,9,GSW,1134662-5772615,,
