name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
G. Antetokounmpo,$10.0k,PF/C,90,MIL,BKN,28,-1.5,233.5,117.5,52.3,67.8,79.5,55.6,5.56
K. Durant,$9.9k,SF/PF,121,BKN,MIL,26,+1.5,233.5,116,49.3,67.4,98.8,54.3,5.48
J. Harden,$9.3k,PG/SG,121,BKN,MIL,3,+1.5,233.5,116,22.5,50.1,74.0,53.1,5.71
S. Curry,$9.4k,PG,150,GSW,LAL,6,+3,226,111.5,34.8,53.9,73.3,49.3,5.24
L. James,$9.0k,SF/PF,137,LAL,GSW,9,-3,226,114.5,41.0,47.8,58.8,45.0,5
A. Davis,$8.8k,PF/C,137,LAL,GSW,6,-3,226,114.5,2.8,34.2,67.0,43.5,4.94
R. Westbrook,$8.6k,PG,138,LAL,GSW,21,-3,226,114.5,33.5,51.4,71.3,42.1,4.9
Jrue Holiday,$7.0k,PG,90,MIL,BKN,1,-1.5,233.5,117.5,37.8,47.1,61.5,37.5,5.36
K. Middleton,$7.2k,SF,90,MIL,BKN,12,-1.5,233.5,117.5,34.0,42.5,58.5,37.1,5.15
A. Wiggins,$6.2k,SG/SF,150,GSW,LAL,26,+3,226,111.5,21.3,37.2,53.8,30.3,4.88
J. Poole,$4.8k,PG/SG,150,GSW,LAL,6,+3,226,111.5,16.3,30.8,55.0,29.5,6.15
D. Green,$6.8k,PF/C,150,GSW,LAL,8,+3,226,111.5,34.3,43.5,50.5,28.2,4.15
Joe Harris,$5.8k,SF,121,BKN,MIL,26,+1.5,233.5,116,10.0,15.0,25.3,25.4,4.38
B. Lopez,$5.9k,C,90,MIL,BKN,6,-1.5,233.5,117.5,15.5,19.3,27.3,22.5,3.81
Otto Porter Jr.,$5.3k,SF/PF,200,GSW,LAL,25,+3,226,111.5,11.5,16.9,27.8,22.5,4.25
L. Aldridge,$3.9k,C,191,BKN,MIL,15,+1.5,233.5,116,22.3,28.0,37.8,20.5,5.26
G. Allen,$3.8k,SG/SF,138,MIL,BKN,13,-1.5,233.5,117.5,5.3,11.9,24.8,20.3,5.33
Kent Bazemore,$3.6k,SF,150,LAL,GSW,9,-3,226,114.5,9.3,22.6,28.3,20.3,5.63
Paul Millsap,$3.8k,PF/C,129,BKN,MIL,1,+1.5,233.5,116,8.8,13.6,25.5,19.1,5.03
B. Griffin,$5.4k,PF/C,121,BKN,MIL,1,+1.5,233.5,116,21.3,26.4,37.3,19.0,3.52
K. Looney,$4.1k,C,150,GSW,LAL,12,+3,226,111.5,16.0,21.1,27.8,18.8,4.59
Pat Connaughton,$4.7k,SG/SF,90,MIL,BKN,13,-1.5,233.5,117.5,10.5,20.6,25.3,17.0,3.62
Kendrick Nunn Q,$4.3k,PG/SG,142,LAL,GSW,21,-3,226,114.5,9.3,21.8,46.5,17.0,3.95
J. Nwora,$3.0k,SF/PF,99,MIL,BKN,12,-1.5,233.5,117.5,0.0,6.1,11.5,17.0,5.67
B. Brown,$3.6k,SG/SF,121,BKN,MIL,17,+1.5,233.5,116,5.5,18.2,35.3,16.8,4.67
Damion Lee,$3.7k,PG/SG,182,GSW,LAL,6,+3,226,111.5,8.8,17.1,23.0,16.6,4.49
C. Anthony,$3.9k,PF,137,LAL,GSW,6,-3,226,114.5,7.0,18.7,27.8,15.7,4.03
P. Mills,$3.7k,PG/SG,152,BKN,MIL,3,+1.5,233.5,116,10.0,17.2,28.5,15.5,4.19
N. Bjelica,$3.4k,PF/C,144,GSW,LAL,8,+3,226,111.5,5.8,22.6,44.5,15.2,4.47
George Hill,$3.9k,PG/SG,120,MIL,BKN,1,-1.5,233.5,117.5,3.8,7.7,13.0,14.7,3.77
D. Howard,$4.9k,C,120,LAL,GSW,21,-3,226,114.5,4.5,11.4,19.5,14.5,2.96
Malik Monk Q,$4.5k,SG,153,LAL,GSW,24,-3,226,114.5,2.8,11.1,18.3,13.6,3.02
R. Rondo,$3.7k,PG,116,LAL,GSW,21,-3,226,114.5,0.5,11.6,25.3,12.5,3.38
A. Iguodala,$3.5k,SF,142,GSW,LAL,25,+3,226,111.5,6.3,12.1,21.5,12.5,3.57
D. Jordan,$3.8k,C,163,LAL,GSW,21,-3,226,114.5,5.8,17.9,28.8,12.3,3.24
Juan Toscano-Anderson,$3.4k,PF/C,150,GSW,LAL,8,+3,226,111.5,18.8,23.3,33.3,11.5,3.38
