name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
N. Jokic,$12.2k,C,0,DEN,CHA,23,-3,230.5,116.8,29.3,57.5,75.3,62.8,5.14
Joel Embiid,$12.0k,C,2,PHI,ATL,4,-10.5,207.5,109,41.3,52.2,72.5,52.5,4.38
S. Curry,$11.9k,PG,2,GSW,MEM,6,-5.5,217,111.3,34.8,40.9,45.5,51.3,4.31
L. James Q,$11.3k,PG/SF,1,LAL,SA,7,-1.5,225.5,113.5,38.3,52.5,66.3,50.5,4.47
D. Murray,$10.3k,PG,2,SA,LAL,18,+1.5,225.5,112,33.5,51.3,71.3,47.5,4.61
J. Randle,$10.5k,PF/C,1,NY,WAS,2,-1,212,106.5,30.0,40.2,48.8,45.0,4.29
LaMelo Ball,$9.9k,PG/SG,2,CHA,DEN,17,+3,230.5,113.8,37.5,49.1,64.3,45.0,4.55
R. Westbrook,$10.7k,PG,1,LAL,SA,7,-1.5,225.5,113.5,25.0,40.6,49.0,44.5,4.16
Rudy Gobert,$9.7k,C,2,UTA,MIN,9,-12.5,227.5,120,37.3,46.6,55.8,44.0,4.54
B. Ingram,$9.6k,SG/SF,1,NO,ORL,24,-6,209.5,107.8,41.8,47.4,51.5,43.8,4.56
John Collins,$7.3k,PF/C,0,ATL,PHI,8,+10.5,207.5,98.5,24.8,38.4,51.5,42.5,5.82
D. Mitchell,$9.5k,PG/SG,2,UTA,MIN,12,-12.5,227.5,120,37.5,41.2,45.8,42.0,4.42
D. Russell,$8.0k,PG/SG,1,MIN,UTA,30,+12.5,227.5,107.5,30.5,35.1,37.0,41.5,5.19
Kyle Lowry,$8.5k,PG,1,MIA,DET,8,-11,208,109.5,27.5,39.2,43.8,40.5,4.76
Christian Wood,$8.6k,C,0,HOU,IND,10,+9,222.5,106.8,24.8,36.4,44.8,40.5,4.71
Jrue Holiday,$8.3k,PG,0,MIL,DAL,5,-3,209.5,106.3,27.0,45.4,56.3,40.5,4.88
J. Brunson,$8.5k,PG/SG,1,DAL,MIL,9,+3,209.5,103.3,29.0,37.9,48.0,40.3,4.74
