name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
Joel Embiid Q,$10.2k,C,1,PHI,OKC,28,-8,215.5,111.8,41.5,50.9,72.8,53.1,5.21
S. Curry,$11.0k,PG,2,GSW,SAC,29,-3,234.5,118.8,50.3,60.5,73.3,52.3,4.75
J. Tatum,$8.8k,SF/PF,1,BOS,HOU,17,-5,221,113,32.0,54.2,76.0,48.5,5.51
L. James,$9.1k,SF/PF,1,LAL,MEM,25,-5,225,115,39.0,50.3,61.3,47.5,5.22
A. Davis,$9.4k,PF/C,1,LAL,MEM,1,-5,225,115,2.8,36.3,57.8,45.3,4.81
J. Randle,$8.7k,PF/C,1,NY,ORL,22,-12,212,112,31.8,47.1,62.5,43.8,5.03
R. Westbrook,$9.3k,PG,1,LAL,MEM,28,-5,225,115,18.3,49.2,71.3,43.8,4.7
T. Harris,$7.8k,PF,1,PHI,OKC,3,-8,215.5,111.8,14.5,36.4,53.0,43.5,5.58
De'Aaron Fox,$8.3k,PG,1,SAC,GSW,13,+3,234.5,115.8,31.5,44.0,58.5,43.3,5.21
Ja Morant,$9.2k,PG,0,MEM,LAL,14,+5,225,110,41.3,49.2,57.0,40.9,4.45
Christian Wood,$8.4k,C,1,HOU,BOS,16,+5,221,108,24.3,41.6,61.0,39.8,4.74
Shai Gilgeous-Alexander,$6.8k,PG,1,OKC,PHI,22,+8,215.5,103.8,19.0,29.4,47.8,38.5,5.66
J. Jackson Jr.,$6.4k,PF/C,0,MEM,LAL,4,+5,225,110,28.8,32.0,34.8,35.6,5.56
R. Williams,$6.1k,C,1,BOS,HOU,30,-5,221,113,0.0,26.9,50.5,34.3,5.62
Mo Bamba,$6.2k,C,1,ORL,NY,19,+12,212,100,16.3,27.0,39.0,33.5,5.4
H. Barnes,$7.3k,SF/PF,1,SAC,GSW,15,+3,234.5,115.8,30.5,43.3,58.3,32.8,4.49
A. Wiggins,$6.0k,SG/SF,2,GSW,SAC,13,-3,234.5,118.8,24.3,33.7,42.5,31.8,5.3
T. Maxey,$5.7k,PG,1,PHI,OKC,6,-8,215.5,111.8,0.0,19.5,36.8,31.5,5.53
D. Green,$7.0k,PF/C,2,GSW,SAC,10,-3,234.5,118.8,24.5,36.2,50.5,31.4,4.49
K. Porter Jr.,$7.4k,PG,1,HOU,BOS,30,+5,221,108,17.8,29.7,47.3,31.3,4.22
T. Haliburton,$6.2k,PG/SG,1,SAC,GSW,13,+3,234.5,115.8,12.0,29.3,50.5,30.8,4.96
RJ Barrett,$5.8k,PG/SF,1,NY,ORL,27,-12,212,112,20.5,30.6,39.5,30.5,5.26
D. Melton,$4.2k,PG/SG,0,MEM,LAL,14,+5,225,110,5.5,23.2,35.8,29.6,7.05
M. Smart,$6.1k,PG/SG,1,BOS,HOU,9,-5,221,113,14.5,32.3,41.0,29.5,4.84
M. Robinson,$5.3k,C,1,NY,ORL,12,-12,212,112,4.8,24.8,41.8,29.3,5.52
Cole Anthony,$6.1k,PG,1,ORL,NY,26,+12,212,100,21.3,29.7,50.5,29.0,4.75
S. Adams,$5.0k,C,0,MEM,LAL,7,+5,225,110,8.3,23.8,39.3,28.9,5.78
Al Horford,$5.9k,PF/C,1,BOS,HOU,16,-5,221,113,24.3,33.9,43.3,28.8,4.87
Evan Fournier,$6.4k,SG/SF,1,NY,ORL,26,-12,212,112,22.0,33.1,56.5,28.5,4.45
J. Green,$5.2k,PG/SG,1,HOU,BOS,30,+5,221,108,21.3,21.9,22.5,28.3,5.43
K. Walker,$6.0k,PG,1,NY,ORL,27,-12,212,112,17.5,22.8,31.3,28.0,4.67
J. Poole,$5.7k,PG/SG,2,GSW,SAC,29,-3,234.5,118.8,16.3,24.3,31.8,27.8,4.88
B. Hield,$6.3k,SG/SF,1,SAC,GSW,21,+3,234.5,115.8,21.5,31.3,37.3,27.5,4.37
W. Carter Jr.,$5.7k,PF/C,1,ORL,NY,24,+12,212,100,17.0,27.8,35.3,27.5,4.82
K. Thomas,$5.5k,SG,162,HOU,BOS,15,+5,221,108,25.8,34.7,52.8,27.3,4.95
F. Wagner,$4.5k,SF/PF,1,ORL,NY,1,+12,212,100,21.5,23.8,26.0,27.0,6
Seth Curry,$5.8k,SG,1,PHI,OKC,27,-8,215.5,111.8,15.5,33.4,51.8,26.5,4.57
D. Schroder,$5.6k,PG/SG,1,BOS,HOU,9,-5,221,113,6.5,20.3,31.3,26.3,4.69
D. Bazley,$5.3k,PF/C,1,OKC,PHI,19,+8,215.5,103.8,10.5,23.3,30.8,25.3,4.76
R. Holmes,$5.9k,C,1,SAC,GSW,8,+3,234.5,115.8,14.5,27.5,45.3,25.3,4.28
J. Suggs,$5.2k,PG/SG,1,ORL,NY,26,+12,212,100,13.8,25.8,37.8,25.0,4.81
Terrence Ross,$4.6k,SF,1,ORL,NY,1,+12,212,100,10.0,16.6,25.3,24.0,5.22
Josh Richardson,$4.1k,SG/SF,1,BOS,HOU,24,-5,221,113,-1.0,8.5,19.8,23.5,5.73
Derrick Rose,$5.6k,PG/SG,1,NY,ORL,27,-12,212,112,17.3,29.4,47.5,23.5,4.2
Josh Giddey,$4.7k,SF,1,OKC,PHI,4,+8,215.5,103.8,18.5,19.5,20.5,22.9,4.87
Desmond Bane,$4.2k,SF,0,MEM,LAL,23,+5,225,110,7.3,22.1,33.8,22.8,5.42
Luguentz Dort,$4.8k,SG,1,OKC,PHI,5,+8,215.5,103.8,16.0,20.6,23.5,22.5,4.69
Jae'Sean Tate,$5.6k,SF/PF,1,HOU,BOS,28,+5,221,108,7.8,24.8,44.5,22.2,3.96
D. Mitchell,$3.9k,PG,1,SAC,GSW,13,+3,234.5,115.8,10.3,14.3,18.3,22.0,5.64
Kent Bazemore,$4.3k,SF,1,LAL,MEM,25,-5,225,115,8.5,16.5,27.0,21.8,5.06
