contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA $50K SLAM Jam [$10K to 1st] (Night),122100,Classic,118484169,222,7,50000,Tue 10:00PM,197,250,59494
NBA $12K Fadeaway [$3K to 1st] (Night),8250,Classic,118531768,15,28,12000,Tue 10:00PM,269,941,59494
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,118484171,15,150,150000,Tue 10:00PM,11577,11764,59494
NBA Showdown $20K Fadeaway [$5K to 1st] (SAS vs LAC),8250,Showdown Captain Mode,118529966,15,47,20000,Tue 10:30PM,475,1568,59496
NBA Showdown $150K Fadeaway [$50K to 1st] (SAS vs LAC),8250,Showdown Captain Mode,118484191,15,150,150000,Tue 10:30PM,10332,11764,59496
NBA $5K High Five [Single Entry] (Night),2750,Classic,118530297,5,1,5000,Tue 10:00PM,630,1189,59494
NBA Showdown $20K Slam Jam [3 Entry Max] (SAS vs LAC),122100,Showdown Captain Mode,118484192,222,3,20000,Tue 10:30PM,69,100,59496
NBA Showdown $26K Jab Step [$5K to 1st] (SAS vs LAC),3300,Showdown Captain Mode,118484193,6,150,26000,Tue 10:30PM,3824,5098,59496
NBA $3K Showtime [Single Entry] (Night),55000,Classic,118531865,100,1,3000,Tue 10:00PM,6,33,59494
NBA $7.5K Showtime [Single Entry] (Night),55000,Classic,118438434,100,1,7500,Tue 10:00PM,76,83,59494
NBA $4K And-One (Night),550,Classic,118529419,1,20,4000,Tue 10:00PM,2632,4756,59494
NBA Showdown $6K Showtime [Single Entry] (SAS vs LAC),55000,Showdown Captain Mode,118438444,100,1,6000,Tue 10:30PM,34,66,59496
NBA Showdown $7.5K Sharpshooter [20 Entry Max] (SAS vs LAC),1650,Showdown Captain Mode,118438442,3,20,7500,Tue 10:30PM,2030,2972,59496
NBA Showdown $625 And-One [20 Entry Max] (SAS vs LAC),550,Showdown Captain Mode,118530289,1,20,625,Tue 10:30PM,454,743,59496
NBA Showdown $12.5K And-One (SAS vs LAC),550,Showdown Captain Mode,118438443,1,20,12500,Tue 10:30PM,13964,14863,59496
NBA Showdown $6K High Five [Single Entry] (SAS vs LAC),2750,Showdown Captain Mode,118438446,5,1,6000,Tue 10:30PM,986,1426,59496
NBA Showdown $6K All-Star [Single Entry] (SAS vs LAC),583000,Showdown Captain Mode,118438438,1060,1,6000,Tue 10:30PM,4,6,59496
NBA $2500 MEGA Millionaire Satellite (Night),137500,Classic,118483567,250,1,2500,Tue 10:00PM,1,11,59494
NBA $1.5K Pick and Roll [Single Entry] (Night),6600,Classic,118531815,12,1,1500,Tue 10:00PM,20,147,59494
NBA $5K Pick and Roll [Single Entry] (Night),6600,Classic,118438435,12,1,5000,Tue 10:00PM,462,490,59494
NBA Satellite to $895 FBWC Qualifier (Night),50600,Classic,118439931,92,1,895,Tue 10:00PM,3,11,59494
NBA $500K MEGA 8's [$100K to 1st],488400,Classic,118527767,888,18,5e+05,Wed 7:00PM,37,625,59548
NBA $450K Fadeaway [$100K to 1st],8250,Classic,118527771,15,150,450000,Wed 7:00PM,359,35294,59548
NBA $150K Box Out [$50K to 1st],48400,Classic,118527768,88,58,150000,Wed 7:00PM,120,1936,59548
NBA $100K Four Point Play [20 Entry Max],2200,Classic,118527763,4,20,1e+05,Wed 7:00PM,141,29726,59548
NBA $100K Putback Dunk [4 Entry Max],137500,Classic,118527770,250,4,1e+05,Wed 7:00PM,8,444,59548
NBA Showdown $2500 MEGA Millionaire Satellite (SAS vs LAC),137500,Showdown Captain Mode,118483566,250,1,2500,Tue 10:30PM,3,11,59496
NBA Showdown Satellite to $895 FBWC Qualifier (SAS vs LAC),50600,Showdown Captain Mode,118440005,92,1,895,Tue 10:30PM,3,11,59496
 NBA Showdown Satellite to NBA $888 Mega 8's Special (12-1) (SAS vs LAC),49500,Showdown Captain Mode,118440023,90,1,888,Tue 10:30PM,3,11,59496
NBA Showdown $1.62K 3-Ball [Single Entry] (SAS vs LAC),165000,Showdown Captain Mode,118530487,300,1,1620,Tue 10:30PM,0,6,59496
NBA Showdown $3.8K 3-Ball [Single Entry] (SAS vs LAC),165000,Showdown Captain Mode,118438439,300,1,3800,Tue 10:30PM,12,14,59496
NBA In-Game $6K Pull Up Jumper [$2K to 1st] (2H SAS vs LAC),5500,In-Game Showdown (H2),118438450,10,21,6000,Tue 11:30PM,64,705,59497
NBA In-Game $1.9K Posterizer [Single Entry] (2H SAS vs LAC),82500,In-Game Showdown (H2),118438448,150,1,1900,Tue 11:30PM,2,14,59497
NBA In-Game $1.35K 3-Ball [Single Entry] (2H SAS vs LAC),165000,In-Game Showdown (H2),118438447,300,1,1350,Tue 11:30PM,2,5,59497
NBA In-Game $500 And-One (2H SAS vs LAC),550,In-Game Showdown (H2),118438452,1,17,500,Tue 11:30PM,116,594,59497
NBA In-Game $4K All Star [Single Entry] (Must Fill) (2H SAS vs LAC),583000,In-Game Showdown (H2),118439506,1060,1,4000,Tue 11:30PM,2,4,59497
NBA Showdown $3K Pick and Roll [Single Entry] (SAS vs LAC),6600,Showdown Captain Mode,118438445,12,1,3000,Tue 10:30PM,173,294,59496
NBA Showdown $4K Triple Threat [$1K to 1st] (SAS vs LAC),18150,Showdown Captain Mode,118438441,33,4,4000,Tue 10:30PM,97,141,59496
NBA Showdown $310 Ankle Breaker [Single Entry] (SAS vs LAC),27500,Showdown Captain Mode,118531251,50,1,310,Tue 10:30PM,3,7,59496
NBA Showdown $2K Ankle Breaker [Single Entry] (SAS vs LAC),27500,Showdown Captain Mode,118438440,50,1,2000,Tue 10:30PM,43,45,59496
NBA Showdown $200 Quarter Jukebox (SAS vs LAC),138,Showdown Captain Mode,118531751,0,20,200,Tue 10:30PM,347,951,59496
NBA Showdown $3K Quarter Jukebox [Just $0.25!] (SAS vs LAC),138,Showdown Captain Mode,118438437,0,20,3000,Tue 10:30PM,13256,14268,59496
 NBA Satellite to NBA $888 Mega 8's Special (12-1) (Night),49500,Classic,118439949,90,1,888,Tue 10:00PM,2,11,59494
NBA $2500 MEGA Millionaire Satellite [Must Fill] (Night),484000,Classic,118439304,880,1,2500,Tue 10:00PM,2,3,59494
NBA $1.35K 3-Ball [Single Entry] (Night),165000,Classic,118530884,300,1,1350,Tue 10:00PM,3,5,59494
NBA $1.25K Triple Threat [Single Entry] (Night),18150,Classic,118531130,33,1,1250,Tue 10:00PM,24,44,59494
NBA $1.25K Quarter Jukebox [Just $0.25!] (Night),138,Classic,118529807,0,20,1250,Tue 10:00PM,2725,5945,59494
NBA $500 Four Point Play (Night),2200,Classic,118531623,4,4,500,Tue 10:00PM,46,148,59494
NBA $5.7K Courtside Special [Single Entry] (Must Fill) (Night),825000,Classic,118531699,1500,1,5700,Tue 10:00PM,1,4,59494
"NBA $408 Winner Take All [$1.5K to 1st, Must Fill] (Night)",224400,Classic,118531962,408,1,1500,Tue 10:00PM,1,4,59494
NBA $4K All Star [Single Entry] (Must Fill) (Night),583000,Classic,118439299,1060,1,4000,Tue 10:00PM,3,4,59494
NBA $267 Winner Take All [$1K to 1st] (Must Fill) (Night),146850,Classic,118532346,267,1,1000,Tue 10:00PM,0,4,59494
NBA $15K Mid Range Jumper [Single Entry],22000,Classic,118515586,40,1,15000,Wed 7:00PM,1,437,59548
NBA $50K Mid Range Jumper [Single Entry],22000,Classic,118515585,40,1,50000,Wed 7:00PM,7,1457,59548
NBA $15K Showtime [Single Entry],55000,Classic,118515584,100,1,15000,Wed 7:00PM,1,166,59548
NBA $50K Showtime [Single Entry],55000,Classic,118515583,100,1,50000,Wed 7:00PM,3,555,59548
NBA $5M Fantasy Basketball World Championship Qualifier #13,492250,Classic,118525851,895,2,54000,Wed 7:00PM,4,70,59548
NBA Showdown $4K All Star [Single Entry] (Must Fill) (SAS vs LAC),583000,Showdown Captain Mode,118530992,1060,1,4000,Tue 10:30PM,0,4,59496
NBA Showdown $2500 MEGA Millionaire Satellite [Must Fill] (SAS vs LAC),484000,Showdown Captain Mode,118439428,880,1,2500,Tue 10:30PM,1,3,59496
NBA Showdown $2500 MEGA Millionaire Satellite [Must Fill] (SAS vs LAC),484000,Showdown Captain Mode,118439429,880,1,2500,Tue 10:30PM,1,3,59496
NBA Single Entry $5 Double Up,2750,Classic,118515604,5,1,12000,Wed 7:00PM,26,2758,59548
NBA GIANT Single Entry $25 Double Up,13750,Classic,118515600,25,1,30000,Wed 7:00PM,19,1379,59548
NBA $5 Double Up,2750,Classic,118515605,5,68,10000,Wed 7:00PM,209,2298,59548
NBA $25 Double Up,13750,Classic,118515608,25,6,5000,Wed 7:00PM,12,229,59548
NBA Single Entry $10 Double Up,5500,Classic,118515602,10,1,15000,Wed 7:00PM,20,1724,59548
NBA In-Game $2K Pull Up Jumper (4Q SAS vs LAC),5500,In-Game Showdown (Q4),118438458,10,7,2000,Tue 11:50PM,26,235,59498
"NBA In-Game $720 Showtime [Single Entry, Top 2 Win] (4Q SAS vs LAC)",55000,In-Game Showdown (Q4),118438462,100,1,720,Tue 11:50PM,2,8,59498
NBA In-Game $4K All Star [Single Entry] (Must Fill) (4Q SAS vs LAC),583000,In-Game Showdown (Q4),118439566,1060,1,4000,Tue 11:50PM,2,4,59498
NBA In-Game $267 Winner Take All [$1K to 1st] (Must Fill) (4Q SAS vs LAC),146850,In-Game Showdown (Q4),118439567,267,1,1000,Tue 11:50PM,2,4,59498
NBA In-Game $200 High Five [Single Entry] (4Q SAS vs LAC),2750,In-Game Showdown (Q4),118438464,5,1,200,Tue 11:50PM,7,47,59498
NBA Tiers $30K Zone [$5K to 1st],2750,Tiers,118515616,5,150,30000,Wed 7:00PM,129,7134,59552
NBA Tiers $8K And-One,550,Tiers,118515618,1,20,8000,Wed 7:00PM,253,9512,59552
NBA Tiers $3K Hot Shot [3 Entry Max],1650,Tiers,118515617,3,3,3000,Wed 7:00PM,31,1189,59552
NBA Tiers $2K High Five [Single Entry] ,2750,Tiers,118515621,5,1,2000,Wed 7:00PM,11,475,59552
NBA Tiers $3K Posterizer [Single Entry],82500,Tiers,118515613,150,1,3000,Wed 7:00PM,0,22,59552
