draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash,draftAlerts.alertType,draftAlerts.message,draftAlerts.updatedDate,draftAlerts.priority
57068,19600209,Sandro,Mamukelashvili,Sandro Mamukelashvili,S. Mamukelashvili,1060351,591058,C,462,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32933.png,https://dkn.gs/sports/images/nba/teams/160/32933.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,-2,18th,18,219,-,"",Medium,,,15,MIL,1060351-5770380,,,,
57068,19600141,Chaundee,Brown Jr.,Chaundee Brown Jr.,C. Brown Jr.,1060954,591153,SF,460,3000,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/teams/50/32927.png,https://dkn.gs/sports/images/nba/teams/160/32927.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,-2,18th,18,219,-,"",Medium,,,13,LAL,1060954-5770386,,,,
57068,19600013,Nicolas,Claxton,Nicolas Claxton,N. Claxton,1061682,32924,C,462,4000,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/32924.png,https://dkn.gs/sports/images/nba/players/160/32924.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,15.7,15.7,-2,9th,9,Low,,,17,BKN,1061682-5770380,,,,
57068,19600138,Tremont,Waters,Tremont Waters,T. Waters,1061694,32889,PG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32889.png,https://dkn.gs/sports/images/nba/players/160/32889.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,8.4,8.4,-2,3rd,3,Low,,,15,MIL,1061694-5770380,,,,
57068,19600126,RaiQuan,Gray,RaiQuan Gray,R. Gray,1067652,591063,PF,461,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32902.png,https://dkn.gs/sports/images/nba/teams/160/32902.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,-2,2nd,2,219,-,"",Low,,,17,BKN,1067652-5770380,,,,
57068,19600024,Jordan,Poole,Jordan Poole,J. Poole,1067671,33061,PG/SG,458,4800,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33061.png,https://dkn.gs/sports/images/nba/players/160/33061.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,19.2,19.2,-2,3rd,3,Low,100,true,9,GSW,1067671-5770386,,,,
57068,19600180,Jordan,Nwora,Jordan Nwora,J. Nwora,1076189,36556,SF/PF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32933.png,https://dkn.gs/sports/images/nba/teams/160/32933.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,9.8,9.8,-2,13th,13,Medium,,,15,MIL,1076189-5770380,,,,
57068,19600197,Joel,Ayayi,Joel Ayayi,J. Ayayi,1077553,591066,SG,459,3000,None,TRUE,TRUE,Recent,https://dkn.gs/sports/images/nba/teams/50/32927.png,https://dkn.gs/sports/images/nba/teams/160/32927.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,-2,16th,16,219,-,"",Medium,,,13,LAL,1077553-5770386,Trade Alert,"Joel Ayayi has signed with the Wizards and will not receive FPTS, please check your lineups!",2021-10-18T12:50:41.0000000Z,100
57068,19600015,Talen,Horton-Tucker,Talen Horton-Tucker,T. Horton-Tucker,1132824,33128,SG/SF,459,4000,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33128.png,https://dkn.gs/sports/images/nba/players/160/33128.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,18.0,18.0,-2,16th,16,Medium,,,13,LAL,1132824-5770386,,,,
57068,19600174,Marcus,Zegarowski,Marcus Zegarowski,M. Zegarowski,1134616,591053,PG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32902.png,https://dkn.gs/sports/images/nba/teams/160/32902.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,-2,6th,6,219,-,"",Low,,,17,BKN,1134616-5770380,,,,
