contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA Showdown $26.8K Slam Jam [$5K to 1st] (POR vs DEN),122100,Showdown Captain Mode,122491694,222,4,26800,Thu 10:00PM,124,134,62200
NBA Showdown $7K Triple Threat (POR vs DEN),18150,Showdown Captain Mode,122470712,33,7,7000,Thu 10:00PM,165,247,62200
NBA Showdown $7.5K Showtime [Single Entry] (POR vs DEN),55000,Showdown Captain Mode,122470714,100,1,7500,Thu 10:00PM,65,83,62200
NBA Showdown $6K Fadeaway [$2K to 1st] (POR vs DEN),8250,Showdown Captain Mode,122533021,15,14,6000,Thu 10:00PM,330,470,62200
NBA Showdown $6K Sharpshooter [20 Entry Max] (POR vs DEN),1650,Showdown Captain Mode,122470710,3,20,6000,Thu 10:00PM,1702,2378,62200
NBA Showdown $7.5K High Five [Single Entry] (POR vs DEN),2750,Showdown Captain Mode,122470716,5,1,7500,Thu 10:00PM,1348,1783,62200
NBA Showdown $350 And-One (POR vs DEN),550,Showdown Captain Mode,122532321,1,12,350,Thu 10:00PM,309,416,62200
NBA Showdown $15K And-One (POR vs DEN),550,Showdown Captain Mode,122470713,1,20,15000,Thu 10:00PM,17641,17835,62200
NBA $300K Alley Oop [$100K to 1st],305250,Classic,122528699,555,18,3e+05,Fri 7:00PM,20,600,62274
NBA $402K Rainmaker Special [$125K to 1st],1749000,Classic,122528616,3180,4,402000,Fri 7:00PM,4,134,62274
NBA In-Game $6K Pull Up Jumper [$2K to 1st] (2H POR vs DEN),5500,In-Game Showdown (H2),122470718,10,21,6000,Thu 11:00PM,75,705,62201
NBA In-Game $1.35K 3-Ball [Single Entry] (2H POR vs DEN),165000,In-Game Showdown (H2),122470720,300,1,1350,Thu 11:00PM,2,5,62201
NBA In-Game $1K Showtime [Single Entry] (2H POR vs DEN),55000,In-Game Showdown (H2),122470723,100,1,1000,Thu 11:00PM,2,11,62201
NBA In-Game $500 Ankle Breaker [Single Entry] (2H POR vs DEN),27500,In-Game Showdown (H2),122470717,50,1,500,Thu 11:00PM,2,11,62201
NBA In-Game $4K All Star [Single Entry] (Must Fill) (2H POR vs DEN),583000,In-Game Showdown (H2),122472053,1060,1,4000,Thu 11:00PM,2,4,62201
NBA Showdown $3K Ankle Breaker [2 Entry Max] (POR vs DEN),27500,Showdown Captain Mode,122470706,50,2,3000,Thu 10:00PM,53,68,62200
NBA Showdown $3K Pick and Roll [Single Entry] (POR vs DEN),6600,Showdown Captain Mode,122470715,12,1,3000,Thu 10:00PM,208,294,62200
NBA Showdown Satellite to $895 FBWC Qualifier (POR vs DEN),50600,Showdown Captain Mode,122472516,92,1,895,Thu 10:00PM,6,11,62200
$2M Fantasy Golf MEGA Millionaire Satellite (2-17) [Must Fill] (POR vs DEN),517000,Showdown Captain Mode,122471859,940,1,4444,Thu 10:00PM,1,5,62200
NBA Showdown $2500 MEGA Millionaire Satellite [Must Fill] (POR vs DEN),484000,Showdown Captain Mode,122471863,880,1,2500,Thu 10:00PM,1,3,62200
NBA $400K Fadeaway [$100K to 1st],8250,Classic,122528637,15,150,4e+05,Fri 7:00PM,370,31372,62274
NBA $80K Four Point Play [20 Entry Max],2200,Classic,122528649,4,20,80000,Fri 7:00PM,163,23781,62274
NBA $100K Box Out [$20K to 1st],48400,Classic,122528623,88,38,1e+05,Fri 7:00PM,71,1291,62274
NBA $50K Splash [3 Entry Max],110000,Classic,122528672,200,3,50000,Fri 7:00PM,10,277,62274
NBA Showdown $1K Jab Step (POR vs DEN),3300,Showdown Captain Mode,122533085,6,5,1000,Thu 10:00PM,85,196,62200
NBA Showdown $4K All Star [Single Entry] (Must Fill) (POR vs DEN),583000,Showdown Captain Mode,122522154,1060,1,4000,Thu 10:00PM,3,4,62200
"NBA Showdown $408 Winner Take All [$1.5K to 1st, Must Fill] (POR vs DEN)",224400,Showdown Captain Mode,122532432,408,1,1500,Thu 10:00PM,2,4,62200
NBA Showdown $2500 MEGA Millionaire Satellite [Must Fill] (POR vs DEN),484000,Showdown Captain Mode,122471864,880,1,2500,Thu 10:00PM,1,3,62200
NBA $15K Showtime [Single Entry],55000,Classic,122516196,100,1,15000,Fri 7:00PM,2,166,62274
NBA $50K Showtime [Single Entry],55000,Classic,122516195,100,1,50000,Fri 7:00PM,3,555,62274
NBA $5M Fantasy Basketball World Championship Qualifier #47,492250,Classic,122516217,895,2,54000,Fri 7:00PM,4,70,62274
NBA Single Entry $5 Double Up,2750,Classic,122516211,5,1,8000,Fri 7:00PM,21,1839,62274
NBA Single Entry $25 Double Up,13750,Classic,122516208,25,1,15000,Fri 7:00PM,13,689,62274
NBA Tiers $35K Zone [$10K to 1st],2750,Tiers,122516222,5,150,35000,Fri 7:00PM,166,8323,62276
NBA Tiers $7K And-One,550,Tiers,122516219,1,20,7000,Fri 7:00PM,313,8323,62276
NBA Tiers $2K High Five [Single Entry] ,2750,Tiers,122516226,5,1,2000,Fri 7:00PM,11,475,62276
NBA Tiers $2.57K Posterizer [Single Entry],82500,Tiers,122516220,150,1,2570,Fri 7:00PM,1,19,62276
NBA Tiers $1.5K Ankle Breaker [Single Entry],27500,Tiers,122516221,50,1,1500,Fri 7:00PM,0,34,62276
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,122516264,6,150,26000,Fri 10:00PM,38,5098,62283
NBA $15K And-One (Night),550,Classic,122516270,1,20,15000,Fri 10:00PM,162,17835,62283
NBA $10K Showtime [Single Entry] (Night),55000,Classic,122516265,100,1,10000,Fri 10:00PM,2,111,62283
NBA $8K Triple Threat [$2K to 1st] (Night),18150,Classic,122516268,33,8,8000,Fri 10:00PM,1,282,62283
NBA $6K High Five [Single Entry] (Night),2750,Classic,122516273,5,1,6000,Fri 10:00PM,9,1426,62283
NBA Showdown $267 Winner Take All [$1K to 1st] (Must Fill) (POR vs DEN),146850,Showdown Captain Mode,122534767,267,1,1000,Thu 10:00PM,1,4,62200
NBA Showdown $300 Quarter Jukebox [Just $0.25!]  (POR vs DEN),138,Showdown Captain Mode,122533124,0,20,300,Thu 10:00PM,967,1426,62200
NBA Showdown Satellite to NAS 2-20 Screaming Eagle [Must Fill] (POR vs DEN),99550,Showdown Captain Mode,122534239,181,1,500,Thu 10:00PM,0,3,62200
NBA Showdown Satellite to $307 FBWC Qualifier (POR vs DEN),2750,Showdown Captain Mode,122472514,5,2,307,Thu 10:00PM,23,73,62200
NBA Showdown SUPERSAT to 1-22 $25 UFC 270 Special [4x] (POR vs DEN),2750,Showdown Captain Mode,122472533,5,1,100,Thu 10:00PM,9,23,62200
NBA Showdown $100 Winner Take All [$450 to 1st] (4Q POR vs DEN),55000,In-Game Showdown (Q4),122470733,100,1,450,Thu 11:20PM,2,5,62202
NBA Showdown $4K All Star [Single Entry] (Must Fill) (4Q POR vs DEN),583000,In-Game Showdown (Q4),122472113,1060,1,4000,Thu 11:20PM,2,4,62202
NBA Showdown $267 Winner Take All [$1K to 1st] (Must Fill) (4Q POR vs DEN),146850,In-Game Showdown (Q4),122472114,267,1,1000,Thu 11:20PM,2,4,62202
NBA Showdown $310 Ankle Breaker [Single Entry] (4Q POR vs DEN),27500,In-Game Showdown (Q4),122470729,50,1,310,Thu 11:20PM,2,7,62202
NBA Showdown $200 Pull Up Jumper [$100 to 1st] (4Q POR vs DEN),5500,In-Game Showdown (Q4),122470730,10,1,200,Thu 11:20PM,4,23,62202
NBA Showdown $15K Pull Up Jumper [$5K to 1st] (BOS vs PHI),5500,Showdown Captain Mode,122516233,10,52,15000,Fri 7:00PM,16,1764,62279
NBA Showdown $2.57K Posterizer [Single Entry] (BOS vs PHI),82500,Showdown Captain Mode,122516232,150,1,2570,Fri 7:00PM,0,19,62279
NBA Showdown $1K Sharpshooter (BOS vs PHI),1650,Showdown Captain Mode,122516234,3,11,1000,Fri 7:00PM,10,396,62279
NBA Showdown $2K And-One (BOS vs PHI),550,Showdown Captain Mode,122516228,1,20,2000,Fri 7:00PM,99,2378,62279
NBA Showdown $1K High Five [Single Entry] (BOS vs PHI),2750,Showdown Captain Mode,122516230,5,1,1000,Fri 7:00PM,9,237,62279
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,122516244,10,52,15000,Fri 7:30PM,56,1764,62280
NBA $1.9K Posterizer [Single Entry] (Turbo),82500,Classic,122516238,150,1,1900,Fri 7:30PM,2,14,62280
NBA $2K And-One (Turbo),550,Classic,122516236,1,20,2000,Fri 7:30PM,61,2378,62280
$2M Fantasy Golf MEGA Millionaire Satellite (2-17) [Must Fill] (Turbo),517000,Classic,122517436,940,1,4444,Fri 7:30PM,1,5,62280
NBA $500 Sharpshooter (Turbo),1650,Classic,122516239,3,5,500,Fri 7:30PM,4,198,62280
NBA Showdown $15K Pull Up Jumper [$5K to 1st] (CLE vs SAS),5500,Showdown Captain Mode,122516262,10,52,15000,Fri 8:30PM,11,1764,62282
NBA Showdown $1.9K Posterizer [Single Entry] (CLE vs SAS),82500,Showdown Captain Mode,122516256,150,1,1900,Fri 8:30PM,0,14,62282
NBA Showdown $2K And-One (CLE vs SAS),550,Showdown Captain Mode,122516254,1,20,2000,Fri 8:30PM,67,2378,62282
NBA Showdown $500 Sharpshooter (CLE vs SAS),1650,Showdown Captain Mode,122516257,3,5,500,Fri 8:30PM,2,198,62282
NBA Showdown $500 High Five [Single Entry] (CLE vs SAS),2750,Showdown Captain Mode,122516258,5,1,500,Fri 8:30PM,1,118,62282
NBA In-Game $267 Winner Take All [$1K to 1st] (Must Fill) (2H POR vs DEN),146850,In-Game Showdown (H2),122532238,267,1,1000,Thu 11:00PM,0,4,62201
NBA In-Game $300 High Five [Single Entry] (2H POR vs DEN),2750,In-Game Showdown (H2),122470726,5,1,300,Thu 11:00PM,14,71,62201
NBA In-Game $85 Winner Take All [$300 to 1st] (2H POR vs DEN),46750,In-Game Showdown (H2),122472551,85,1,300,Thu 11:00PM,0,4,62201
NBA In-Game $305 Fast Break [Single Entry] (2H POR vs DEN),14850,In-Game Showdown (H2),122470724,27,1,305,Thu 11:00PM,2,13,62201
NBA In-Game $400 And-One (2H POR vs DEN),550,In-Game Showdown (H2),122470721,1,14,400,Thu 11:00PM,127,475,62201
NBA Showdown $10K Pull Up Jumper [$2K to 1st] (GSW vs CHI),5500,Showdown Captain Mode,122516245,10,35,10000,Fri 7:30PM,14,1176,62281
NBA Showdown $1.9K Posterizer [Single Entry] (GSW vs CHI),82500,Showdown Captain Mode,122516248,150,1,1900,Fri 7:30PM,0,14,62281
NBA Showdown $2K And-One (GSW vs CHI),550,Showdown Captain Mode,122516246,1,20,2000,Fri 7:30PM,77,2378,62281
NBA Showdown $500 Sharpshooter (GSW vs CHI),1650,Showdown Captain Mode,122516249,3,5,500,Fri 7:30PM,5,198,62281
