abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
K. Durant,Kevin Durant,SF/PF,TOR,67.5,"$11,100",6.08,38.08,41.2,9.2,8.2,1.1,1.3,4.2
S. Curry,Stephen Curry,PG,GS,43.1,"$10,200",4.23,34.48,26.4,5.5,5.8,1.3,0.2,3.1
J. Randle,Julius Randle,PF/C,GS,41.6,"$8,600",4.83,36.29,20.6,10,5.7,0.8,0.4,3.2
D. Lillard,Damian Lillard,PG,PHX,41.4,"$8,700",4.75,36.12,23.9,4.3,7.8,0.9,0.3,3.0
C. Paul,Chris Paul,PG,PHX,38.9,"$8,400",4.63,33.80,15.5,4.6,9.8,1.6,0.3,2.5
F. VanVleet,Fred VanVleet,PG,TOR,38.9,"$8,500",4.58,37.92,19.1,4.8,6.5,1.6,0.6,2.3
P. Siakam,Pascal Siakam,PF,TOR,38.7,"$7,800",4.96,37.77,19.3,8,4.5,1.1,0.7,2.4
D. Ayton,Deandre Ayton,C,PHX,35.3,"$7,500",4.71,32.43,15.8,11.2,1.6,0.7,1.1,1.7
J. Nurkic,Jusuf Nurkic,C,PHX,33.1,"$6,000",5.51,25.00,13.5,9.8,3.0,0.9,0.9,2.1
N. Claxton,Nicolas Claxton,C/PF,TOR,31.7,"$4,400",7.19,24.81,12.2,9,1.5,0.9,1.6,1.1
S. Barnes,Scottie Barnes,SF/PF,TOR,31.4,"$8,200",3.83,35.40,13.4,8.1,3.1,1.1,0.7,1.8
D. Green,Draymond Green,PF/C,GS,30.8,"$6,600",4.67,30.07,6.5,7,7.8,1.4,0.9,2.7
D. Rose,Derrick Rose,PG/SG,GS,30.4,"$6,200",4.91,30.32,15.8,3.4,5.1,1.1,0.5,1.9
A. Wiggins,Andrew Wiggins,SF,GS,29.7,"$5,900",5.03,31.05,17.5,4.6,2.1,0.8,0.9,1.6
P. Mills,Patrick Mills,SG/PG,TOR,28.8,"$5,400",5.34,34.12,16.8,2.7,4.4,1.1,0.2,1.7
C. Boucher,Chris Boucher,C/PF,TOR,28.8,"$5,100",5.65,27.12,11.7,7.7,1.1,0.7,1.7,1.0
A. Burks,Alec Burks,SG/SF,GS,28.8,"$5,600",5.13,32.55,14.9,5.5,2.9,1.1,0.3,1.3
G. Trent,Gary Trent Jr.,SG/SF,TOR,28.2,"$6,100",4.62,35.19,18.3,3.2,1.7,1.3,0.2,1.0
J. Poole,Jordan Poole,PG/SG,GS,26.9,"$6,300",4.27,30.10,17.0,2.9,3.1,0.9,0.3,1.8
I. Quickley,Immanuel Quickley,SG/PG,GS,25.9,"$5,200",4.98,32.11,14.5,3.6,3.6,0.9,0.2,1.6
N. Powell,Norman Powell,SF/SG,PHX,25.1,"$5,900",4.26,30.03,16.5,2.9,1.9,1.0,0.3,1.6
J. McGee,JaVale McGee,C,PHX,25.0,"$5,400",4.63,15.64,13.8,6,0.8,0.4,1.0,1.4
M. Bridges,Mikal Bridges,SF/PF,PHX,24.5,"$5,000",4.9,35.56,10.7,4.6,2.2,1.2,0.8,1.0
C. Thomas,Cameron Thomas,SG,TOR,23.8,"$4,200",5.67,26.17,12.7,3.8,2.5,1.0,0.3,1.1
