contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $40K And-One [20 Entry Max],550,Classic,119569996,1,20,40000,Tue 7:30PM,36178,47562,60034,40000
NBA $400K Fadeaway [$100K to 1st],8250,Classic,119570003,15,150,4e+05,Tue 7:30PM,20937,31372,60034,26666.6666666667
NBA $100K Four Point Play [20 Entry Max],2200,Classic,119569995,4,20,1e+05,Tue 7:30PM,21316,29726,60034,25000
NBA $17.5K And-One (Night),550,Classic,119548789,1,20,17500,Tue 10:00PM,7157,20808,60038,17500
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,119585344,15,150,150000,Tue 10:00PM,4305,11764,60038,10000
NBA $10K And-One (Night),550,Classic,119621537,1,20,10000,Wed 8:00PM,6,11890,60056,10000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,119548732,2,150,10000,Tue 7:30PM,5461,5945,60034,5000
NBA $25K Zone [$5K to 1st],2750,Classic,119621458,5,150,25000,Wed 7:00PM,1,5945,60047,5000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,119621460,2,150,10000,Wed 7:00PM,1,5945,60047,5000
NBA $22K Zone [$5K to 1st],2750,Classic,119548730,5,150,22000,Tue 7:30PM,4349,5231,60034,4400
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,119585348,6,150,26000,Tue 10:00PM,1643,5098,60038,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,119548729,6,150,26000,Tue 7:30PM,3433,5098,60034,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,119621457,6,150,26000,Wed 7:00PM,1,5098,60047,4333.33333333333
NBA $10K Sharpshooter,1650,Classic,119569998,3,20,10000,Tue 7:30PM,2529,3963,60034,3333.33333333333
NBA $10K Hot Shot [3 Entry Max],1650,Classic,119548731,3,3,10000,Tue 7:30PM,3025,3963,60034,3333.33333333333
NBA $10K Hot Shot [3 Entry Max],1650,Classic,119621459,3,3,10000,Wed 7:00PM,1,3963,60047,3333.33333333333
NBA $2 Double Up,1100,Classic,119621491,2,20,5000,Wed 7:00PM,1,2873,60047,2500
NBA $5 Double Up,2750,Classic,119548759,5,68,10000,Tue 7:30PM,2047,2298,60034,2000
NBA $8K Four Point Play (Night),2200,Classic,119548788,4,20,8000,Tue 10:00PM,1001,2378,60038,2000
NBA $5 Double Up,2750,Classic,119621489,5,68,10000,Wed 7:00PM,0,2298,60047,2000
