contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA $3K Fadeaway [$1K to 1st] (Night),8250,Classic,124214573,15,7,3000,Fri 9:00PM,116,235,64322
NBA Showdown $30K Fadeaway [$10K to 1st] (LAC vs LAL),8250,Showdown Captain Mode,124212257,15,70,30000,Fri 10:00PM,716,2352,64325
NBA $1.35K 3-Ball [Single Entry] (Night),165000,Classic,124214759,300,1,1350,Fri 9:00PM,0,5,64322
NBA $3K High Five [Single Entry] (Night),2750,Classic,124212188,5,1,3000,Fri 9:00PM,581,713,64322
NBA Satellite to $895 FBWC Qualifier (Night),50600,Classic,124168997,92,1,895,Fri 9:00PM,4,11,64322
NBA $1.5K Triple Threat (Night),18150,Classic,124211485,33,1,1500,Fri 9:00PM,40,53,64322
NBA Satellite to NBA $888 Mega 8's Special (Night),49500,Classic,124168998,90,1,888,Fri 9:00PM,6,11,64322
NBA $350 And-One (Night),550,Classic,124214691,1,12,350,Fri 9:00PM,58,416,64322
NBA $2K And-One (Night),550,Classic,124212214,1,20,2000,Fri 9:00PM,2307,2378,64322
NBA $1K Pick and Roll [Single Entry] (Night),6600,Classic,124211171,12,1,1000,Fri 9:00PM,73,98,64322
"NBA $720 Showtime [Single Entry, Top 2 Win] (Night)",55000,Classic,124214643,100,1,720,Fri 9:00PM,7,8,64322
NBA Showdown $10.9K Windmill [$3K to 1st] (LAC vs LAL),99000,Showdown Captain Mode,124189883,180,2,10900,Fri 10:00PM,52,67,64325
NBA Showdown $5K Showtime [Single Entry] (LAC vs LAL),55000,Showdown Captain Mode,124167122,100,1,5000,Fri 10:00PM,34,55,64325
FINAL STRETCH: NBA Showdown $2.25M MEGA Millionaire Satellite (LAC vs LAL),23100,Showdown Captain Mode,124169213,42,2,2500,Fri 10:00PM,16,69,64325
NBA Showdown $1.5K High Five [Single Entry] (LAC vs LAL),2750,Showdown Captain Mode,124213691,5,1,1500,Fri 10:00PM,44,356,64325
NBA Showdown $5K High Five [Single Entry] (LAC vs LAL),2750,Showdown Captain Mode,124167129,5,1,5000,Fri 10:00PM,1176,1189,64325
FINAL STRETCH: NBA Showdown $2.25M MEGA Millionaire Satellite (LAC vs LAL),137500,Showdown Captain Mode,124169214,250,1,2500,Fri 10:00PM,3,11,64325
NBA $2.25M MEGA Millionaire [$1M to 1st + ToC Semis-Entry],1375000,Classic,124140352,2500,30,2272667,Wed 7:00PM,26,1010,64301
"NBA Tiers $720 Showtime [Single Entry, Top 2 Win] (Night)",55000,Tiers,124167116,100,1,720,Fri 9:00PM,7,8,64323
NBA Tiers $500 Ankle Breaker [Single Entry] (Night),27500,Tiers,124209169,50,1,500,Fri 9:00PM,8,11,64323
FINAL STRETCH: NBA Tiers $2.25M MEGA Millionaire Satellite [Must Fill] (Night),484000,Tiers,124168049,880,1,2500,Fri 9:00PM,0,3,64323
FINAL STRETCH: NBA Tiers $2.25M MEGA Millionaire Satellite [Must Fill] (Night),484000,Tiers,124168050,880,1,2500,Fri 9:00PM,0,3,64323
NBA Tiers Satellite to UCL Quarter Finals Kickoff (4-5) [Must Fill] (Night),3300,Tiers,124168053,6,1,27,Fri 9:00PM,1,5,64323
FINAL STRETCH: NBA $2.25M MEGA Millionaire Satellite [Must Fill] (Night),484000,Classic,124167725,880,1,2500,Fri 9:00PM,0,3,64322
FINAL STRETCH: NBA $2.25M MEGA Millionaire Satellite [Must Fill] (Night),484000,Classic,124167726,880,1,2500,Fri 9:00PM,0,3,64322
Fantasy Golf MEGA Millionaire Satellite (3-10) [Must Fill] (Night),431750,Classic,124167727,785,1,2222,Fri 9:00PM,0,3,64322
NBA $4K All Star [Single Entry] (Must Fill) (Night),583000,Classic,124196314,1060,1,4000,Fri 9:00PM,1,4,64322
NBA $300K Fadeaway [$100K to 1st],8250,Classic,124209961,15,150,3e+05,Sat 7:30PM,526,23529,64337
NBA $300K Swish [$100K to 1st],427350,Classic,124209959,777,13,303500,Sat 7:30PM,15,434,64337
NBA $80K Four Point Play [20 Entry Max],2200,Classic,124209957,4,20,80000,Sat 7:30PM,89,23781,64337
NBA $5M Fantasy Basketball World Championship Qualifier #83,492250,Classic,124199535,895,2,54000,Sat 7:30PM,2,70,64337
NBA In-Game $6K Pull Up Jumper [$2K to 1st] (2H LAC vs LAL),5500,In-Game Showdown (H2),124167131,10,21,6000,Fri 11:00PM,46,705,64326
NBA In-Game $1.35K 3-Ball [Single Entry] (2H LAC vs LAL),165000,In-Game Showdown (H2),124167134,300,1,1350,Fri 11:00PM,1,5,64326
NBA In-Game $1K Showtime [Single Entry] (2H LAC vs LAL),55000,In-Game Showdown (H2),124167137,100,1,1000,Fri 11:00PM,2,11,64326
NBA In-Game $500 And-One (2H LAC vs LAL),550,In-Game Showdown (H2),124167135,1,17,500,Fri 11:00PM,101,594,64326
NBA In-Game $500 Ankle Breaker [Single Entry] (2H LAC vs LAL),27500,In-Game Showdown (H2),124167130,50,1,500,Fri 11:00PM,2,11,64326
NBA Showdown $1K Triple Threat (LAC vs LAL),18150,Showdown Captain Mode,124214574,33,1,1000,Fri 10:00PM,2,35,64325
NBA Showdown $4K Triple Threat [$1K to 1st] (LAC vs LAL),18150,Showdown Captain Mode,124167128,33,4,4000,Fri 10:00PM,135,141,64325
FINAL STRETCH: NBA Showdown $2.25M MEGA Millionaire Satellite (LAC vs LAL),305250,Showdown Captain Mode,124169212,555,1,2500,Fri 10:00PM,2,5,64325
NBA Showdown $3.8K 3-Ball [Single Entry] (LAC vs LAL),165000,Showdown Captain Mode,124167127,300,1,3800,Fri 10:00PM,10,14,64325
NBA Showdown Satellite to $895 FBWC Qualifier (LAC vs LAL),50600,Showdown Captain Mode,124169082,92,1,895,Fri 10:00PM,2,11,64325
NBA Showdown $50K Fadeaway [$10K to 1st]  (BOS vs DET),8250,Showdown Captain Mode,124199494,15,117,50000,Sat 12:00PM,56,3921,64336
