abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
G. Antetokounmpo,Giannis Antetokounmpo,PF/SF,LAL,53.6,"$11,400",4.7,33.66,26.9,11.3,5.7,1.2,1.4,3.2
A. Davis,Anthony Davis,PF/C,LAL,48.8,"$10,600",4.61,34.49,24.9,10.1,3.0,1.2,1.9,2.0
J. Butler,Jimmy Butler,SF/SG,NO,48.0,"$9,700",4.95,34.19,24.2,6.7,7.3,1.9,0.4,2.1
K. Durant,Kevin Durant,SF/PF,CLE,47.2,"$10,400",4.54,34.20,28.4,7.4,5.0,0.8,1.0,3.0
J. Harden,James Harden,SG/PG,CLE,46.1,"$10,200",4.52,35.51,21.2,7.4,9.3,1.2,0.7,3.6
J. Tatum,Jayson Tatum,SF/PF,BOS,45.7,"$9,300",4.92,38.16,26.6,8.3,4.1,1.2,0.7,2.7
K. Towns,Karl-Anthony Towns,C,SAC,45.7,"$9,800",4.66,35.80,22.8,11,4.4,1.0,1.1,3.2
R. Westbrook,Russell Westbrook,PG,LAL,42.7,"$9,700",4.4,34.44,19.6,9,7.7,1.3,0.3,4.1
J. Randle,Julius Randle,PF/C,ORL,42.5,"$8,600",4.95,35.85,21.8,9.9,5.3,0.9,0.4,3.0
T. Young,Trae Young,PG,BOS,42.1,"$9,600",4.38,34.13,25.2,4,8.5,0.9,0.2,4.0
D. DeRozan,DeMar DeRozan,SG/SF,CHI,41.8,"$8,500",4.91,35.13,25.4,5,5.7,0.9,0.3,1.8
L. Ball,LaMelo Ball,PG,WSH,41.4,"$9,000",4.6,34.23,19.5,6.9,6.9,1.7,0.4,3.0
D. Lillard,Damian Lillard,PG,CHI,41.2,"$8,200",5.03,35.10,23.8,4.3,7.7,0.9,0.3,2.9
B. Beal,Bradley Beal,SG,WSH,40.4,"$8,700",4.64,35.00,25.6,4.9,5.0,1.1,0.4,3.1
C. Paul,Chris Paul,PG,DAL,39.9,"$8,900",4.48,34.30,15.5,4.8,10.1,1.7,0.3,2.5
D. Sabonis,Domantas Sabonis,PF/C,IND,39.9,"$8,700",4.58,35.98,16.2,11.5,5.5,1.2,0.4,3.2
S. Gilgeous-Alexander,Shai Gilgeous-Alexander,SG/PG,HOU,39.8,"$7,900",5.03,35.28,23.2,5,5.5,1.1,0.6,2.8
K. Porzingis,Kristaps Porzingis,PF/C,DAL,39.5,"$8,800",4.49,34.64,20.7,8.8,2.1,0.7,1.6,1.8
D. Fox,De'Aaron Fox,PG,SAC,39.4,"$7,900",4.99,35.41,21.9,3.7,6.6,1.6,0.5,3.1
J. Valanciunas,Jonas Valanciunas,C,NO,39.1,"$8,800",4.45,34.51,17.6,12.1,2.4,0.7,1.1,2.0
Z. LaVine,Zach LaVine,SG/PG,CHI,38.9,"$7,900",4.92,34.75,25.6,5.5,4.0,0.8,0.4,2.9
C. Wood,Christian Wood,PF/C,HOU,38.8,"$7,300",5.31,34.46,18.9,10.7,2.1,0.9,1.1,2.1
A. Edwards,Anthony Edwards,SF/SG,SAC,37.6,"$8,100",4.65,35.69,23.3,5.4,3.3,1.3,0.5,2.5
C. McCollum,C.J. McCollum,SG,CHI,37.1,"$7,800",4.76,34.54,21.7,4.2,4.8,1.0,0.6,1.6
M. Bamba,Mohamed Bamba,C,ORL,37.1,"$7,000",5.3,29.65,16.0,9.9,1.7,0.7,2.0,1.4
T. Herro,Tyler Herro,SG/SF,NO,36.6,"$7,400",4.94,36.71,21.7,6,4.5,0.8,0.3,2.4
J. Holiday,Jrue Holiday,PG/SG,LAL,36.4,"$7,900",4.61,32.70,17.5,4.7,6.0,1.6,0.6,2.3
D. Russell,D'Angelo Russell,SG/PG,SAC,36.1,"$7,200",5.02,31.54,20.6,3.2,6.2,1.2,0.5,2.7
M. Bridges,Miles Bridges,SF,WSH,36.1,"$8,300",4.35,34.38,19.9,6.8,2.7,1.0,0.9,1.7
D. Booker,Devin Booker,SG,DAL,35.8,"$8,100",4.42,33.64,23.1,4.5,4.6,0.9,0.2,2.9
R. Rubio,Ricky Rubio,PG/SG,CLE,35.8,"$6,600",5.42,33.72,18.0,4.6,6.3,1.6,0.1,2.3
C. Capela,Clint Capela,C,BOS,35.7,"$7,000",5.09,32.19,13.0,12,0.9,0.8,1.9,1.2
B. Ingram,Brandon Ingram,SF,NO,35.5,"$8,100",4.39,33.83,20.7,5.1,4.8,0.7,0.6,2.4
M. Brogdon,Malcolm Brogdon,PG/SG,IND,35.0,"$8,600",4.07,33.96,19.2,5.3,5.3,0.9,0.3,2.1
A. Horford,Al Horford,PF/C,BOS,34.9,"$6,800",5.14,31.04,14.0,8.4,3.3,0.9,1.5,1.3
C. Anthony,Cole Anthony,PG/SG,ORL,34.7,"$7,600",4.57,34.11,17.9,6,5.4,1.0,0.4,2.7
J. Brunson,Jalen Brunson,PG/SG,DAL,34.4,"$6,500",5.29,36.02,17.8,5.2,6.3,0.9,0.1,2.1
J. Grant,Jerami Grant,PF,IND,33.3,"$7,800",4.27,33.97,19.7,4.8,2.9,0.8,1.0,1.9
D. Ayton,Deandre Ayton,C,DAL,33.2,"$7,800",4.25,28.52,15.3,10.3,1.4,0.6,1.0,1.4
J. Collins,John Collins,PF/C,BOS,32.9,"$6,800",4.83,33.42,16.5,8.5,1.5,0.7,1.1,1.5
S. Dinwiddie,Spencer Dinwiddie,SG/PG,WSH,32.7,"$7,500",4.35,30.16,15.0,5.5,6.3,0.9,0.3,2.0
D. Schroder,Dennis Schroder,PG/SG,BOS,32.6,"$6,200",5.25,33.06,18.7,3.8,5.4,1.1,0.2,2.7
R. Holmes,Richaun Holmes,C/PF,SAC,32.4,"$7,300",4.44,31.93,12.6,9.9,1.7,0.8,1.5,1.5
M. Turner,Myles Turner,C/PF,IND,32.4,"$7,800",4.16,33.02,11.9,7.3,1.1,0.9,3.0,1.6
H. Barnes,Harrison Barnes,SF/PF,SAC,32.4,"$7,100",4.56,36.28,17.5,7.2,3.1,0.9,0.2,1.7
L. Ball,Lonzo Ball,PG,CHI,32.0,"$6,000",5.33,35.15,12.8,5.7,5.3,1.5,0.7,2.2
J. Nurkic,Jusuf Nurkic,C,CHI,31.8,"$6,600",4.82,24.69,11.3,9.9,3.1,1.0,1.0,2.0
C. LeVert,Caris LeVert,SG/SF,IND,31.8,"$6,800",4.68,30.97,16.9,4.2,4.5,1.2,0.5,2.0
B. Portis,Bobby Portis,PF/C,LAL,31.6,"$6,400",4.94,29.83,15.0,8.9,1.5,1.0,0.7,1.4
W. Carter,Wendell Carter Jr.,PF/C,ORL,31.5,"$6,200",5.07,31.70,12.3,10,2.5,0.8,0.9,1.7
K. Middleton,Khris Middleton,SF/SG,LAL,31.0,"$7,800",3.97,29.75,16.7,5.3,4.6,1.0,0.1,2.3
D. Garland,Darius Garland,PG/SG,CLE,30.9,"$6,200",4.99,34.13,19.4,2.7,4.8,1.2,0.2,3.1
T. Rozier,Terry Rozier,SG/PG,WSH,30.5,"$6,100",4.99,32.11,17.4,3.8,3.8,1.1,0.4,1.7
G. Hayward,Gordon Hayward,SF/SG,WSH,30.2,"$6,500",4.65,32.55,16.7,5.1,3.6,1.0,0.3,1.9
T. Horton-Tucker,Talen Horton-Tucker,SG/SF,LAL,29.7,"$5,200",5.71,28.92,16.5,3.8,3.7,1.2,0.5,2.0
T. Haliburton,Tyrese Haliburton,PG/SG,SAC,29.7,"$6,700",4.43,31.20,13.9,3.3,5.2,1.4,0.5,1.7
K. Kuzma,Kyle Kuzma,SF/PF,WSH,29.5,"$7,100",4.15,32.88,14.5,7.7,2.3,0.7,0.7,1.9
C. Osman,Cedi Osman,SF/PF,CLE,29.0,"$4,600",6.3,30.90,15.9,4.4,3.6,1.0,0.3,1.5
J. Giddey,Josh Giddey,SG,HOU,28.9,"$5,300",5.45,30.15,9.7,6.2,5.9,1.3,0.5,2.5
M. Smart,Marcus Smart,SG/PG,BOS,28.8,"$6,300",4.57,34.43,12.0,3.8,5.3,1.6,0.5,2.0
