contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA Showdown $120K Fadeaway [$30K to 1st] (DAL vs GSW),8250,Showdown Captain Mode,123141965,15,150,120000,Tue 10:00PM,7735,9411,62765
NBA $12K Fadeaway [$3K to 1st] (Night),8250,Classic,123185422,15,28,12000,Tue 10:00PM,235,941,62762
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,123141959,15,150,150000,Tue 10:00PM,11340,11764,62762
NBA Showdown $26K Jab Step [$5K to 1st] (DAL vs GSW),3300,Showdown Captain Mode,123129685,6,150,26000,Tue 10:00PM,3952,5098,62765
NBA $50K SLAM Jam [$10K to 1st] (Night),122100,Classic,123141958,222,7,50000,Tue 10:00PM,224,250,62762
NBA $18.4K Courtside Special [Single Entry] (Night),825000,Classic,123141960,1500,1,18400,Tue 10:00PM,8,13,62762
NBA Showdown $15K SLAM Jam [$5K to 1st] (DAL vs GSW),122100,Showdown Captain Mode,123141964,222,2,15000,Tue 10:00PM,66,75,62765
NBA Showdown $12.5K And-One (DAL vs GSW),550,Showdown Captain Mode,123129693,1,20,12500,Tue 10:00PM,14063,14863,62765
NBA $2.5K And-One (Night),550,Classic,123184013,1,20,2500,Tue 10:00PM,1162,2972,62762
NBA $15K And-One (Night),550,Classic,123129667,1,20,15000,Tue 10:00PM,17178,17835,62762
NBA $8K High Five [Single Entry] (Night),2750,Classic,123129671,5,1,8000,Tue 10:00PM,1447,1902,62762
NBA $6K Mid Range Jumper [Single Entry] (Night),22000,Classic,123129669,40,1,6000,Tue 10:00PM,133,174,62762
NBA $1.8K Showtime [Single Entry] (Night),55000,Classic,123185673,100,1,1800,Tue 10:00PM,1,20,62762
NBA $10K Showtime [Single Entry] (Night),55000,Classic,123129663,100,1,10000,Tue 10:00PM,101,111,62762
NBA $6K Four Point Play [20 Entry Max] (Night),2200,Classic,123129666,4,20,6000,Tue 10:00PM,1384,1783,62762
NBA $4K Jab Step [$1K to 1st] (Night),3300,Classic,123184499,6,23,4000,Tue 10:00PM,356,784,62762
 NBA Single Entry $5 Double Up (Night),2750,Classic,123185316,5,1,250,Tue 10:00PM,23,57,62762
NBA Showdown $3K Ankle Breaker [2 Entry Max] (DAL vs GSW),27500,Showdown Captain Mode,123129684,50,2,3000,Tue 10:00PM,47,68,62765
"NBA Showdown $540 Showtime [Single Entry, Top 2 Win] (DAL vs GSW)",55000,Showdown Captain Mode,123185791,100,1,540,Tue 10:00PM,0,6,62765
NBA Showdown $5K Showtime [Single Entry] (DAL vs GSW),55000,Showdown Captain Mode,123129690,100,1,5000,Tue 10:00PM,48,55,62765
NBA Showdown $150 High Five [Single Entry] (DAL vs GSW),2750,Showdown Captain Mode,123185717,5,1,150,Tue 10:00PM,1,35,62765
NBA Showdown $4K High Five [Single Entry] (DAL vs GSW),2750,Showdown Captain Mode,123129692,5,1,4000,Tue 10:00PM,839,951,62765
NBA Showdown Satellite to $895 FBWC Qualifier (DAL vs GSW),50600,Showdown Captain Mode,123131904,92,1,895,Tue 10:00PM,3,11,62765
NBA In-Game $6K Pull Up Jumper [$2K to 1st] (2H DAL vs GSW),5500,In-Game Showdown (H2),123129696,10,21,6000,Tue 11:00PM,55,705,62766
NBA In-Game $1.35K 3-Ball [Single Entry] (2H DAL vs GSW),165000,In-Game Showdown (H2),123129698,300,1,1350,Tue 11:00PM,0,5,62766
NBA In-Game $1K Showtime [Single Entry] (2H DAL vs GSW),55000,In-Game Showdown (H2),123129702,100,1,1000,Tue 11:00PM,0,11,62766
NBA In-Game $500 And-One (2H DAL vs GSW),550,In-Game Showdown (H2),123129700,1,17,500,Tue 11:00PM,98,594,62766
NBA In-Game $500 Ankle Breaker [Single Entry] (2H DAL vs GSW),27500,In-Game Showdown (H2),123129695,50,1,500,Tue 11:00PM,1,11,62766
NBA $400K 6th Man [$100K to 1st],330000,Classic,123180339,600,22,4e+05,Wed 7:00PM,54,740,62855
