contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $40K And-One [20 Entry Max],550,Classic,118130254,1,20,40000,Fri 7:00PM,380,47562,59240,40000
NBA $100K Four Point Play [20 Entry Max],2200,Classic,118130251,4,20,1e+05,Fri 7:00PM,153,29726,59240,25000
NBA $17.5K And-One (Night),550,Classic,118113163,1,20,17500,Fri 10:00PM,77,20808,59255,17500
NBA $15K mini-MAX [150 Entry Max],1100,Classic,118113051,2,150,15000,Fri 7:00PM,259,8917,59240,7500
NBA $22K Zone [$5K to 1st],2750,Classic,118130259,5,150,22000,Fri 7:00PM,155,5231,59240,4400
NBA $26K Jab Step [$5K to 1st],3300,Classic,118130260,6,150,26000,Fri 7:00PM,155,5098,59240,4333.33333333333
NBA $10K Hot Shot [3 Entry Max],1650,Classic,118113050,3,3,10000,Fri 7:00PM,43,3963,59240,3333.33333333333
NBA $10K Sharpshooter,1650,Classic,118130252,3,20,10000,Fri 7:00PM,72,3963,59240,3333.33333333333
NBA $2 Double Up,1100,Classic,118113079,2,20,6000,Fri 7:00PM,48,3448,59240,3000
NBA $8K Four Point Play (Night),2200,Classic,118113162,4,20,8000,Fri 10:00PM,22,2378,59255,2000
NBA $2K And-One (Turbo),550,Classic,118113106,1,20,2000,Fri 7:30PM,34,2378,59246,2000
NBA $2K And-One (Turbo),550,Classic,118113124,1,20,2000,Fri 8:00PM,29,2378,59251,2000
NBA $5 Double Up,2750,Classic,118113077,5,55,8000,Fri 7:00PM,167,1839,59240,1600
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,118113108,10,52,15000,Fri 7:30PM,5,1764,59246,1500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,118113126,10,52,15000,Fri 8:00PM,3,1764,59251,1500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,118113141,10,52,15000,Fri 8:30PM,4,1764,59253,1500
NBA $5 Double Up,2750,Classic,118113078,5,41,6000,Fri 7:00PM,124,1379,59240,1200
NBA $1K And-One (Turbo),550,Classic,118113146,1,20,1000,Fri 8:30PM,27,1189,59253,1000
