contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA $80K Fadeaway [$20K to 1st] (Night),8250,Classic,121187465,15,150,80000,Thu 10:00PM,3985,6274,61262
$2.25M Holiday Basketball Millionaire [$1M to 1st + ToC Entry],13750,Classic,120113923,25,150,2271052.63,Sat 12:00PM,13224,106873,60618
NBA $2.25M MEGA Millionaire [$1M to 1st + ToC Entry],1375000,Classic,121019126,2500,30,2271052.63,Wed 7:00PM,51,1009,61237
NBA Showdown $50K Fadeaway [$10K to 1st]  (SAS vs LAL),8250,Showdown Captain Mode,121187506,15,117,50000,Thu 10:30PM,2376,3921,61265
NBA $20K Slam Jam [3 Entry Max] (Night),122100,Classic,121187454,222,3,20000,Thu 10:00PM,67,100,61262
NBA $6K Showtime [Single Entry] (Night),55000,Classic,121175412,100,1,6000,Thu 10:00PM,22,66,61262
NBA Showdown $5K Pull Up Jumper [$1K to 1st] (CHA vs DEN),5500,Showdown Captain Mode,121175399,10,17,5000,Thu 9:00PM,325,588,61261
NBA Showdown $660 Ankle Breaker [Single Entry] (CHA vs DEN),27500,Showdown Captain Mode,121205110,50,1,660,Thu 9:00PM,3,15,61261
NBA Showdown $5K Pull Up Jumper [$1K to 1st] (MIL vs DAL),5500,Showdown Captain Mode,121175381,10,17,5000,Thu 8:30PM,426,588,61259
NBA Showdown $300 And-One (MIL vs DAL),550,Showdown Captain Mode,121231091,1,10,300,Thu 8:30PM,48,356,61259
NBA $3K Pull Up Jumper [$1K to 1st] (Turbo),5500,Classic,121230648,10,10,3000,Thu 9:00PM,64,352,61260
NBA $5K Pull Up Jumper [$1K to 1st] (Turbo),5500,Classic,121175390,10,17,5000,Thu 9:00PM,580,588,61260
NBA $1.25K And-One [20 Entry Max] (Turbo),550,Classic,121231650,1,20,1250,Thu 9:00PM,48,1486,61260
NBA $2K And-One (Turbo),550,Classic,121203828,1,20,2000,Thu 9:00PM,2161,2378,61260
NBA $1.5K Ankle Breaker [Single Entry] (Turbo),27500,Classic,121204397,50,1,1500,Thu 9:00PM,13,34,61260
NBA $1.5K Posterizer [Single Entry] (Turbo),82500,Classic,121215860,150,1,1500,Thu 9:00PM,4,11,61260
NBA $10K And-One (Night),550,Classic,121175406,1,20,10000,Thu 10:00PM,7450,11890,61262
NBA $5K High Five [Single Entry] (Night),2750,Classic,121175414,5,1,5000,Thu 10:00PM,603,1189,61262
NBA $4K All-Star [Single Entry] (Night),583000,Classic,121224826,1060,1,4000,Thu 10:00PM,0,4,61262
NBA $4K Four Point Play (Night),2200,Classic,121175405,4,20,4000,Thu 10:00PM,737,1189,61262
NBA $4K Triple Threat [$1K to 1st] (Night),18150,Classic,121175411,33,4,4000,Thu 10:00PM,101,141,61262
NBA $402K Snowmaker [$125K to 1st],1749000,Classic,121216061,3180,4,402000,Sat 12:00PM,1,134,60618
NBA $300K Holiday Oop [$100K to 1st],305250,Classic,121216027,555,18,3e+05,Sat 12:00PM,3,600,60618
NBA $100K Four Point Play [20 Entry Max],2200,Classic,121216033,4,20,1e+05,Sat 12:00PM,130,29726,60618
NBA $50K Splash [3 Entry Max],110000,Classic,121216028,200,3,50000,Sat 12:00PM,3,277,60618
NBA $5M Fantasy Basketball World Championship Qualifier #33,492250,Classic,121216066,895,2,54000,Sat 12:00PM,0,70,60618
NBA $300K Holiday Showdown Special [$100K to 1st] (DAL vs UTA),9900,Showdown Captain Mode,121216184,18,150,3e+05,Sat 10:30PM,4,19607,61284
NBA Showdown $50K SLAM Jam [$10K to 1st] (DAL vs UTA),122100,Showdown Captain Mode,121216177,222,7,50000,Sat 10:30PM,0,250,61284
NBA Showdown $30K Jab Step [$5K to 1st] (DAL vs UTA),3300,Showdown Captain Mode,121216174,6,150,30000,Sat 10:30PM,2,5882,61284
NBA Showdown $20K And-One (DAL vs UTA),550,Showdown Captain Mode,121216179,1,20,20000,Sat 10:30PM,54,23781,61284
NBA Showdown $10K High Five [Single Entry] (DAL vs UTA),2750,Showdown Captain Mode,121216173,5,1,10000,Sat 10:30PM,0,2378,61284
NBA Showdown $620 Ankle Breaker [Single Entry] (MIL vs DAL),27500,Showdown Captain Mode,121208624,50,1,620,Thu 8:30PM,9,14,61259
NBA Showdown $500 Fast Break (MIL vs DAL),14850,Showdown Captain Mode,121175378,27,1,500,Thu 8:30PM,18,21,61259
$2M Fantasy Golf MEGA Millionaire Satellite (2-17) [Must Fill] (MIL vs DAL),517000,Showdown Captain Mode,121177067,940,1,4444,Thu 8:30PM,0,5,61259
NBA Showdown $2.25M MEGA Millionaire Satellite (12-29) [Must Fill] (MIL vs DAL),484000,Showdown Captain Mode,121177064,880,1,2500,Thu 8:30PM,0,3,61259
NBA $200K Eggnog Special [$50K to 1st] (Night),8250,Classic,121216151,15,150,2e+05,Sat 8:00PM,5,15686,61280
NBA $50K SLAM Jam [$10K to 1st] (Night),122100,Classic,121216148,222,7,50000,Sat 8:00PM,0,250,61280
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,121216144,6,150,26000,Sat 8:00PM,0,5098,61280
NBA $20K And-One (Night),550,Classic,121216153,1,20,20000,Sat 8:00PM,30,23781,61280
NBA $18.4K Courtside Special [Single Entry] (Night),825000,Classic,121216146,1500,1,18400,Sat 8:00PM,0,13,61280
NBA Showdown $5.2K Windmill [$2K to 1st] (SAS vs LAL),99000,Showdown Captain Mode,121187495,180,1,5200,Thu 10:30PM,17,32,61265
NBA Showdown $6K And-One (SAS vs LAL),550,Showdown Captain Mode,121175431,1,20,6000,Thu 10:30PM,4691,7134,61265
NBA Showdown $3K High Five [Single Entry] (SAS vs LAL),2750,Showdown Captain Mode,121175429,5,1,3000,Thu 10:30PM,318,713,61265
NBA Showdown $3K Showtime [Single Entry] (SAS vs LAL),55000,Showdown Captain Mode,121175430,100,1,3000,Thu 10:30PM,17,33,61265
LAST SHOT: NBA Showdown SUPERSat to NBA $2.25M Holiday BBall Millionaire [20x] (SAS vs LAL),2750,Showdown Captain Mode,121187276,5,3,500,Thu 10:30PM,13,118,61265
NBA $750 Quarter Jukebox [Just $0.25!]  (Turbo),138,Classic,121203760,0,20,750,Thu 9:00PM,2520,3567,61260
NBA $240 Fast Break [Single Entry] (Turbo),14850,Classic,121222164,27,1,240,Thu 9:00PM,6,10,61260
NBA $500 Fast Break (Turbo),14850,Classic,121175387,27,1,500,Thu 9:00PM,19,21,61260
