name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
N. Jokic,$12.5k,C,1,DEN,POR,15,-11.5,210,110.8,50.8,60.6,73.8,60.0,4.8
G. Antetokounmpo,$12.3k,PF/C,2,MIL,GSW,19,-1,224.5,112.8,52.3,62.3,76.0,58.3,4.74
J. Harden,$10.7k,PG,0,BKN,OKC,10,-5.5,217,111.3,34.8,46.4,64.8,57.5,5.37
S. Curry,$11.2k,PG,1,GSW,MIL,19,+1,224.5,111.8,29.3,43.8,61.0,49.0,4.38
K. Towns,$10.0k,C,1,MIN,MEM,6,+4,231.5,113.8,42.5,52.6,64.8,47.0,4.7
J. Nurkic,$7.6k,C,2,POR,DEN,2,+11.5,210,99.3,29.5,42.0,53.0,45.0,5.92
Ja Morant,$9.2k,PG,1,MEM,MIN,11,-4,231.5,117.8,34.0,46.0,55.0,44.5,4.84
J. Valanciunas,$8.6k,C,1,NO,LAC,3,-4,214,109,30.5,40.1,48.0,41.0,4.77
B. Ingram,$8.9k,SG/SF,1,NO,LAC,10,-4,214,109,28.0,40.9,56.0,40.5,4.55
Shai Gilgeous-Alexander,$8.0k,PG,1,OKC,BKN,5,+5.5,217,105.8,25.8,34.2,49.3,39.5,4.94
A. Edwards,$8.1k,SG/SF,1,MIN,MEM,6,+4,231.5,113.8,39.8,43.2,49.0,39.5,4.88
K. Middleton,$8.7k,SF,2,MIL,GSW,4,-1,224.5,112.8,20.0,43.0,57.8,38.8,4.45
D. Russell,$7.9k,PG/SG,1,MIN,MEM,29,+4,231.5,113.8,13.5,40.8,52.3,38.3,4.84
D. Smith Jr.,$4.0k,PG,2,POR,DEN,21,+11.5,210,99.3,10.8,15.2,23.8,37.5,9.38
Josh Giddey,$7.0k,SF,1,OKC,BKN,1,+5.5,217,105.8,24.3,41.7,65.3,36.8,5.25
B. Portis,$6.9k,C,2,MIL,GSW,7,-1,224.5,112.8,20.8,32.7,47.0,36.5,5.29
J. Jackson Jr.,$7.2k,PF/C,1,MEM,MIN,18,-4,231.5,117.8,24.5,40.7,57.0,33.3,4.62
Josh Hart,$6.8k,SF,1,NO,LAC,29,-4,214,109,23.5,36.3,45.8,33.0,4.85
D. Sharpe,$3.3k,C,0,BKN,OKC,21,-5.5,217,111.3,9.8,19.4,30.3,32.8,9.92
M. Morris Sr.,$6.5k,SF/PF,1,LAC,NO,11,+4,214,105,17.5,28.7,43.5,32.3,4.96
