abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to,x3pm
L. Doncic,Luka Doncic,PG,DAL,61.2,"$12,000",5.1,38.69,33.1,9.3,9.6,1.5,0.6,3.8,3.7
J. Embiid,Joel Embiid,C,BOS,53.5,"$12,400",4.32,35.37,28.9,10.6,4.8,1.0,1.7,3.4,0.9
A. Davis,Anthony Davis,PF/C,SAC,51.7,"$11,500",4.5,36.44,23.2,13.3,2.9,1.2,2.2,2.0,0.4
J. Tatum,Jayson Tatum,PF/SF,BOS,48.6,"$10,600",4.58,35.36,30.1,8.5,4.0,1.1,0.6,2.8,2.9
K. Durant,Kevin Durant,SF/PF,MIN,46.4,"$10,200",4.55,35.44,27.8,6.6,4.8,0.8,1.4,3.1,1.7
L. James,LeBron James,SF/PF,SAC,45.4,"$10,000",4.54,34.74,24.2,8.1,6.4,1.0,0.6,2.9,2.1
D. Sabonis,Domantas Sabonis,C/PF,SAC,44.9,"$10,100",4.44,35.46,17.5,12.9,6.8,0.9,0.6,2.8,0.5
S. Barnes,Scottie Barnes,PF/SF,MIL,44.6,"$9,500",4.69,37.76,20.7,8.6,5.9,1.3,1.0,2.2,1.3
D. Mitchell,Donovan Mitchell,SG/PG,CLE,44.4,"$9,700",4.58,37.17,27.8,4.5,5.2,1.6,0.5,2.9,3.6
T. Young,Trae Young,PG,NY,43.6,"$9,200",4.73,35.48,24.4,3,10.5,1.2,0.1,4.1,2.3
D. Lillard,Damian Lillard,PG,MIL,43.4,"$8,100",5.35,35.01,26.8,4.5,6.9,1.0,0.3,3.1,3.3
J. Holiday,Jrue Holiday,PG,BOS,42.9,"$6,600",6.5,38.47,21.1,6.3,7.9,1.4,0.5,3.3,2.0
D. Booker,Devin Booker,SG,MIN,42.7,"$9,900",4.31,33.63,26.0,4.6,6.5,1.0,0.3,2.5,2.2
P. Siakam,Pascal Siakam,PF,MIL,42.6,"$8,300",5.13,35.60,22.9,7.1,6.1,0.9,0.5,2.2,1.5
J. Randle,Julius Randle,PF,NY,42.3,"$8,400",5.04,35.62,24.6,9.6,4.0,0.7,0.3,2.8,2.9
D. Fox,De'Aaron Fox,PG,SAC,42.3,"$9,300",4.55,34.52,25.4,4.4,6.0,1.3,0.4,2.5,1.8
T. Maxey,Tyrese Maxey,PG,BOS,41.8,"$9,800",4.27,37.53,26.2,3.5,6.4,0.9,0.2,1.5,2.7
N. Vucevic,Nikola Vucevic,C,ORL,41.7,"$8,200",5.09,35.23,20.2,11.2,3.6,0.8,0.7,1.8,1.4
A. Edwards,Anthony Edwards,SG/SF,MIN,40.7,"$9,600",4.24,35.14,24.8,5.4,4.2,1.4,0.6,2.9,2.5
Z. LaVine,Zach LaVine,SG,ORL,40.1,"$7,900",5.08,36.09,27.1,4.3,4.5,1.0,0.2,2.5,3.2
J. Brunson,Jalen Brunson,PG,NY,40.1,"$8,000",5.01,36.51,25.0,3.6,6.1,1.1,0.2,2.3,2.2
E. Mobley,Evan Mobley,PF/C,CLE,38.3,"$7,500",5.11,35.33,16.0,9.7,3.3,0.9,1.7,2.1,0.3
J. Grant,Jerami Grant,PF/SF,CLE,38.2,"$7,400",5.17,39.47,24.4,5.2,2.8,1.0,0.9,2.3,2.8
K. Kuzma,Kyle Kuzma,SF/PF,DAL,38.2,"$7,700",4.96,30.60,23.7,6.7,3.7,0.6,0.5,2.4,2.3
K. Towns,Karl-Anthony Towns,PF/C,MIN,38.1,"$8,100",4.71,34.64,20.8,8.6,3.4,0.8,0.7,2.6,1.9
D. Murray,Dejounte Murray,SG/PG,NY,37.4,"$8,900",4.2,35.57,19.1,5.1,6.2,1.4,0.3,2.2,1.9
P. Banchero,Paolo Banchero,PF/SF,ORL,37.1,"$7,900",4.7,35.78,19.7,7.7,4.4,0.9,0.6,2.9,1.2
D. Ayton,Deandre Ayton,C,CLE,37.1,"$7,600",4.88,35.85,15.4,12.5,2.2,0.9,1.0,2.3,0.2
B. Portis,Bobby Portis,PF/C,MIL,34.7,"$5,700",6.09,32.66,16.1,11.5,2.0,0.7,0.4,1.5,1.4
S. Sharpe,Shaedon Sharpe,SF/SG,CLE,34.1,"$7,300",4.68,38.79,19.7,5.4,3.7,1.0,0.5,2.1,2.5
B. Lopez,Brook Lopez,C,MIL,33.6,"$5,500",6.11,32.38,14.7,7,1.4,0.6,2.7,1.5,1.6
C. LeVert,Caris LeVert,SG/SF,CLE,33.0,"$6,100",5.41,35.63,17.1,4.6,5.0,1.2,0.4,1.9,2.0
T. Harris,Tobias Harris,PF/SF,BOS,32.7,"$6,900",4.74,37.92,16.4,6.7,3.2,1.1,0.6,1.6,1.7
S. Mays,Skylar Mays,PG/SG,CLE,32.4,"$6,800",4.77,35.32,15.0,3.7,7.2,1.2,0.2,2.0,2.0
R. Gobert,Rudy Gobert,C,MIN,32.2,"$7,700",4.19,30.89,12.3,11.2,1.2,0.8,1.3,1.6,0.0
D. Russell,D'Angelo Russell,PG/SG,SAC,32.1,"$7,100",4.52,35.81,15.9,3.4,6.8,1.1,0.4,2.6,2.8
F. Wagner,Franz Wagner,SF,ORL,31.9,"$7,200",4.43,34.35,18.6,4.8,3.9,1.0,0.3,2.2,1.8
J. Poeltl,Jakob Poeltl,C,MIL,31.5,"$6,000",5.25,28.42,10.7,9.2,3.1,1.0,1.3,1.8,0.0
J. Poole,Jordan Poole,PG/SG,DAL,31.1,"$6,700",4.64,29.49,19.4,2.8,5.0,0.9,0.3,2.8,2.7
M. Robinson,Mitchell Robinson,C,NY,30.9,"$5,900",5.24,29.86,9.1,10.2,1.0,1.1,1.9,0.9,0.0
T. Hardaway Jr.,Tim Hardaway Jr.,SG/SF,DAL,30.8,"$5,300",5.81,30.61,21.5,3.7,2.1,0.7,0.2,1.0,4.0
J. Nurkic,Jusuf Nurkic,C,MIN,30.5,"$6,900",4.43,28.55,10.6,9.7,3.2,0.9,1.0,2.2,0.8
D. Schroder,Dennis Schroder,PG,MIL,30.2,"$6,500",4.64,35.64,14.9,2.9,6.6,1.1,0.2,2.0,1.7
T. Jones,Tyus Jones,PG,DAL,30.2,"$5,800",5.2,33.10,11.5,3.6,7.3,1.5,0.1,1.4,2.2
D. White,Derrick White,PG/SG,BOS,30.1,"$6,100",4.93,35.43,12.8,4.6,4.7,1.0,1.1,1.6,2.2
J. Johnson,Jalen Johnson,SF/PF,NY,29.7,"$6,600",4.5,30.36,11.5,8.1,2.5,1.1,0.9,1.3,1.0
D. Melton,De'Anthony Melton,SG/PG,BOS,29.4,"$5,400",5.45,35.56,11.5,5.2,4.0,1.9,0.6,1.8,2.3
D. Gafford,Daniel Gafford,C,DAL,29.4,"$6,300",4.66,29.09,10.3,8.4,1.8,0.7,1.9,1.5,0.1
