abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
N. Jokic,Nikola Jokic,C,DEN,54.6,"$11,400",4.79,35.08,26.6,11.2,7.7,1.2,0.8,3.0
J. Embiid,Joel Embiid,C,PHI,50.3,"$11,000",4.58,33.19,27.8,11.7,3.0,1.0,1.4,3.2
K. Towns,Karl-Anthony Towns,C,HOU,47.7,"$10,800",4.41,34.34,24.8,11.1,4.5,0.8,1.1,2.9
D. Lillard,Damian Lillard,PG,SAC,47.4,"$10,000",4.74,35.74,30.1,4.2,7.5,1.0,0.3,2.9
J. Randle,Julius Randle,PF/C,BOS,46.6,"$8,600",5.42,39.07,24.8,10.4,5.7,1.0,0.3,3.1
D. Sabonis,Domantas Sabonis,PF/C,IND,46.0,"$9,700",4.75,34.30,20.5,11.2,7.0,1.1,0.5,3.2
J. Tatum,Jayson Tatum,SF/PF,BOS,44.7,"$10,200",4.38,35.93,27.5,7.2,4.1,1.1,0.5,2.4
D. Fox,De'Aaron Fox,PG,SAC,44.0,"$8,500",5.18,35.01,26.2,3.7,7.0,1.4,0.5,2.8
N. Vucevic,Nikola Vucevic,C,CHI,43.9,"$9,200",4.78,33.95,20.8,11.7,3.8,0.9,0.8,1.7
B. Beal,Bradley Beal,SG/PG,WSH,42.0,"$9,400",4.46,35.63,27.7,5.1,4.5,1.1,0.4,3.1
L. Ball,LaMelo Ball,PG,IND,41.1,"$7,600",5.4,35.36,18.6,6.8,7.4,1.7,0.4,3.1
J. Morant,Ja Morant,PG,CLE,40.0,"$8,200",4.88,34.79,23.3,4.2,7.5,1.0,0.2,3.2
D. Mitchell,Donovan Mitchell,SG/PG,OKC,39.7,"$9,000",4.41,34.46,25.5,4.5,4.7,1.1,0.3,2.5
C. Wood,Christian Wood,PF/C,HOU,39.6,"$8,200",4.83,32.51,20.7,9.7,2.1,0.9,1.1,1.9
F. VanVleet,Fred VanVleet,SG/PG,WSH,39.2,"$8,800",4.46,36.24,19.6,4.4,6.3,1.6,0.7,2.0
R. Gobert,Rudy Gobert,C,OKC,39.1,"$8,000",4.89,32.02,12.8,13.5,1.2,0.7,2.6,1.6
D. Russell,D'Angelo Russell,SG/PG,HOU,38.7,"$7,500",5.16,32.41,20.0,3.2,8.3,1.3,0.4,2.7
T. Harris,Tobias Harris,PF/SF,PHI,38.2,"$7,200",5.31,34.82,20.0,7.5,3.8,1.0,0.8,1.9
D. Murray,Dejounte Murray,PG/SG,ORL,38.0,"$7,700",4.93,32.99,17.0,7.4,6.2,1.5,0.1,2.0
S. Gilgeous-Alexander,Shai Gilgeous-Alexander,SG/PG,OKC,38.0,"$7,600",4.99,35.57,23.0,4.8,4.8,1.0,0.6,2.8
C. Paul,Chris Paul,PG,DEN,37.5,"$8,000",4.69,30.59,15.9,4.4,9.1,1.3,0.3,2.1
Z. LaVine,Zach LaVine,SG/PG,CHI,37.4,"$8,200",4.56,34.73,23.5,4.9,4.8,0.8,0.5,3.1
C. McCollum,C.J. McCollum,SG,SAC,37.4,"$8,000",4.67,35.39,22.1,4.1,4.9,1.0,0.5,1.5
B. Ingram,Brandon Ingram,SF,PHI,37.0,"$8,400",4.4,34.53,22.5,5,4.5,0.8,0.6,2.5
