abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
L. Doncic,Luka Doncic,PG/SG,DAL,55.5,"$11,200",4.96,35.93,30.4,9.9,8.3,1.1,0.6,4.3
L. James,LeBron James,SF/PF,LAC,54.3,"$10,700",5.07,36.98,29.7,8.4,7.4,1.3,0.9,3.2
J. Embiid,Joel Embiid,C,PHI,51.8,"$11,000",4.71,32.46,29.6,11.2,3.1,1.0,1.3,2.8
D. Murray,Dejounte Murray,PG/SG,SA,48.4,"$10,000",4.84,35.09,21.0,7.9,9.5,1.8,0.2,2.3
J. Harden,James Harden,SG/SF,PHI,48.0,"$9,600",5,35.42,22.3,7.6,10.0,1.2,0.6,3.8
D. Booker,Devin Booker,SG,NO,45.8,"$9,000",5.09,36.53,26.9,4.9,8.1,1.0,0.3,3.0
K. Towns,Karl-Anthony Towns,C,PHI,44.7,"$9,700",4.61,35.70,24.4,9,4.4,0.9,1.1,3.1
P. Siakam,Pascal Siakam,PF,TOR,43.3,"$9,400",4.61,37.77,22.8,9.4,4.3,1.2,0.6,2.6
L. Ball,LaMelo Ball,PG,TOR,42.5,"$8,800",4.83,33.97,19.0,6.8,8.4,1.6,0.4,3.3
J. Butler,Jimmy Butler,SF/SG,MIA,42.4,"$8,700",4.87,35.98,20.0,7,6.1,1.8,0.5,2.1
S. Gilgeous-Alexander,Shai Gilgeous-Alexander,SG/PG,OKC,41.8,"$8,900",4.7,31.51,24.9,4.4,5.9,1.0,0.7,2.3
F. VanVleet,Fred VanVleet,PG,TOR,41.0,"$8,000",5.13,37.77,21.5,4.4,6.9,1.6,0.5,2.4
K. Kuzma,Kyle Kuzma,SF/PF,SA,40.8,"$7,600",5.37,34.87,20.0,9.7,4.7,0.7,0.8,2.4
J. Randle,Julius Randle,PF/C,MIA,40.7,"$10,200",3.99,35.80,19.6,9.7,6.1,0.8,0.4,3.3
C. Wood,Christian Wood,PF/C,HOU,40.7,"$7,800",5.22,31.99,20.8,10.7,2.1,0.8,1.1,1.8
D. Mitchell,Donovan Mitchell,SG/PG,DAL,40.7,"$9,000",4.52,33.94,25.0,4.3,5.6,1.3,0.3,2.7
R. Gobert,Rudy Gobert,C,DAL,40.5,"$8,300",4.87,31.94,14.5,13.8,1.4,0.7,2.3,1.7
B. Adebayo,Bam Adebayo,C/PF,MIA,39.9,"$9,300",4.29,33.98,17.9,9.5,4.2,1.2,1.1,2.6
C. McCollum,C.J. McCollum,SG,NO,39.7,"$8,500",4.67,36.91,23.6,4.4,5.3,1.1,0.5,1.9
R. Westbrook,Russell Westbrook,PG,LAC,39.4,"$7,000",5.62,34.98,18.3,8.3,7.0,1.2,0.3,3.9
W. Carter,Wendell Carter Jr.,PF/C,HOU,38.7,"$7,300",5.3,33.09,18.1,10.8,2.9,0.8,0.9,1.8
T. Haliburton,Tyrese Haliburton,PG/SG,OKC,38.7,"$9,500",4.07,37.12,16.8,4,8.3,1.7,0.6,2.3
J. Valanciunas,Jonas Valanciunas,C,NO,36.8,"$7,400",4.98,30.92,16.3,12.1,2.4,0.6,0.9,2.1
R. Jackson,Reggie Jackson,PG,LAC,36.5,"$6,900",5.3,35.21,19.4,4.2,7.2,1.0,0.2,2.3
M. Bridges,Miles Bridges,SF,TOR,36.0,"$8,000",4.5,35.97,19.1,6.9,3.5,0.9,0.9,2.0
D. Ayton,Deandre Ayton,C,NO,35.9,"$7,000",5.13,31.36,16.5,10.6,2.0,0.7,1.1,1.7
B. Ingram,Brandon Ingram,SF,NO,35.5,"$7,400",4.79,34.91,20.0,5.3,5.4,0.7,0.5,2.6
J. Poeltl,Jakob Poeltl,C,SA,35.0,"$7,700",4.55,30.07,13.2,9,2.6,0.8,2.1,1.6
A. Edwards,Anthony Edwards,SF/SG,PHI,34.9,"$7,600",4.6,35.70,20.4,5.2,3.4,1.3,0.6,2.5
C. Anthony,Cole Anthony,PG/SG,HOU,34.6,"$6,100",5.67,34.10,17.7,5.8,5.9,0.9,0.4,2.8
D. Russell,D'Angelo Russell,SG/PG,PHI,34.5,"$7,500",4.59,31.73,18.9,3.3,6.6,1.0,0.4,2.5
T. Rozier,Terry Rozier,SG/PG,TOR,34.4,"$7,500",4.59,35.97,18.2,4.4,5.1,1.3,0.4,1.8
B. Hield,Buddy Hield,SG/SF,OKC,33.2,"$6,800",4.89,37.12,19.2,5.2,3.8,1.0,0.4,2.1
T. Harris,Tobias Harris,PF/SF,PHI,32.4,"$7,500",4.32,35.42,15.9,7.4,3.2,0.8,0.7,1.7
R. Barrett,RJ Barrett,SF/SG,MIA,31.7,"$7,000",4.52,37.79,17.9,6.1,3.5,0.8,0.3,2.1
M. Harrell,Montrezl Harrell,C/PF,TOR,31.3,"$6,700",4.67,29.98,15.7,7.8,2.1,0.7,0.8,1.4
