contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA $120K Fadeaway [$30K to 1st] (Night),8250,Classic,117854858,15,150,120000,Mon 10:00PM,4475,9411,58937
NBA $1M Autumn Hoops Special [$200K to 1st],825000,Classic,117488198,1500,22,1e+06,Wed 7:00PM,17,740,58962
NBA Showdown $15K Pull Up Jumper [$5K to 1st] (MIA vs DEN),5500,Showdown Captain Mode,117838332,10,52,15000,Mon 9:00PM,1041,1764,58935
NBA $40K SLAM Jam [$10K to 1st] (Night),122100,Classic,117854857,222,6,40000,Mon 10:00PM,93,200,58937
NBA Showdown $15K Pull Up Jumper [$5K to 1st] (NOP vs DAL),5500,Showdown Captain Mode,117838322,10,52,15000,Mon 8:30PM,974,1764,58934
NBA Showdown $3K And-One [20 Entry Max] (NOP vs DAL),550,Showdown Captain Mode,117838327,1,20,3000,Mon 8:30PM,2355,3567,58934
NBA Showdown $20K Slam Jam [3 Entry Max] (CHA vs LAL),122100,Showdown Captain Mode,117854862,222,3,20000,Mon 10:30PM,28,100,58940
NBA Showdown $120K Fadeaway [$30K to 1st] (CHA vs LAL),8250,Showdown Captain Mode,117854863,15,150,120000,Mon 10:30PM,3518,9411,58940
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,117838312,10,52,15000,Mon 8:00PM,1675,1764,58933
NBA $1.35K 3-Ball [Single Entry] (Turbo),165000,Classic,117838311,300,1,1350,Mon 8:00PM,3,5,58933
NBA $12.5K And-One (Night),550,Classic,117838343,1,20,12500,Mon 10:00PM,8560,14863,58937
NBA $7.5K High Five [Single Entry] (Night),2750,Classic,117838347,5,1,7500,Mon 10:00PM,826,1783,58937
NBA $6K Showtime [Single Entry] (Night),55000,Classic,117838345,100,1,6000,Mon 10:00PM,29,66,58937
NBA $5K Four Point Play [20 Entry Max] (Night),2200,Classic,117838342,4,20,5000,Mon 10:00PM,1032,1486,58937
NBA $5K Triple Threat (Night),18150,Classic,117838341,33,5,5000,Mon 10:00PM,108,176,58937
NBA Showdown $3K And-One [20 Entry Max] (MIA vs DEN),550,Showdown Captain Mode,117838337,1,20,3000,Mon 9:00PM,2369,3567,58935
NBA Showdown $1K Sharpshooter (MIA vs DEN),1650,Showdown Captain Mode,117838336,3,11,1000,Mon 9:00PM,216,396,58935
NBA Showdown $1K Triple Threat (MIA vs DEN),18150,Showdown Captain Mode,117838335,33,1,1000,Mon 9:00PM,17,35,58935
NBA Showdown $1K Ankle Breaker [Single Entry] (MIA vs DEN),27500,Showdown Captain Mode,117838329,50,1,1000,Mon 9:00PM,11,22,58935
NBA Showdown $500 Pick and Roll [Single Entry] (MIA vs DEN),6600,Showdown Captain Mode,117838333,12,1,500,Mon 9:00PM,27,49,58935
NBA Tiers $8K Zone [$2K to 1st] (Night),2750,Tiers,117838355,5,57,8000,Mon 10:00PM,1311,1902,58938
NBA Tiers $3K And-One [20 Entry Max] (Night),550,Tiers,117838353,1,20,3000,Mon 10:00PM,2206,3567,58938
NBA Tiers $500 Pick and Roll [Single Entry] (Night),6600,Tiers,117838352,12,1,500,Mon 10:00PM,40,49,58938
NBA Tiers $100 Sharpshooter (Night),1650,Tiers,117908018,3,1,100,Mon 10:00PM,2,39,58938
NBA Tiers $500 Sharpshooter (Night),1650,Tiers,117838356,3,5,500,Mon 10:00PM,174,198,58938
NBA Tiers $400 Ankle Breaker [Single Entry] (Night),27500,Tiers,117893626,50,1,400,Mon 10:00PM,6,9,58938
NBA Tiers $500 Ankle Breaker [Single Entry] (Night),27500,Tiers,117838354,50,1,500,Mon 10:00PM,10,11,58938
NBA Showdown $1.35K 3-Ball [Single Entry] (NOP vs DAL),165000,Showdown Captain Mode,117838321,300,1,1350,Mon 8:30PM,1,5,58934
NBA Showdown $1.9K Posterizer [Single Entry] (NOP vs DAL),82500,Showdown Captain Mode,117838324,150,1,1900,Mon 8:30PM,11,14,58934
