name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
N. Jokic,$12.4k,C,1,DEN,DAL,16,+2.5,213.5,105.5,29.3,54.7,73.5,59.3,4.78
J. Harden,$11.3k,PG,1,BKN,MEM,27,-6.5,228.5,117.5,41.3,67.2,77.5,57.2,5.06
G. Antetokounmpo,$11.8k,PF/C,1,MIL,DET,7,-16,227,121.5,34.5,56.6,76.0,54.8,4.64
Joel Embiid,$11.4k,C,3,PHI,HOU,23,-14,217,115.5,46.0,58.9,72.5,53.3,4.67
Trae Young,$11.1k,PG,2,ATL,POR,16,-5,225.5,115.3,43.0,50.1,62.0,52.8,4.75
K. Durant,$11.2k,SF/PF,1,BKN,MEM,18,-6.5,228.5,117.5,45.3,61.1,79.3,51.0,4.55
Luka Doncic,$10.9k,PG,0,DAL,DEN,28,-2.5,213.5,108,41.3,46.9,54.8,50.5,4.63
Bradley Beal,$10.4k,PG/SG,1,WAS,CHA,23,-1.5,232.5,117,37.8,51.5,63.5,50.3,4.83
S. Curry,$11.5k,PG,1,GSW,MIA,7,-11,216.5,113.8,33.5,50.1,63.5,49.3,4.28
Ja Morant,$9.8k,PG,2,MEM,BKN,30,+6.5,228.5,111,34.3,47.6,66.0,46.3,4.72
Rudy Gobert,$8.7k,C,1,UTA,NO,1,-9.5,228,118.8,33.8,42.7,47.3,45.8,5.26
LaMelo Ball,$9.5k,PG/SG,0,CHA,WAS,4,+1.5,232.5,115.5,25.3,40.1,51.5,44.8,4.71
N. Vucevic,$9.2k,C,1,CHI,ORL,14,-14,218.5,116.3,41.0,49.7,65.8,44.8,4.86
D. Mitchell,$9.7k,PG/SG,1,UTA,NO,13,-9.5,228,118.8,37.5,46.7,57.5,43.0,4.43
J. Butler,$10.0k,SF,0,MIA,GSW,7,+11,216.5,102.8,27.3,44.2,65.0,42.8,4.28
D. DeRozan,$9.3k,PF,1,CHI,ORL,26,-14,218.5,116.3,35.8,44.6,57.3,42.5,4.57
Zach LaVine,$9.9k,SG/SF,1,CHI,ORL,29,-14,218.5,116.3,34.5,43.7,52.0,42.3,4.27
C. Capela,$8.5k,C,2,ATL,POR,22,-5,225.5,115.3,22.3,39.6,61.3,40.5,4.76
T. Harris,$8.2k,PF,3,PHI,HOU,27,-14,217,115.5,25.5,39.1,55.5,39.3,4.79
A. Edwards,$7.7k,SG/SF,0,MIN,LAC,18,+3.5,215.5,106,26.0,36.4,53.8,39.0,5.06
W. Carter Jr.,$7.4k,PF/C,0,ORL,CHI,14,+14,218.5,102.3,26.0,40.9,50.0,38.5,5.2
Kyle Kuzma,$8.0k,SF/PF,1,WAS,CHA,5,-1.5,232.5,117,33.0,41.0,53.5,38.5,4.81
B. Ingram Q,$9.1k,SG/SF,7,NO,UTA,6,+9.5,228,109.3,7.0,38.7,51.5,37.5,4.12
J. Valanciunas,$9.6k,C,5,NO,UTA,4,+9.5,228,109.3,32.5,38.5,45.0,36.5,3.8
Desmond Bane,$6.9k,SG,2,MEM,BKN,8,+6.5,228.5,111,21.0,34.9,49.5,36.3,5.26
Cade Cunningham,$9.0k,PG/SG,12,DET,MIL,6,+16,227,105.5,24.8,40.0,53.8,35.8,3.97
Jrue Holiday,$8.5k,PG,1,MIL,DET,25,-16,227,121.5,37.3,44.2,52.3,35.8,4.21
M. Morris Sr.,$6.0k,SF/PF,2,LAC,MIN,11,-3.5,215.5,109.5,35.5,39.0,41.5,35.0,5.83
H. Diallo,$8.7k,SG/SF,1,DET,MIL,14,+16,227,105.5,28.0,46.8,71.5,35.0,4.02
Saddiq Bey,$8.5k,SF/PF,1,DET,MIL,25,+16,227,105.5,30.8,43.1,51.3,35.0,4.12
M. Bridges,$7.4k,SF/PF,0,CHA,WAS,15,+1.5,232.5,115.5,21.8,34.4,44.5,35.0,4.73
D. Gafford,$6.0k,C,1,WAS,CHA,25,-1.5,232.5,117,17.5,28.7,36.3,34.8,5.79
N. Powell,$6.5k,SF,2,POR,ATL,6,+5,225.5,110.3,22.5,30.9,39.8,34.8,5.35
J. Jackson Jr.,$6.6k,PF/C,2,MEM,BKN,2,+6.5,228.5,111,19.8,32.4,41.3,34.5,5.23
K. Middleton Q,$7.8k,SG/SF,3,MIL,DET,9,-16,227,121.5,29.0,36.7,43.3,34.3,4.39
T. Herro,$7.2k,PG/SG,0,MIA,GSW,17,+11,216.5,102.8,17.5,35.2,45.5,34.0,4.72
Lonzo Ball,$7.6k,PG,13,CHI,ORL,15,-14,218.5,116.3,29.3,40.7,50.3,34.0,4.47
D. Green,$7.5k,PF/C,8,GSW,MIA,18,-11,216.5,113.8,25.3,39.5,53.8,33.8,4.5
J. Nurkic Q,$7.1k,C,12,POR,ATL,29,+5,225.5,110.3,18.0,30.9,43.8,33.6,4.73
R. Jackson,$7.3k,PG,1,LAC,MIN,24,-3.5,215.5,109.5,13.5,30.9,42.5,33.5,4.59
T. Rozier,$6.9k,PG/SG,0,CHA,WAS,4,+1.5,232.5,115.5,16.8,37.7,58.8,32.5,4.71
Kyle Lowry,$8.2k,PG,0,MIA,GSW,17,+11,216.5,102.8,23.3,37.9,43.8,32.5,3.96
Josh Hart,$6.8k,SF/PF,1,NO,UTA,23,+9.5,228,109.3,38.8,45.2,57.0,32.3,4.74
Naz Reid,$4.8k,PF/C,0,MIN,LAC,8,+3.5,215.5,106,11.3,25.4,39.8,32.3,6.72
B. Portis,$6.8k,C,1,MIL,DET,27,-16,227,121.5,21.8,30.6,38.8,32.0,4.71
Will Barton,$6.2k,SG,1,DEN,DAL,1,+2.5,213.5,105.5,18.3,29.8,36.5,32.0,5.16
Omer Yurtseven,$6.5k,C,0,MIA,GSW,18,+11,216.5,102.8,24.0,36.0,45.0,31.8,4.88
A. Wiggins,$7.0k,SG/SF,1,GSW,MIA,13,-11,216.5,113.8,29.8,35.8,44.0,31.5,4.5
F. Wagner,$6.7k,SF/PF,0,ORL,CHI,24,+14,218.5,102.3,20.0,31.2,56.3,31.5,4.7
D. Smith Jr.,$5.5k,PG,2,POR,ATL,1,+5,225.5,110.3,-0.5,25.7,41.5,31.3,5.68
P. Beverley,$5.2k,PG,0,MIN,LAC,18,+3.5,215.5,106,23.3,31.8,37.3,30.8,5.91
J. Brunson,$7.9k,PG/SG,0,DAL,DEN,28,-2.5,213.5,108,24.8,36.1,43.0,30.5,3.86
G. Hayward,$6.6k,SF/PF,0,CHA,WAS,15,+1.5,232.5,115.5,17.0,23.0,30.5,30.3,4.58
Eric Bledsoe,$6.9k,PG,1,LAC,MIN,24,-3.5,215.5,109.5,15.3,34.4,50.0,30.0,4.35
Terance Mann,$5.4k,PG/SF,1,LAC,MIN,24,-3.5,215.5,109.5,11.0,26.1,34.8,29.8,5.51
Mike Conley,$6.3k,PG,1,UTA,NO,13,-9.5,228,118.8,24.3,31.3,41.8,29.5,4.68
Jae'Sean Tate,$5.2k,PF,1,HOU,PHI,5,+14,217,101.5,9.8,24.5,40.8,29.5,5.67
S. Adams,$5.4k,C,2,MEM,BKN,17,+6.5,228.5,111,9.3,27.9,45.5,28.8,5.32
Seth Curry,$6.0k,SG,3,PHI,HOU,23,-14,217,115.5,22.3,31.1,43.0,28.8,4.79
F. Campazzo,$6.0k,PG/SG,1,DEN,DAL,21,+2.5,213.5,105.5,14.3,31.3,60.0,28.5,4.75
K. Caldwell-Pope,$4.9k,SG/SF,1,WAS,CHA,16,-1.5,232.5,117,12.3,23.8,28.8,28.3,5.77
B. Bogdanovic,$5.5k,SF/PF,1,UTA,NO,16,-9.5,228,118.8,23.3,31.1,42.5,28.3,5.15
Deni Avdija,$4.7k,SF/PF,1,WAS,CHA,5,-1.5,232.5,117,21.0,25.0,30.3,28.2,6
Mo Bamba,$6.1k,C,0,ORL,CHI,12,+14,218.5,102.3,10.5,20.3,34.5,28.0,4.59
J. Vanderbilt,$4.9k,PF/C,0,MIN,LAC,8,+3.5,215.5,106,20.5,24.7,33.0,27.8,5.66
Luka Garza,$5.2k,C,1,DET,MIL,7,+16,227,105.5,0.0,20.1,40.0,27.5,5.29
M. Beasley,$6.0k,SG,0,MIN,LAC,18,+3.5,215.5,106,20.8,31.9,46.5,27.5,4.58
N. Claxton,$5.0k,C,1,BKN,MEM,3,-6.5,228.5,117.5,27.0,29.8,32.8,27.3,5.45
D. Graham,$6.2k,PG,1,NO,UTA,22,+9.5,228,109.3,22.0,30.2,37.3,26.8,4.31
P. Mills,$6.3k,PG/SG,1,BKN,MEM,27,-6.5,228.5,117.5,11.8,31.3,53.0,26.3,4.17
A. Gordon,$5.5k,SF/PF,1,DEN,DAL,26,+2.5,213.5,105.5,14.0,23.5,29.8,25.8,4.68
J. Green,$5.2k,PG/SG,1,HOU,PHI,2,+14,217,101.5,15.5,28.3,37.5,25.5,4.9
S. Milton,$4.3k,PG/SG,3,PHI,HOU,26,-14,217,115.5,4.3,17.7,25.5,25.5,5.93
J. Poole,$5.9k,PG/SG,1,GSW,MIA,7,-11,216.5,113.8,14.0,26.7,35.3,25.3,4.28
Cam Reddish Q,$5.7k,SG/SF,2,ATL,POR,3,-5,225.5,115.3,8.0,25.0,44.0,25.3,4.43
S. Ibaka,$3.7k,PF/C,1,LAC,MIN,12,-3.5,215.5,109.5,5.8,16.6,23.0,25.3,6.82
N. Little,$4.7k,SF/PF,2,POR,ATL,6,+5,225.5,110.3,9.5,26.4,48.0,25.1,5.34
Eric Gordon Q,$5.0k,SG/SF,2,HOU,PHI,10,+14,217,101.5,21.3,25.1,31.0,25.0,5
N. Alexander-Walker,$4.1k,PG/SG,1,NO,UTA,22,+9.5,228,109.3,18.0,23.9,37.8,25.0,6.1
L. Nance Jr.,$5.9k,PF/C,2,POR,ATL,29,+5,225.5,110.3,22.8,29.7,45.3,24.9,4.22
Tyus Jones,$4.0k,PG,2,MEM,BKN,30,+6.5,228.5,111,6.8,16.3,34.0,24.8,6.19
Coby White,$5.4k,PG/SG,1,CHI,ORL,15,-14,218.5,116.3,13.0,31.1,43.0,24.6,4.56
B. Clarke,$3.8k,PF/C,2,MEM,BKN,2,+6.5,228.5,111,8.0,19.5,35.3,24.5,6.45
D. Theis,$3.5k,PF/C,1,HOU,PHI,5,+14,217,101.5,12.0,21.4,44.0,24.5,7
M. Plumlee,$5.2k,C,0,CHA,WAS,8,+1.5,232.5,115.5,11.3,24.2,39.8,24.0,4.62
Terrence Ross,$4.4k,SG/SF,0,ORL,CHI,24,+14,218.5,102.3,26.5,34.9,46.8,24.0,5.45
D. Finney-Smith,$5.8k,SF/PF,0,DAL,DEN,1,-2.5,213.5,108,21.0,26.7,35.8,23.8,4.09
J. Clarkson,$6.0k,PG/SG,1,UTA,NO,13,-9.5,228,118.8,24.3,31.8,43.5,23.5,3.92
Trey Lyles,$4.9k,PF/C,10,DET,MIL,25,+16,227,105.5,13.0,26.4,50.5,23.3,4.74
K. Huerter Q,$4.9k,SG/SF,16,ATL,POR,3,-5,225.5,115.3,16.3,22.6,31.8,23.3,4.74
Tim Frazier,$3.8k,PG,0,ORL,CHI,9,+14,218.5,102.3,3.5,15.5,25.8,23.0,6.05
K. Oubre Jr.,$6.2k,SG/SF,0,CHA,WAS,20,+1.5,232.5,115.5,16.3,24.7,41.5,23.0,3.71
R. Covington,$4.6k,PF/C,12,POR,ATL,29,+5,225.5,110.3,17.8,24.9,34.5,22.8,4.96
Maxi Kleber,$3.6k,PF,0,DAL,DEN,28,-2.5,213.5,108,19.5,23.9,29.0,22.8,6.32
C. Martin,$4.7k,SG/SF,0,MIA,GSW,4,+11,216.5,102.8,16.8,23.2,32.0,22.5,4.79
K. Looney,$4.0k,C,1,GSW,MIA,5,-11,216.5,113.8,6.0,19.1,27.3,22.5,5.63
C. Kispert,$3.9k,SG/SF,1,WAS,CHA,16,-1.5,232.5,117,9.3,18.0,28.5,22.3,5.71
Tim Hardaway Jr.,$5.6k,SG/SF,0,DAL,DEN,15,-2.5,213.5,108,17.8,32.1,52.0,22.0,3.93
Gary Harris,$5.2k,SG/SF,0,ORL,CHI,24,+14,218.5,102.3,22.5,28.1,35.3,22.0,4.23
R. O'Neale,$3.9k,PF,1,UTA,NO,30,-9.5,228,118.8,9.8,14.4,23.5,21.8,5.58
KJ Martin,$4.5k,PF/C,1,HOU,PHI,5,+14,217,101.5,5.3,19.8,32.3,21.5,4.78
F. Korkmaz,$3.3k,SG/SF,3,PHI,HOU,23,-14,217,115.5,4.3,15.1,24.0,21.3,6.44
D. Gallinari Q,$4.5k,SF/PF,16,ATL,POR,27,-5,225.5,115.3,15.0,22.4,34.8,21.3,4.72
Rudy Gay,$3.7k,SF/PF,1,UTA,NO,16,-9.5,228,118.8,10.8,19.0,31.5,21.1,5.7
J. McDaniels,$4.4k,PF,0,CHA,WAS,21,+1.5,232.5,115.5,14.0,21.6,26.8,21.0,4.77
J. Nowell,$4.3k,PG,0,MIN,LAC,18,+3.5,215.5,106,17.3,28.0,45.5,21.0,4.88
H. Jones,$4.6k,PF/C,1,NO,UTA,15,+9.5,228,109.3,6.8,27.9,46.3,20.8,4.51
Josh Christopher,$3.6k,SG/SF,1,HOU,PHI,10,+14,217,101.5,1.8,14.3,25.8,20.5,5.69
Pat Connaughton,$4.4k,SF/PF,1,MIL,DET,20,-16,227,121.5,7.5,17.3,26.0,20.5,4.66
D. Green Q,$4.4k,SF,13,PHI,HOU,8,-14,217,115.5,5.3,18.9,30.5,20.3,4.6
Saben Lee,$4.2k,PG,12,DET,MIL,6,+16,227,105.5,7.5,23.5,41.0,20.3,4.82
Otto Porter Jr.,$5.8k,SF/PF,1,GSW,MIA,10,-11,216.5,113.8,11.0,31.5,47.8,20.0,3.45
D. Jones Jr.,$3.9k,SF/PF,1,CHI,ORL,14,-14,218.5,116.3,1.3,10.9,21.5,20.0,5.13
B. Brown,$4.4k,SG/SF,1,BKN,MEM,2,-6.5,228.5,117.5,8.0,17.4,31.0,19.8,4.49
Joe Ingles,$4.2k,SG/SF,1,UTA,NO,11,-9.5,228,118.8,7.0,18.9,35.0,19.5,4.64
N. Batum Q,$4.4k,PF/C,7,LAC,MIN,12,-3.5,215.5,109.5,3.5,11.4,21.3,19.5,4.43
D. Cousins,$4.5k,C,1,MIL,DET,27,-16,227,121.5,14.5,24.2,42.0,19.5,4.33
K. Hayes,$3.4k,PG,14,DET,MIL,6,+16,227,105.5,6.3,18.6,32.5,19.3,5.66
A. Drummond,$5.6k,C,3,PHI,HOU,23,-14,217,115.5,7.0,21.5,28.5,19.3,3.44
D. Nwaba,$3.9k,SF,1,HOU,PHI,28,+14,217,101.5,18.8,22.2,25.3,19.3,4.94
D. Powell,$4.0k,C,0,DAL,DEN,2,-2.5,213.5,108,12.0,20.0,26.8,19.3,4.81
G. Allen,$4.3k,SG/SF,1,MIL,DET,9,-16,227,121.5,6.5,13.6,28.0,19.3,4.48
R.J. Hampton,$5.0k,PG/SG,0,ORL,CHI,9,+14,218.5,102.3,7.3,22.2,29.8,19.0,3.8
G. Mathews,$4.4k,SF,10,HOU,PHI,28,+14,217,101.5,8.8,21.2,34.3,19.0,4.32
J. Hayes,$3.9k,C,1,NO,UTA,4,+9.5,228,109.3,2.0,18.2,34.8,18.8,4.81
G. Niang,$3.4k,SF/PF,3,PHI,HOU,8,-14,217,115.5,4.3,14.1,28.3,18.6,5.47
A. Rivers Q,$3.4k,SG/SF,1,DEN,DAL,1,+2.5,213.5,105.5,10.8,17.8,23.3,18.5,5.44
A. Simons Q,$4.1k,PG/SG,4,POR,ATL,1,+5,225.5,110.3,7.5,13.3,20.3,18.5,4.51
Cody Martin,$5.0k,SG/SF,0,CHA,WAS,20,+1.5,232.5,115.5,14.5,23.0,38.5,18.5,3.7
