contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $40K And-One [20 Entry Max],550,Classic,154306127,1,20,40000,Wed 7:00PM,505,47562,95941,40000
NBA $400K Fadeaway [$100K to 1st],8250,Classic,154306132,15,150,4e+05,Wed 7:00PM,713,31372,95941,26666.6666666667
NBA $100K Four Point Play [20 Entry Max],2200,Classic,154306125,4,20,1e+05,Wed 7:00PM,392,29726,95941,25000
NBA $15K And-One (Night),550,Classic,154290678,1,20,15000,Wed 10:00PM,115,17835,95949,15000
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,154291865,15,150,150000,Wed 10:00PM,311,11764,95949,10000
NBA $30K Jab Step [$5K to 1st] (Night),3300,Classic,154290686,6,150,30000,Wed 10:00PM,19,5882,95949,5000
NBA $25K Zone [$5K to 1st],2750,Classic,154306126,5,150,25000,Wed 7:00PM,318,5945,95941,5000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,154290605,2,150,10000,Wed 7:00PM,161,5945,95941,5000
NBA $26K Jab Step [$5K to 1st],3300,Classic,154306134,6,150,26000,Wed 7:00PM,312,5098,95941,4333.33333333333
NBA $4K And-One (Turbo),550,Classic,154290650,1,20,4000,Wed 7:30PM,23,4756,95945,4000
NBA $4K And-One (Turbo),550,Classic,154290666,1,20,4000,Wed 8:00PM,24,4756,95947,4000
NBA $30K Excellent 8's [$10K to 1st],4400,Classic,154306133,8,132,30000,Wed 7:00PM,411,4411,95941,3750
NBA $10K Hot Shot [3 Entry Max],1650,Classic,154290604,3,3,10000,Wed 7:00PM,53,3963,95941,3333.33333333333
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,154290687,4,20,10000,Wed 10:00PM,4,2972,95949,2500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,154290648,10,52,15000,Wed 7:30PM,2,1764,95945,1500
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,154290664,10,52,15000,Wed 8:00PM,53,1764,95947,1500
NBA $2 Double Up,1100,Classic,154290601,2,20,2000,Wed 7:00PM,36,1149,95941,1000
