contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA $400K Fadeaway [$100K to 1st],8250,Classic,118392693,15,150,4e+05,Mon 7:00PM,18643,31372,59316
NBA $350K Alley Oop [$100K to 1st],305250,Classic,118392687,555,21,350000,Mon 7:00PM,528,700,59316
NBA $80K Four Point Play [20 Entry Max],2200,Classic,118392689,4,20,80000,Mon 7:00PM,16587,23781,59316
NBA $100K Box Out [$20K to 1st],48400,Classic,118392691,88,38,1e+05,Mon 7:00PM,1056,1291,59316
NBA $60K Splash [3 Entry Max],110000,Classic,118392692,200,3,60000,Mon 7:00PM,274,333,59316
NBA $15K High Five [Single Entry],2750,Classic,118382227,5,1,15000,Mon 7:00PM,2371,3567,59316
NBA $250 High Five [Single Entry],2750,Classic,118444150,5,1,250,Mon 7:00PM,7,59,59316
NBA $20K High Five [Single Entry],2750,Classic,118382226,5,1,20000,Mon 7:00PM,3643,4756,59316
NBA $40K Mid Range Jumper [Single Entry],22000,Classic,118382221,40,1,40000,Mon 7:00PM,845,1166,59316
NBA $15K Pick and Roll [Single Entry],6600,Classic,118382225,12,1,15000,Mon 7:00PM,920,1470,59316
NBA $25K Pick and Roll [Single Entry],6600,Classic,118382224,12,1,25000,Mon 7:00PM,1585,2450,59316
NBA $15K Showtime [Single Entry],55000,Classic,118382220,100,1,15000,Mon 7:00PM,154,166,59316
NBA $1.8K Showtime [Single Entry],55000,Classic,118436968,100,1,1800,Mon 7:00PM,6,20,59316
NBA $40K Showtime [Single Entry],55000,Classic,118382219,100,1,40000,Mon 7:00PM,395,444,59316
NBA Tiers $25K Zone [$5K to 1st],2750,Tiers,118382250,5,150,25000,Mon 7:00PM,4818,5945,59318
NBA Tiers $2.5K Hot Shot [3 Entry Max],1650,Tiers,118382251,3,3,2500,Mon 7:00PM,560,990,59318
NBA Tiers $350 And-One,550,Tiers,118442476,1,12,350,Mon 7:00PM,50,416,59318
NBA Tiers $6K And-One,550,Tiers,118382252,1,20,6000,Mon 7:00PM,6470,7134,59318
NBA Tiers $1.5K High Five [Single Entry],2750,Tiers,118382256,5,1,1500,Mon 7:00PM,270,356,59318
NBA Single Entry $5 Double Up,2750,Classic,118382240,5,1,10000,Mon 7:00PM,1862,2298,59316
NBA Single Entry $25 Double Up ,13750,Classic,118382236,25,1,25000,Mon 7:00PM,979,1149,59316
NBA $5 Double Up,2750,Classic,118427031,5,34,5000,Mon 7:00PM,941,1149,59316
NBA $25 Double Up,13750,Classic,118382244,25,6,5000,Mon 7:00PM,164,229,59316
NBA $100 Double Up,55000,Classic,118382233,100,2,7000,Mon 7:00PM,60,77,59316
NBA $40K Thunderdome [Single Entry],2915000,Classic,118392685,5300,1,40000,Mon 7:00PM,7,8,59316
NBA $40K Hall of Famer [$15K to 1st],1166000,Classic,118392690,2120,1,40000,Mon 7:00PM,17,20,59316
"NBA Satellite to $3,650 FBWC MEGAQual",202400,Classic,118385778,368,1,3650,Mon 7:00PM,3,11,59316
NBA $2500 MEGA Millionaire Satellite,305250,Classic,118425397,555,1,2500,Mon 7:00PM,1,5,59316
NBA $2500 MEGA Millionaire Satellite,23100,Classic,118393093,42,2,2500,Mon 7:00PM,47,69,59316
NBA $35K And-One [20 Entry Max],550,Classic,118392686,1,20,35000,Mon 7:00PM,33218,41617,59316
NBA $3K Jab Step [$1K to 1st],3300,Classic,118437662,6,17,3000,Mon 7:00PM,112,588,59316
NBA $26K Jab Step [$5K to 1st],3300,Classic,118392695,6,150,26000,Mon 7:00PM,4295,5098,59316
NBA $3K Zone,2750,Classic,118436703,5,21,3000,Mon 7:00PM,173,713,59316
NBA $22K Zone [$5K to 1st],2750,Classic,118392694,5,150,22000,Mon 7:00PM,4535,5231,59316
NBA $15K All-Star [$8K to 1st],583000,Classic,118392696,1060,1,15000,Mon 7:00PM,12,15,59316
NBA Showdown $15K Pull Up Jumper [$5K to 1st] (BOS vs CLE),5500,Showdown Captain Mode,118382262,10,52,15000,Mon 7:00PM,1267,1764,59319
NBA Showdown $2.57K Posterizer [Single Entry] (BOS vs CLE),82500,Showdown Captain Mode,118382258,150,1,2570,Mon 7:00PM,11,19,59319
NBA Showdown $1.5K Sharpshooter (BOS vs CLE),1650,Showdown Captain Mode,118382263,3,17,1500,Mon 7:00PM,321,594,59319
NBA Showdown $1K Fast Break [Single Entry] (BOS vs CLE),14850,Showdown Captain Mode,118382260,27,1,1000,Mon 7:00PM,28,43,59319
NBA Showdown $3K And-One [20 Entry Max] (BOS vs CLE),550,Showdown Captain Mode,118382264,1,20,3000,Mon 7:00PM,2819,3567,59319
NBA $120K Fadeaway [$30K to 1st] (Night),8250,Classic,118403737,15,150,120000,Mon 10:00PM,3493,9411,59324
NBA $33.4K SLAM Jam [$10K to 1st] (Night),122100,Classic,118403736,222,5,33400,Mon 10:00PM,53,167,59324
NBA $12.5K And-One (Night),550,Classic,118382308,1,20,12500,Mon 10:00PM,5807,14863,59324
NBA $6K High Five [Single Entry] (Night),2750,Classic,118382312,5,1,6000,Mon 10:00PM,420,1426,59324
NBA $6K Showtime [Single Entry] (Night),55000,Classic,118382310,100,1,6000,Mon 10:00PM,20,66,59324
NBA $10K Hot Shot [3 Entry Max],1650,Classic,118382213,3,3,10000,Mon 7:00PM,2944,3963,59316
