contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $400K Fadeaway [$100K to 1st],8250,Classic,120536582,15,150,4e+05,Tue 7:30PM,31370,31372,60676,26666.6666666667
NBA $17.5K And-One (Night),550,Classic,120581039,1,20,17500,Wed 10:00PM,31,20808,60734,17500
NBA $10K mini-MAX [150 Entry Max],1100,Classic,120520180,2,150,10000,Tue 7:30PM,5370,5945,60676,5000
NBA $25K Zone [$5K to 1st],2750,Classic,120580934,5,150,25000,Wed 7:00PM,5,5945,60725,5000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,120580937,2,150,10000,Wed 7:00PM,9,5945,60725,5000
NBA $26K Jab Step [$5K to 1st],3300,Classic,120520177,6,150,26000,Tue 7:30PM,4522,5098,60676,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,120580933,6,150,26000,Wed 7:00PM,4,5098,60725,4333.33333333333
NBA $4K And-One,550,Classic,120585175,1,20,4000,Tue 7:30PM,2447,4756,60676,4000
NBA $8K Hot Shot [3 Entry Max],1650,Classic,120520179,3,3,8000,Tue 7:30PM,3060,3170,60676,2666.66666666667
NBA $8K Hot Shot [3 Entry Max],1650,Classic,120580935,3,3,8000,Wed 7:00PM,21,3170,60725,2666.66666666667
NBA $2 Double Up,1100,Classic,120520208,2,20,5000,Tue 7:30PM,2574,2873,60676,2500
NBA $2 Double Up,1100,Classic,120580967,2,20,5000,Wed 7:00PM,26,2873,60725,2500
NBA $30K Fadeaway [$10K to 1st],8250,Classic,120586392,15,70,30000,Tue 7:30PM,1103,2352,60676,2000
NBA $6K Sharpshooter [20 Entry Max],1650,Classic,120536578,3,20,6000,Tue 7:30PM,2067,2378,60676,2000
NBA $5 Double Up,2750,Classic,120580965,5,68,10000,Wed 7:00PM,5,2298,60725,2000
NBA $8K Four Point Play (Night),2200,Classic,120581038,4,20,8000,Wed 10:00PM,2,2378,60734,2000
NBA $6K Sharpshooter [20 Entry Max],1650,Classic,120580936,3,20,6000,Wed 7:00PM,23,2378,60725,2000
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,120581021,1,20,1500,Wed 8:30PM,21,1783,60732,1500
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,120581002,1,20,1500,Wed 8:00PM,14,1783,60730,1500
NBA $10K Pull Up Jumper [$2K to 1st] (Turbo),5500,Classic,120581017,10,35,10000,Wed 8:30PM,5,1176,60732,1000
