name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
Luka Doncic,$10.4k,PG,0,DAL,PHO,14,+2.5,216,106.8,38.8,56.1,72.5,52.5,5.05
S. Curry,$10.5k,PG,1,GSW,IND,18,-12,217.5,114.8,28.0,40.9,61.0,45.0,4.29
J. Randle,$9.1k,PF,1,NY,NO,6,-4,209.5,106.8,22.0,41.4,56.3,43.5,4.78
D. Booker,$8.3k,PG/SG,2,PHO,DAL,2,-2.5,216,109.3,28.3,45.6,71.8,40.0,4.82
B. Ingram,$8.0k,SG/SF,2,NO,NY,18,+4,209.5,102.8,34.3,42.5,56.0,38.8,4.84
J. Valanciunas,$7.7k,C,2,NO,NY,5,+4,209.5,102.8,21.8,38.0,47.3,38.5,5
K. Porzingis,$7.6k,PF,0,DAL,PHO,14,+2.5,216,106.8,29.3,37.6,48.3,36.5,4.8
Chris Paul,$7.5k,PG,2,PHO,DAL,2,-2.5,216,109.3,22.5,35.5,46.5,36.0,4.8
C. LeVert,$7.9k,PG/SG,0,IND,GSW,6,+12,217.5,102.8,25.3,40.7,46.5,35.3,4.46
RJ Barrett,$7.2k,SF,1,NY,NO,8,-4,209.5,106.8,25.0,39.4,44.8,35.0,4.86
Josh Hart,$6.3k,SF,2,NO,NY,17,+4,209.5,102.8,23.5,31.6,40.8,32.0,5.08
J. Brunson,$6.5k,PG/SG,0,DAL,PHO,14,+2.5,216,106.8,19.3,33.0,44.3,31.3,4.81
M. Brogdon,$7.4k,PG,0,IND,GSW,6,+12,217.5,102.8,5.3,24.3,46.0,30.3,4.09
A. Wiggins,$6.6k,SF,1,GSW,IND,20,-12,217.5,114.8,20.5,27.1,36.5,29.8,4.51
K. Walker,$6.1k,PG,1,NY,NO,15,-4,209.5,106.8,6.0,34.1,70.8,29.5,4.84
J. McGee,$4.0k,C,2,PHO,DAL,10,-2.5,216,109.3,0.8,15.4,29.0,28.8,7.19
D. Graham Q,$5.1k,PG,2,NO,NY,13,+4,209.5,102.8,17.5,24.7,33.0,27.3,5.34
Evan Fournier,$5.5k,SG/SF,1,NY,NO,19,-4,209.5,106.8,13.3,27.3,43.5,26.3,4.77
J. Kuminga,$4.3k,PF,1,GSW,IND,7,-12,217.5,114.8,23.0,29.9,42.3,26.0,6.05
C. Duarte,$4.3k,SG/SF,0,IND,GSW,16,+12,217.5,102.8,15.3,24.9,47.8,25.8,5.99
M. Robinson,$5.2k,C,1,NY,NO,20,-4,209.5,106.8,15.5,29.1,38.5,25.0,4.81
Klay Thompson,$5.3k,SG,1,GSW,IND,21,-12,217.5,114.8,17.5,25.1,35.8,25.0,4.72
K. Looney,$4.5k,C,1,GSW,IND,17,-12,217.5,114.8,16.5,22.7,32.5,23.5,5.22
D. Finney-Smith,$4.6k,SF,0,DAL,PHO,6,+2.5,216,106.8,11.5,21.2,39.0,23.3,5.05
H. Jones,$4.4k,PF/C,2,NO,NY,3,+4,209.5,102.8,16.5,23.4,32.5,23.0,5.23
Tim Hardaway Jr.,$4.9k,SG/SF,0,DAL,PHO,9,+2.5,216,106.8,19.5,22.3,25.0,23.0,4.69
M. Bridges,$4.8k,SG/SF,2,PHO,DAL,25,-2.5,216,109.3,11.5,20.9,32.8,22.5,4.69
J. Poole,$5.4k,PG/SG,1,GSW,IND,18,-12,217.5,114.8,9.8,20.8,32.3,22.0,4.07
B. Biyombo,$4.0k,C,2,PHO,DAL,10,-2.5,216,109.3,5.3,21.1,39.0,22.0,5.5
G. Hernangomez,$4.7k,C,16,NO,NY,5,+4,209.5,102.8,3.8,16.3,24.5,21.8,4.63
J. Holiday,$4.9k,SF,0,IND,GSW,7,+12,217.5,102.8,23.0,29.0,47.0,21.8,4.44
T. Craig,$3.8k,SF/PF,0,IND,GSW,7,+12,217.5,102.8,8.3,18.0,30.0,21.8,5.72
Jae Crowder,$4.4k,PF,2,PHO,DAL,18,-2.5,216,109.3,18.8,26.6,35.3,20.0,4.55
C. Payne,$4.2k,PG/SG,2,PHO,DAL,2,-2.5,216,109.3,7.5,19.7,34.3,19.8,4.7
C. Johnson,$4.6k,SF/PF,2,PHO,DAL,16,-2.5,216,109.3,11.5,26.6,41.8,19.8,4.29
Goga Bitadze,$3.7k,C,0,IND,GSW,16,+12,217.5,102.8,0.0,9.7,34.0,19.0,5.14
N. Alexander-Walker,$3.6k,PG/SG,2,NO,NY,13,+4,209.5,102.8,7.5,16.0,21.5,18.5,5.14
Alec Burks,$6.2k,PG/SF,1,NY,NO,15,-4,209.5,106.8,4.0,24.3,41.3,18.5,2.98
J. Smith,$4.1k,PF/C,2,PHO,DAL,18,-2.5,216,109.3,0.0,11.2,18.0,18.3,4.45
Jeremy Lamb,$3.0k,SG/SF,0,IND,GSW,16,+12,217.5,102.8,2.5,14.0,32.8,18.3,6.08
O. Brissett,$3.9k,PF/C,0,IND,GSW,29,+12,217.5,102.8,8.8,15.8,23.3,18.0,4.62
