name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
N. Jokic,$11.0k,C,1,DEN,MIA,2,+1.5,204.5,101.5,46.5,55.4,65.8,54.8,4.98
Luka Doncic,$10.7k,PG/SF,1,DAL,NO,30,-8.5,214,111.3,33.0,47.3,53.5,53.0,4.95
R. Westbrook,$10.4k,PG,1,LAL,CHA,29,-2.5,227.5,115,29.8,39.3,47.3,52.3,5.02
A. Davis Q,$10.2k,PF/C,1,LAL,CHA,2,-2.5,227.5,115,5.8,40.2,65.0,51.8,5.07
S. Curry,$10.5k,PG,0,GSW,ATL,25,-3.5,222.5,113,34.8,43.0,59.8,49.5,4.71
K. Towns,$10.3k,C,2,MIN,MEM,18,+5.5,217.5,106,29.0,41.2,58.5,48.5,4.71
K. Durant,$9.9k,SF/PF,0,BKN,CHI,6,+1.5,216.5,107.5,32.8,46.3,52.0,47.5,4.8
J. Harden,$10.1k,PG,0,BKN,CHI,8,+1.5,216.5,107.5,44.0,50.5,56.5,46.3,4.58
A. Drummond,$5.7k,C,1,PHI,NY,30,+2.5,213.5,105.5,6.5,24.4,56.8,46.3,8.11
J. Randle,$9.7k,PF/C,0,NY,PHI,20,-2.5,213.5,108,23.5,41.8,58.5,43.9,4.53
Trae Young,$9.6k,PG,1,ATL,GSW,15,+3.5,222.5,109.5,31.0,42.5,53.5,43.8,4.56
Ja Morant,$9.1k,PG,2,MEM,MIN,7,-5.5,217.5,111.5,24.0,40.3,52.8,43.5,4.78
J. Butler,$9.3k,SF,1,MIA,DEN,24,-1.5,204.5,103,29.0,44.0,56.0,42.5,4.57
J. Valanciunas,$8.5k,C,2,NO,DAL,25,+8.5,214,102.8,32.3,45.5,51.5,41.8,4.91
N. Vucevic,$8.6k,C,1,CHI,BKN,1,-1.5,216.5,109,25.0,36.0,44.5,41.8,4.85
Zach LaVine,$8.6k,SG,1,CHI,BKN,28,-1.5,216.5,109,37.3,41.5,47.3,41.5,4.83
De'Aaron Fox,$8.3k,PG,0,SAC,PHO,19,+3,226,111.5,28.8,32.8,39.3,41.3,4.97
LaMelo Ball,$9.0k,PG,0,CHA,LAL,27,+2.5,227.5,112.5,38.3,47.5,56.8,40.0,4.44
M. Bridges,$7.7k,SF/PF,0,CHA,LAL,11,+2.5,227.5,112.5,21.8,41.5,56.8,39.8,5.16
D. Booker,$9.2k,PG/SG,1,PHO,SAC,26,-3,226,114.5,34.5,48.1,58.0,39.5,4.29
Chris Paul,$8.7k,PG,1,PHO,SAC,26,-3,226,114.5,29.0,44.3,53.3,39.5,4.54
Bam Adebayo,$8.1k,C,1,MIA,DEN,3,-1.5,204.5,103,29.3,39.7,57.8,39.0,4.81
C. Capela,$7.1k,C,1,ATL,GSW,7,+3.5,222.5,109.5,26.8,33.3,40.0,37.0,5.21
A. Edwards,$8.0k,SG,2,MIN,MEM,27,+5.5,217.5,106,29.3,38.0,47.3,36.5,4.56
D. DeRozan,$8.2k,PF,1,CHI,BKN,26,-1.5,216.5,109,36.8,45.3,53.0,36.3,4.42
