contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA Showdown $150K Fadeaway [$50K to 1st] (BOS vs LAC),8250,Showdown Captain Mode,120136951,15,150,150000,Wed 10:30PM,6519,11764,60520
NBA $175K Fadeaway [$50K to 1st] (Night),8250,Classic,120136714,15,150,175000,Wed 10:00PM,11014,13725,60517
NBA $75K Slam Jam Special [$20K to 1st] (Night),137500,Classic,120136711,250,10,75250,Wed 10:00PM,249,334,60517
NBA Showdown $26K Jab Step [$5K to 1st] (BOS vs LAC),3300,Showdown Captain Mode,120136953,6,150,26000,Wed 10:30PM,2310,5098,60520
NBA Showdown $26.8K Slam Jam [$5K to 1st] (BOS vs LAC),122100,Showdown Captain Mode,120136952,222,4,26800,Wed 10:30PM,58,134,60520
NBA Showdown $12.5K And-One (BOS vs LAC),550,Showdown Captain Mode,120118032,1,20,12500,Wed 10:30PM,10558,14863,60520
NBA $3K Jab Step [$1K to 1st] (Night),3300,Classic,120211467,6,17,3000,Wed 10:00PM,20,588,60517
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,120136713,6,150,26000,Wed 10:00PM,4427,5098,60517
NBA $18.4K Courtside Special [Single Entry] (Night),825000,Classic,120136712,1500,1,18400,Wed 10:00PM,9,13,60517
NBA $5K Showtime [Single Entry] (Night),55000,Classic,120211314,100,1,5000,Wed 10:00PM,4,55,60517
NBA $10K Showtime [Single Entry] (Night),55000,Classic,120118011,100,1,10000,Wed 10:00PM,100,111,60517
$2.25M Holiday Basketball Millionaire [$1M to 1st + ToC Entry],13750,Classic,120113923,25,150,2271052.63,Sat 12:00PM,187,106873,60618
NBA Tiers $12K Zone [$2K to 1st] (Night),2750,Tiers,120118021,5,85,12000,Wed 10:00PM,2238,2853,60518
NBA Tiers $200 And-One (Night),550,Tiers,120210431,1,7,200,Wed 10:00PM,75,237,60518
NBA Tiers $4K And-One (Night),550,Tiers,120118019,1,20,4000,Wed 10:00PM,4438,4756,60518
NBA Tiers $750 Pick and Roll [Single Entry] (Night),6600,Tiers,120118025,12,1,750,Wed 10:00PM,57,73,60518
NBA Tiers $1K Sharpshooter (Night),1650,Tiers,120118022,3,11,1000,Wed 10:00PM,362,396,60518
NBA $2K And-One (Night),550,Classic,120210840,1,20,2000,Wed 10:00PM,341,2378,60517
NBA $17.5K And-One (Night),550,Classic,120118009,1,20,17500,Wed 10:00PM,17436,20808,60517
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,120118008,4,20,10000,Wed 10:00PM,2085,2972,60517
NBA $10K Triple Threat (Night),18150,Classic,120118007,33,10,10000,Wed 10:00PM,271,353,60517
NBA Single Entry $5 Double Up (Night),2750,Classic,120209786,5,1,500,Wed 10:00PM,76,114,60517
NBA Showdown $5K Sharpshooter [20 Entry Max] (BOS vs LAC),1650,Showdown Captain Mode,120118031,3,20,5000,Wed 10:30PM,981,1981,60520
NBA Showdown $6K High Five [Single Entry] (BOS vs LAC),2750,Showdown Captain Mode,120118035,5,1,6000,Wed 10:30PM,689,1426,60520
NBA Showdown $3K Ankle Breaker [2 Entry Max] (BOS vs LAC),27500,Showdown Captain Mode,120118026,50,2,3000,Wed 10:30PM,38,68,60520
NBA Showdown $5K Showtime [Single Entry] (BOS vs LAC),55000,Showdown Captain Mode,120118033,100,1,5000,Wed 10:30PM,30,55,60520
NBA Showdown $3.8K 3-Ball [Single Entry] (BOS vs LAC),165000,Showdown Captain Mode,120118027,300,1,3800,Wed 10:30PM,9,14,60520
NBA $400K Fadeaway [$100K to 1st],8250,Classic,120207569,15,150,4e+05,Thu 7:00PM,190,31372,60531
