nba_id,player_name,gametime,pos,opp,sal,proj,l3,l5,ceil,lopp,opp_rank,pts,ast,reb,current_time
105351200,Luka Doncic,8:00 PM EST vs WAS,PG,WAS,$12.1K,63.9,48.5,54.8,75,69.25,25,34.1,8.7,8.7,"Wed, November 15th at 8:06 PM EST"
65276158,Joel Embiid,8:30 PM EST @ BOS,C,BOS,$11.6K,59.2,64,60.5,70.6,53,3,31.4,5.4,11.1,"Wed, November 15th at 8:06 PM EST"
95162630,Jayson Tatum,8:30 PM EST vs PHI,SF,PHI,$10.1K,52.3,47.6,48.6,61.5,49.75,22,29.8,4.1,9.3,"Wed, November 15th at 8:06 PM EST"
64832574,Anthony Davis,11:00 PM EST @ SAC,C,SAC,$10.2K,52,47.2,51.4,63.2,63.5,21,23.3,3.8,11.9,"Wed, November 15th at 8:06 PM EST"
95238871,Donovan Mitchell,11:00 PM EST vs POR,PG,POR,$9.1K,51.1,45.5,49.7,60.3,43.25,12,29.3,5.6,4.9,"Wed, November 15th at 8:06 PM EST"
65463295,Damian Lillard,8:30 PM EST vs TOR,PG,TOR,$9.0K,50,36.2,40,60.4,26,2,29.5,6.2,5.5,"Wed, November 15th at 8:06 PM EST"
70093203,Domantas Sabonis,11:00 PM EST vs LAL,C,LAL,$9.8K,50,45.4,45.7,58.5,39.25,19,18.6,7.6,12.8,"Wed, November 15th at 8:06 PM EST"
63474098,LeBron James,11:00 PM EST @ SAC,SF,SAC,$10.0K,45.9,43.2,46.5,54.4,55.25,20,23,5.2,8,"Wed, November 15th at 8:06 PM EST"
65054366,Kevin Durant,10:00 PM EST @ MIN,PF,MIN,$9.9K,45.7,53.2,48.7,54.7,32,12,27,4.1,6.3,"Wed, November 15th at 8:06 PM EST"
65387054,Devin Booker,10:00 PM EST @ MIN,PG,MIN,$10.3K,45.1,46.2,45.3,54.3,47.25,5,23.8,7.9,5.7,"Wed, November 15th at 8:06 PM EST"
190255950,Tyrese Maxey,8:30 PM EST @ BOS,PG,BOS,$9.5K,44.8,54.6,50.3,56.5,50.75,10,25,6.2,4.7,"Wed, November 15th at 8:06 PM EST"
215089723,Scottie Barnes,8:30 PM EST @ MIL,PG,MIL,$9.2K,44.3,47.8,47.5,53.4,50,29,18.3,5.1,8.8,"Wed, November 15th at 8:06 PM EST"
105365062,Trae Young,8:30 PM EST @ NYK,PG,NYK,$9.3K,43.8,49.3,47.4,53.3,43.75,6,22.5,9.4,2.7,"Wed, November 15th at 8:06 PM EST"
95176492,De'Aaron Fox,11:00 PM EST vs LAL,PG,LAL,$8.3K,43.7,42.4,43,53.2,58,22,27.2,5.3,3.3,"Wed, November 15th at 8:06 PM EST"
65234572,Nikola Vucevic,9:00 PM EST @ ORL,C,ORL,$7.8K,43.5,41,38.8,52.3,34.75,6,19.5,3.2,12,"Wed, November 15th at 8:06 PM EST"
95322043,Kyle Kuzma,8:00 PM EST @ DAL,PF,DAL,$8.1K,43.4,38.5,37.7,53.5,40.75,25,26.9,3.4,6.8,"Wed, November 15th at 8:06 PM EST"
64333542,Julius Randle,8:30 PM EST vs ATL,PF,ATL,$8.2K,43.3,44.5,39.6,52.4,45.5,27,19,5.2,10.9,"Wed, November 15th at 8:06 PM EST"
70162513,Pascal Siakam,8:30 PM EST @ MIL,PF,MIL,$8.7K,43.1,39.8,37.1,52.4,45,7,21.9,5.4,8.2,"Wed, November 15th at 8:06 PM EST"
105905680,Jalen Brunson,8:30 PM EST vs ATL,PG,ATL,$8.0K,42.1,37,35.6,52.4,45.75,9,25.9,4.9,3.8,"Wed, November 15th at 8:06 PM EST"
191558978,Anthony Edwards,10:00 PM EST vs PHX,SG,PHX,$8.9K,41.8,50.6,46.2,52.3,45,11,24.2,4.6,5.2,"Wed, November 15th at 8:06 PM EST"
215082792,Evan Mobley,11:00 PM EST vs POR,PF,POR,$7.3K,40.2,36.3,37.5,47.9,35.5,30,16.8,3,10.7,"Wed, November 15th at 8:06 PM EST"
64756333,Zach LaVine,9:00 PM EST @ ORL,SG,ORL,$7.7K,40.1,34.6,35.6,49,42.25,6,24.6,3.4,5.3,"Wed, November 15th at 8:06 PM EST"
64777126,Karl-Anthony Towns,10:00 PM EST vs PHX,PF,PHX,$7.9K,39.7,40.1,38.9,48.6,37.5,15,20.3,2.3,9.4,"Wed, November 15th at 8:06 PM EST"
269200040,Paolo Banchero,9:00 PM EST vs CHI,PF,CHI,$7.7K,39.1,41.4,37.7,46.8,36.5,18,18.7,5.1,6.7,"Wed, November 15th at 8:06 PM EST"
65283089,Jerami Grant,11:00 PM EST @ CLE,PF,CLE,$7.6K,38,41.5,34.2,47.3,31.75,17,24.7,1.9,4.9,"Wed, November 15th at 8:06 PM EST"
64839505,Jrue Holiday,8:30 PM EST vs PHI,PG,PHI,$6.9K,37.6,32.3,33.3,46.6,27.75,2,14.2,6,8,"Wed, November 15th at 8:06 PM EST"
269900071,Shaedon Sharpe,11:00 PM EST @ CLE,SG,CLE,$7.8K,37,32.6,34,46.6,4.25,7,20.3,3.5,5.5,"Wed, November 15th at 8:06 PM EST"
105337338,Deandre Ayton,11:00 PM EST @ CLE,C,CLE,$7.2K,36.5,32,33.7,45.1,38.75,23,13.2,1.5,12.7,"Wed, November 15th at 8:06 PM EST"
70453615,Dejounte Murray,8:30 PM EST @ NYK,PG,NYK,$9.1K,36.3,43.5,41.3,46.9,39.25,6,19.5,5.1,3.9,"Wed, November 15th at 8:06 PM EST"
66003913,Bradley Beal,10:00 PM EST @ MIN,PG,MIN,$7.1K,35.7,30,36.9,44.9,56,5,19.1,4,5.9,"Wed, November 15th at 8:06 PM EST"
120107299,Jordan Poole,8:00 PM EST @ DAL,PG,DAL,$6.8K,35.3,26.7,28.1,45.3,26.25,20,19.4,4.4,2.9,"Wed, November 15th at 8:06 PM EST"
64354335,D'Angelo Russell,11:00 PM EST @ SAC,PG,SAC,$7.5K,35.1,35.5,35,44,34.75,1,17.8,6.7,3.3,"Wed, November 15th at 8:06 PM EST"
