name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
J. Harden,$11.2k,PG,0,BKN,HOU,23,-3,224,113.5,43.3,53.1,65.0,59.8,5.33
N. Jokic Q,$11.9k,C,1,DEN,NO,12,-2,212.5,107.3,48.3,55.5,60.5,56.8,4.77
Joel Embiid,$11.7k,C,1,PHI,CHA,30,-6,214,110,44.3,60.3,74.8,51.8,4.42
G. Antetokounmpo,$11.6k,PF/C,1,MIL,MIA,26,-6,216.5,111.3,47.8,55.4,69.5,51.8,4.46
S. Curry,$11.4k,PG,1,GSW,POR,30,-14.5,216,115.3,23.3,45.8,62.3,51.0,4.47
Luka Doncic Q,$11.5k,PG/SF,0,DAL,MEM,3,+2.5,218,107.8,42.0,51.9,59.0,51.0,4.43
K. Towns,$10.8k,C,1,MIN,UTA,28,+6.5,220,106.8,41.0,49.5,65.5,49.8,4.61
Rudy Gobert,$8.5k,C,2,UTA,MIN,27,-6.5,220,113.3,21.5,37.4,51.0,47.5,5.59
J. Tatum,$10.6k,SF/PF,0,BOS,LAC,9,+3.5,209.5,103,32.3,49.0,55.0,46.5,4.39
N. Vucevic,$9.5k,C,1,CHI,CLE,9,+3,211,104,22.8,41.0,62.5,45.0,4.74
Paul George Q,$10.7k,SF/PF,1,LAC,BOS,7,-3.5,209.5,106.5,35.3,41.3,45.0,45.0,4.21
Zach LaVine,$10.5k,SG/SF,1,CHI,CLE,7,+3,211,104,27.0,43.4,53.0,45.0,4.29
A. Edwards,$8.4k,SG/SF,1,MIN,UTA,3,+6.5,220,106.8,30.0,39.8,46.8,43.3,5.15
D. Sabonis,$10.3k,PF/C,1,IND,NY,13,-5,209,107,22.5,46.1,65.3,42.5,4.13
M. Bridges,$8.2k,SF/PF,1,CHA,PHI,29,+6,214,104,25.5,35.8,53.0,42.0,5.12
J. Randle,$10.0k,PF/C,0,NY,IND,10,+5,209,102,27.3,43.5,56.0,42.0,4.2
P. Siakam,$8.8k,C,2,TOR,OKC,11,-7.5,206,106.8,33.8,39.3,43.0,41.5,4.72
D. Mitchell,$8.7k,PG/SG,2,UTA,MIN,9,-6.5,220,113.3,29.0,43.7,49.0,41.0,4.71
Cole Anthony,$7.6k,PG,1,ORL,SAC,18,+7,222.5,107.8,9.8,33.8,44.5,40.8,5.36
Christian Wood,$9.8k,C,2,HOU,BKN,1,+3,224,110.5,2.0,43.2,63.5,40.5,4.13
M. Brogdon,$8.5k,PG,1,IND,NY,12,-5,209,107,23.3,37.5,54.5,40.5,4.76
Bradley Beal,$8.6k,PG/SG,1,WAS,DET,29,-5,210,107.5,20.8,32.5,42.5,40.0,4.65
J. Nurkic,$6.9k,C,1,POR,GSW,14,+14.5,216,100.8,19.3,32.4,40.0,40.0,5.8
Fred VanVleet,$9.3k,PG/SG,2,TOR,OKC,25,-7.5,206,106.8,15.0,35.4,44.3,39.5,4.25
B. Ingram,$9.1k,SG,2,NO,DEN,28,+2,212.5,105.3,20.5,42.7,57.8,39.3,4.31
J. Allen,$8.2k,C,1,CLE,CHI,6,-3,211,107,39.3,46.1,53.3,39.0,4.76
T. Herro,$7.0k,PG/SG,1,MIA,MIL,14,+6,216.5,105.3,28.3,31.7,38.3,38.8,5.54
K. Porzingis,$8.1k,PF,0,DAL,MEM,4,+2.5,218,107.8,24.8,37.5,44.5,38.8,4.78
Lonzo Ball,$7.5k,PG,1,CHI,CLE,19,+3,211,104,29.3,38.0,49.0,38.3,5.1
Shai Gilgeous-Alexander,$8.6k,PG,1,OKC,TOR,11,+7.5,206,99.3,22.3,41.8,56.0,38.0,4.42
J. Grant,$7.8k,PF,1,DET,WAS,25,+5,210,102.5,21.8,39.7,52.5,37.8,4.84
De'Aaron Fox,$8.3k,PG,3,SAC,ORL,6,-7,222.5,114.8,25.0,38.6,54.5,37.3,4.49
K. Oubre Jr.,$7.5k,SG/SF,1,CHA,PHI,19,+6,214,104,31.8,40.2,58.3,37.3,4.97
W. Carter Jr.,$6.8k,PF/C,1,ORL,SAC,28,+7,222.5,107.8,28.0,34.3,40.3,37.0,5.44
J. Valanciunas,$8.4k,C,2,NO,DEN,13,+2,212.5,105.3,14.8,39.1,70.8,37.0,4.4
G. Hayward,$7.6k,SF/PF,1,CHA,PHI,29,+6,214,104,28.8,33.8,36.5,37.0,4.87
S. Barnes,$8.1k,SF/PF,2,TOR,OKC,27,-7.5,206,106.8,21.5,36.1,43.8,37.0,4.57
Kyle Lowry,$7.2k,PG,1,MIA,MIL,14,+6,216.5,105.3,20.0,33.5,44.3,36.8,5.1
Cade Cunningham,$7.6k,PG/SG,1,DET,WAS,4,+5,210,102.5,30.5,38.7,52.8,36.5,4.8
T. Harris,$7.6k,PF,1,PHI,CHA,29,-6,214,110,20.0,36.4,48.8,36.5,4.8
D. Garland,$7.7k,PG/SG,1,CLE,CHI,21,-3,211,107,25.8,40.2,59.5,35.8,4.64
PJ Washington,$6.8k,PF/C,1,CHA,PHI,22,+6,214,104,24.3,33.6,42.0,35.8,5.26
N. Powell,$4.8k,SF,1,POR,GSW,16,+14.5,216,100.8,13.5,24.8,36.3,35.5,7.4
J. Jackson Jr.,$7.0k,PF/C,1,MEM,DAL,8,-2.5,218,110.3,22.8,33.7,45.0,35.3,5.04
R. Holmes,$6.3k,C,3,SAC,ORL,23,-7,222.5,114.8,15.0,31.1,43.0,34.8,5.52
D. Brooks,$6.1k,SF,1,MEM,DAL,4,-2.5,218,110.3,18.3,28.9,40.8,34.5,5.66
Jrue Holiday,$8.3k,PG,1,MIL,MIA,13,-6,216.5,111.3,32.5,41.4,47.3,34.3,4.13
Evan Mobley,$6.4k,PF/C,1,CLE,CHI,2,-3,211,107,25.0,33.0,48.3,34.0,5.31
D. Green,$7.1k,PF/C,1,GSW,POR,1,-14.5,216,115.3,25.5,33.4,51.3,33.5,4.72
K. Middleton,$7.7k,SG/SF,1,MIL,MIA,11,-6,216.5,111.3,30.8,36.5,42.5,33.5,4.35
Jae'Sean Tate,$6.9k,SF/PF,2,HOU,BKN,1,+3,224,110.5,25.8,39.2,69.5,33.3,4.82
Al Horford,$6.8k,PF/C,0,BOS,LAC,16,+3.5,209.5,103,15.3,30.3,47.0,33.3,4.89
M. Turner,$6.1k,C,1,IND,NY,24,-5,209,107,13.0,28.5,38.0,32.3,5.29
B. Portis,$7.5k,C,1,MIL,MIA,20,-6,216.5,111.3,21.8,34.8,53.0,31.8,4.23
Tyus Jones,$5.7k,PG,1,MEM,DAL,26,-2.5,218,110.3,21.8,28.5,37.5,31.5,5.53
H. Barnes,$5.3k,SF/PF,13,SAC,ORL,13,-7,222.5,114.8,18.3,24.8,39.0,31.3,5.9
T. Haliburton,$6.0k,PG/SG,3,SAC,ORL,6,-7,222.5,114.8,8.8,31.0,51.0,31.3,5.21
D. Schroder,$6.2k,PG,0,BOS,LAC,10,+3.5,209.5,103,19.8,29.6,52.0,31.3,5.04
Alec Burks,$6.8k,PG/SF,0,NY,IND,28,+5,209,102,17.3,33.8,46.3,31.0,4.56
J. Poole,$5.9k,PG/SG,1,GSW,POR,30,-14.5,216,115.3,23.3,30.9,45.8,30.8,5.21
Gary Trent Jr.,$6.2k,SG,2,TOR,OKC,5,-7.5,206,106.8,15.0,23.9,36.8,30.8,4.96
Desmond Bane,$6.5k,PG/SG,1,MEM,DAL,26,-2.5,218,110.3,17.0,34.2,47.8,30.5,4.69
C. LeVert,$5.9k,PG/SG,1,IND,NY,12,-5,209,107,14.8,25.9,38.0,30.5,5.17
Cody Martin,$5.0k,SG/SF,1,CHA,PHI,19,+6,214,104,9.0,25.4,37.5,30.5,6.1
Will Barton Q,$6.9k,SG/SF,1,DEN,NO,17,-2,212.5,107.3,23.5,29.9,38.8,30.5,4.42
Josh Giddey,$6.6k,SG/SF,1,OKC,TOR,18,+7.5,206,99.3,19.5,29.8,40.3,30.5,4.62
Kyle Kuzma,$5.7k,SF/PF,1,WAS,DET,5,-5,210,107.5,22.0,25.6,28.3,30.3,5.31
S. Dinwiddie,$5.5k,PG,2,WAS,DET,29,-5,210,107.5,12.3,21.2,30.0,30.0,5.45
A. Gordon,$6.2k,SF/PF,1,DEN,NO,14,-2,212.5,107.3,16.5,29.1,38.3,29.8,4.8
M. Harrell,$5.1k,C,1,WAS,DET,22,-5,210,107.5,19.5,27.1,36.8,29.8,5.83
A. Wiggins,$6.3k,SG/SF,1,GSW,POR,2,-14.5,216,115.3,20.0,28.1,41.8,29.5,4.68
Mo Bamba,$6.2k,C,1,ORL,SAC,18,+7,222.5,107.8,11.3,26.6,47.8,29.5,4.76
P. Mills,$4.8k,PG/SG,0,BKN,HOU,23,-3,224,113.5,18.3,21.5,31.0,29.5,6.15
F. Wagner,$5.8k,SF/PF,1,ORL,SAC,22,+7,222.5,107.8,32.5,35.8,43.5,29.0,5
Mike Conley,$5.5k,PG,2,UTA,MIN,9,-6.5,220,113.3,10.5,29.0,48.5,29.0,5.27
R. Jackson,$6.0k,PG,1,LAC,BOS,24,-3.5,209.5,106.5,21.5,29.0,34.5,28.8,4.79
T. Maxey,$6.7k,PG,4,PHI,CHA,8,-6,214,110,15.0,28.3,35.0,28.8,4.29
I. Stewart,$5.6k,C,1,DET,WAS,29,+5,210,102.5,14.5,26.8,37.0,28.5,5.09
J. Vanderbilt,$5.3k,PF/C,1,MIN,UTA,7,+6.5,220,106.8,20.5,27.2,38.3,28.5,5.38
L. Markkanen,$5.7k,SF/PF,1,CLE,CHI,28,-3,211,107,9.3,26.0,41.5,28.5,5
S. Adams,$4.9k,C,1,MEM,DAL,17,-2.5,218,110.3,20.0,30.8,44.5,28.5,5.82
Luguentz Dort,$5.3k,SG/SF,1,OKC,TOR,18,+7.5,206,99.3,16.3,28.9,40.5,28.0,5.28
M. Smart,$5.9k,PG/SG,0,BOS,LAC,10,+3.5,209.5,103,23.5,28.4,40.0,28.0,4.75
R. Rubio,$5.4k,PG,1,CLE,CHI,21,-3,211,107,21.5,25.0,27.5,27.5,5.09
Josh Hart Q,$5.2k,SF/PF,8,NO,DEN,25,+2,212.5,105.3,15.3,28.6,37.8,27.5,5.29
C. Duarte,$4.6k,SG,1,IND,NY,8,-5,209,107,17.0,23.9,29.3,27.3,5.92
Saddiq Bey,$5.3k,SF/PF,1,DET,WAS,3,+5,210,102.5,12.0,20.1,32.3,27.0,5.09
Ayo Dosunmu,$3.9k,PG/SG,1,CHI,CLE,19,+3,211,104,2.8,12.9,31.5,26.8,6.86
RJ Barrett,$5.3k,SF,0,NY,IND,2,+5,209,102,10.0,24.2,47.8,26.5,5
R. Williams,$5.7k,C,0,BOS,LAC,26,+3.5,209.5,103,16.3,20.0,23.8,26.0,4.56
Seth Curry,$5.4k,SG,1,PHI,CHA,23,-6,214,110,16.0,25.9,33.5,25.8,4.77
D. Graham,$5.0k,PG,2,NO,DEN,2,+2,212.5,105.3,11.8,20.0,27.8,25.5,5.1
B. Hield,$5.5k,SG/SF,3,SAC,ORL,20,-7,222.5,114.8,10.5,23.2,44.5,25.5,4.64
B. Bogdanovic,$4.9k,SF/PF,2,UTA,MIN,21,-6.5,220,113.3,17.3,25.2,32.5,25.5,5.2
D. Bembry,$4.3k,SG/SF,0,BKN,HOU,26,-3,224,113.5,9.3,20.5,34.8,25.5,5.93
I. Zubac,$4.9k,C,1,LAC,BOS,19,-3.5,209.5,106.5,10.5,23.0,33.8,25.5,5.2
Eric Gordon,$5.3k,SG/SF,2,HOU,BKN,24,+3,224,110.5,16.3,27.2,36.8,25.5,4.81
D. Dedmon,$4.8k,C,1,MIA,MIL,5,+6,216.5,105.3,15.0,24.1,39.3,25.5,5.31
J. Brunson,$5.4k,PG/SG,0,DAL,MEM,3,+2.5,218,107.8,6.3,20.4,31.3,25.3,4.68
P. Beverley,$4.8k,PG,13,MIN,UTA,16,+6.5,220,106.8,1.5,26.1,38.5,24.8,5.16
M. Morris,$5.0k,PG/SG,1,DEN,NO,20,-2,212.5,107.3,21.5,28.4,37.5,24.8,4.95
Derrick Rose,$5.1k,PG/SG,0,NY,IND,28,+5,209,102,20.0,26.0,36.8,24.5,4.8
D. Melton,$4.5k,PG/SG,1,MEM,DAL,26,-2.5,218,110.3,17.8,26.3,35.0,24.3,5.39
B. Brown,$3.6k,SG/SF,0,BKN,HOU,26,-3,224,113.5,-0.5,9.9,23.5,24.0,6.67
L. Nance Jr.,$3.5k,PF/C,1,POR,GSW,9,+14.5,216,100.8,4.8,13.7,21.3,23.8,6.8
M. Morris Sr.,$4.8k,SF/PF,1,LAC,BOS,7,-3.5,209.5,106.5,14.5,27.0,35.0,23.8,4.95
D. Jones Jr.,$4.3k,SF/PF,1,CHI,CLE,23,+3,211,104,7.5,16.5,26.8,23.8,5.52
J. Johnson,$3.3k,PF,0,BKN,HOU,12,-3,224,113.5,12.0,17.9,28.0,23.8,7.2
N. Alexander-Walker,$4.6k,PG/SG,2,NO,DEN,2,+2,212.5,105.3,13.8,18.9,23.5,23.5,5.11
N. Claxton,$3.2k,C,"",BKN,HOU,7,-3,224,113.5,"","","",23.3,7.27
D. Gafford,$4.7k,C,1,WAS,DET,22,-5,210,107.5,14.5,25.2,40.0,22.8,4.84
N. Little Q,$3.4k,SF/PF,8,POR,GSW,16,+14.5,216,100.8,9.3,18.4,25.8,22.8,6.71
Rudy Gay,$4.1k,SF/PF,2,UTA,MIN,21,-6.5,220,113.3,13.0,22.6,32.3,22.8,5.55
J. Clarkson,$4.8k,PG/SG,2,UTA,MIN,9,-6.5,220,113.3,9.5,22.3,37.0,22.5,4.69
G. Mathews,$4.6k,SG/SF,2,HOU,BKN,24,+3,224,110.5,20.5,25.1,28.3,22.5,4.89
R. O'Neale,$4.3k,PF,2,UTA,MIN,18,-6.5,220,113.3,20.3,25.7,33.5,22.5,5.23
Kevin Love,$4.6k,PF/C,1,CLE,CHI,2,-3,211,107,6.5,24.8,42.5,22.5,4.89
D. Finney-Smith,$4.6k,SF/PF,0,DAL,MEM,8,+2.5,218,107.8,17.5,26.1,37.0,22.3,4.84
D. Smith Jr.,$5.8k,PG,1,POR,GSW,7,+14.5,216,100.8,4.5,24.6,41.5,22.0,3.79
D. Bazley,$3.9k,PF,1,OKC,TOR,21,+7.5,206,99.3,6.8,16.4,26.5,22.0,5.64
K. Hayes,$4.4k,PG,1,DET,WAS,4,+5,210,102.5,11.5,20.7,26.5,22.0,5
C. Boucher,$3.4k,PF/C,2,TOR,OKC,30,-7.5,206,106.8,6.5,13.4,23.0,21.8,6.4
K. Caldwell-Pope,$4.0k,SG/SF,1,WAS,DET,25,-5,210,107.5,12.3,23.8,34.5,21.8,5.44
Tim Hardaway Jr.,$5.8k,SG,0,DAL,MEM,12,+2.5,218,107.8,15.3,24.8,43.8,21.8,3.75
Jeff Green,$4.5k,SF/PF,1,DEN,NO,14,-2,212.5,107.3,15.3,23.4,34.3,21.5,4.78
P.J. Tucker,$3.2k,PF/C,1,MIA,MIL,6,+6,216.5,105.3,3.3,16.2,27.5,21.5,6.72
Evan Fournier,$4.5k,SG/SF,0,NY,IND,27,+5,209,102,11.8,21.7,28.8,21.5,4.78
Gabe Vincent,$3.8k,PG,1,MIA,MIL,14,+6,216.5,105.3,15.8,20.5,23.5,21.5,5.66
A. Sengun,$4.0k,PF/C,2,HOU,BKN,20,+3,224,110.5,16.3,20.7,26.3,21.5,5.38
M. Beasley,$4.2k,SG,1,MIN,UTA,3,+6.5,220,106.8,7.5,22.0,37.8,21.3,5.06
A. Brooks,$3.8k,PG/SG,2,HOU,BKN,15,+3,224,110.5,10.0,17.2,30.5,21.3,5.59
C. Martin Q,$3.7k,SG/SF,1,MIA,MIL,22,+6,216.5,105.3,16.8,22.6,32.3,21.3,5.74
G. Hernangomez,$4.4k,C,2,NO,DEN,13,+2,212.5,105.3,12.8,24.7,38.8,21.0,4.77
D. Robinson,$4.0k,SG/SF,1,MIA,MIL,22,+6,216.5,105.3,2.0,16.0,29.5,20.8,5.19
Luke Kennard,$4.2k,SG,1,LAC,BOS,10,-3.5,209.5,106.5,13.3,23.6,28.5,20.5,4.88
C. Thomas,$3.1k,PG/SG,"",BKN,HOU,23,-3,224,113.5,"","","",20.5,6.61
M. Robinson,$4.2k,C,0,NY,IND,8,+5,209,102,19.0,25.2,39.5,20.5,4.88
