abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
N. Jokic,Nikola Jokic,C,DEN,52.9,"$11,200",4.72,34.71,25.4,11,7.6,1.3,0.7,3.1
K. Towns,Karl-Anthony Towns,C,LAC,49.1,"$10,400",4.72,35.30,25.9,10.8,4.8,0.9,1.2,3.3
S. Curry,Stephen Curry,PG,CHA,48.6,"$10,100",4.81,34.50,32.2,5.8,5.7,1.2,0.2,3.3
L. Doncic,Luka Doncic,PG/SG,DAL,48.0,"$10,300",4.66,33.96,25.8,7.7,8.4,1.0,0.5,4.1
P. George,Paul George,SG/SF,LAC,47.2,"$10,500",4.5,35.97,26.3,8.1,5.8,1.5,0.5,3.5
K. Durant,Kevin Durant,SF/PF,ATL,47.1,"$10,800",4.36,34.11,27.1,7.6,5.0,0.9,1.2,2.9
J. Embiid,Joel Embiid,C,CHI,45.9,"$9,700",4.74,29.96,24.4,10.9,3.1,0.9,1.3,2.8
J. Harden,James Harden,SG/PG,ATL,45.2,"$9,900",4.57,35.42,20.6,7.6,9.0,1.1,0.7,3.4
J. Randle,Julius Randle,PF/C,NY,45.0,"$9,300",4.84,36.50,22.7,9.9,6.4,0.9,0.4,3.1
D. Sabonis,Domantas Sabonis,PF/C,NY,44.9,"$9,800",4.58,36.17,19.9,12.1,5.9,1.1,0.5,3.2
J. Tatum,Jayson Tatum,SF/PF,BOS,42.3,"$9,600",4.4,35.76,24.8,7.4,4.2,1.1,0.5,2.5
L. Ball,LaMelo Ball,PG,CHA,41.3,"$8,600",4.8,34.24,20.5,6.7,6.3,1.7,0.4,3.0
J. Valanciunas,Jonas Valanciunas,C,NO,40.9,"$8,800",4.65,31.74,17.3,14,2.0,0.7,1.2,1.9
J. Morant,Ja Morant,PG,DEN,40.8,"$9,500",4.3,34.41,23.7,4.4,7.7,1.0,0.2,3.3
N. Vucevic,Nikola Vucevic,C,CHI,40.6,"$8,400",4.84,35.04,18.1,10.9,3.9,1.0,0.8,1.8
D. Lillard,Damian Lillard,PG,POR,40.3,"$8,300",4.85,35.59,23.4,4.3,7.2,1.0,0.3,3.0
T. Young,Trae Young,PG,ATL,40.1,"$8,700",4.6,34.07,24.2,4,7.7,0.9,0.2,3.8
D. Fox,De'Aaron Fox,PG,NO,39.9,"$7,700",5.18,36.04,23.7,3.8,5.6,1.6,0.5,3.1
B. Beal,Bradley Beal,SG/PG,TOR,39.6,"$9,100",4.35,35.29,25.9,4.7,4.3,1.2,0.4,3.2
F. VanVleet,Fred VanVleet,SG/PG,TOR,38.8,"$8,000",4.85,35.44,17.6,4.5,7.8,1.5,0.6,2.2
A. Edwards,Anthony Edwards,SF/SG,LAC,38.2,"$7,900",4.84,35.19,23.0,6.2,3.4,1.2,0.5,2.4
M. Bamba,Mohamed Bamba,C/PF,BOS,37.8,"$6,600",5.73,32.06,15.7,10.5,1.8,0.8,2.0,1.6
D. Murray,Dejounte Murray,PG/SG,DAL,37.5,"$8,900",4.22,33.35,16.0,7.4,6.5,1.5,0.1,1.9
Z. LaVine,Zach LaVine,SG/PG,CHI,37.2,"$8,100",4.59,34.82,23.3,5,4.7,0.8,0.5,3.1
O. Anunoby,OG Anunoby,SG/SF,TOR,37.1,"$7,300",5.08,37.78,20.1,6.8,2.5,1.6,0.8,2.1
C. McCollum,C.J. McCollum,SG,POR,36.9,"$8,000",4.62,35.02,21.6,4.2,4.6,1.1,0.6,1.7
E. Mobley,Evan Mobley,C/PF,POR,36.6,"$6,600",5.55,36.06,15.5,8.8,2.5,1.0,1.9,1.9
J. Brown,Jaylen Brown,SF/SG,BOS,35.9,"$8,400",4.28,32.85,22.3,5.6,3.0,1.1,0.5,2.4
D. DeRozan,DeMar DeRozan,SG/SF,CHI,35.9,"$8,200",4.38,34.20,20.9,4.5,5.2,0.9,0.3,1.8
M. Bridges,Miles Bridges,SF,CHA,35.7,"$8,100",4.4,34.39,19.9,6.9,2.6,0.9,0.9,1.8
D. Green,Draymond Green,PF/C,CHA,34.9,"$7,400",4.72,31.03,8.5,8.1,8.2,1.5,0.9,2.8
R. Holmes,Richaun Holmes,C/PF,NO,34.6,"$7,600",4.55,31.36,14.2,9.4,1.8,0.8,1.8,1.4
R. Williams,Robert Williams,PF/C,BOS,34.1,"$6,400",5.33,29.78,8.8,10.1,2.6,1.0,2.6,1.5
C. Anthony,Cole Anthony,PG/SG,BOS,34.1,"$7,100",4.8,34.58,17.0,6,5.6,1.0,0.4,2.7
J. Allen,Jarrett Allen,C/PF,POR,34.0,"$6,700",5.07,34.19,13.4,10.7,1.9,0.7,1.5,1.7
J. Nurkic,Jusuf Nurkic,C,POR,33.9,"$7,500",4.53,28.03,11.6,10.7,3.4,1.0,1.2,2.2
H. Barnes,Harrison Barnes,SF/PF,NO,33.9,"$7,700",4.4,36.32,18.6,7.3,3.3,0.9,0.2,1.7
B. Ingram,Brandon Ingram,SF,NO,33.7,"$8,200",4.11,29.81,21.0,4.4,3.9,0.7,0.6,2.3
C. Capela,Clint Capela,C,ATL,33.3,"$6,400",5.2,30.14,11.1,11.5,1.0,0.7,2.0,1.2
S. Dinwiddie,Spencer Dinwiddie,SG/PG,TOR,33.3,"$6,900",4.82,32.56,16.4,5.1,5.9,1.1,0.3,2.3
J. Collins,John Collins,PF/C,ATL,32.7,"$6,900",4.74,31.37,16.5,8.2,1.6,0.7,1.1,1.4
A. Wiggins,Andrew Wiggins,SG/SF,CHA,32.7,"$6,300",5.18,34.00,18.2,5.3,2.4,1.0,1.1,1.8
K. Porzingis,Kristaps Porzingis,PF/C,DAL,32.2,"$7,000",4.6,28.90,15.7,8.2,1.5,0.6,1.3,1.3
C. Sexton,Collin Sexton,SG/PG,POR,32.2,"$6,400",5.03,35.02,21.9,3.4,3.2,1.1,0.2,2.5
M. Brogdon,Malcolm Brogdon,PG/SG,NY,32.1,"$8,400",3.82,30.18,18.4,4.8,4.7,0.7,0.2,1.8
M. Turner,Myles Turner,C/PF,NY,32.0,"$6,600",4.84,33.19,11.2,7.5,1.1,0.8,3.1,1.6
C. LeVert,Caris LeVert,SG/SF,NY,31.7,"$7,000",4.53,28.15,17.4,4.2,4.2,1.1,0.5,1.8
W. Carter,Wendell Carter Jr.,PF/C,BOS,31.6,"$6,400",4.94,32.93,11.8,10.2,2.6,0.9,0.9,1.7
L. Ball,Lonzo Ball,PG,CHI,31.5,"$6,000",5.26,35.23,13.4,5.4,4.9,1.5,0.7,2.3
T. Rozier,Terry Rozier,SG/PG,CHA,31.4,"$5,500",5.71,32.12,17.6,3.9,4.2,1.2,0.3,1.7
G. Hayward,Gordon Hayward,SF/SG,CHA,31.3,"$6,500",4.81,32.57,16.7,5.2,4.1,1.1,0.3,2.0
D. Garland,Darius Garland,PG/SG,POR,31.3,"$5,900",5.3,35.04,17.0,2.8,6.6,1.2,0.1,2.9
R. Jackson,Reggie Jackson,PG/SG,LAC,30.8,"$5,700",5.41,35.06,16.1,4.2,5.0,1.1,0.2,1.7
J. Jackson,Jaren Jackson Jr.,PF/C,DEN,30.1,"$6,300",4.78,30.67,14.7,5.7,1.6,0.9,1.7,1.6
D. White,Derrick White,PG/SG,DAL,30.1,"$6,100",4.93,32.17,14.5,3.3,4.8,1.0,1.0,1.6
M. Porter,Michael Porter Jr.,PF/SF,DEN,29.9,"$6,200",4.81,32.92,15.2,7.5,1.3,0.8,0.9,1.4
N. Alexander-Walker,Nickeil Alexander-Walker,SG/SF,NO,29.8,"$6,100",4.88,32.52,15.3,4.9,3.0,1.4,0.7,2.2
T. Haliburton,Tyrese Haliburton,PG/SG,NO,29.7,"$6,000",4.96,32.14,13.2,3.4,5.5,1.4,0.6,1.8
K. Kuzma,Kyle Kuzma,SF/PF,TOR,29.5,"$6,900",4.28,35.29,14.5,7.9,2.3,0.7,0.7,2.1
D. Graham,Devonte' Graham,PG/SG,NO,29.3,"$6,800",4.31,32.20,16.2,3,5.4,1.0,0.1,1.9
R. Barrett,RJ Barrett,SF/SG,NY,29.2,"$6,400",4.56,34.52,15.9,5.7,3.3,0.8,0.3,1.8
D. Melton,De'Anthony Melton,SG/PG,DEN,29.1,"$6,000",4.84,30.01,12.8,4.8,3.8,1.4,0.8,1.8
M. Harrell,Montrezl Harrell,C/PF,TOR,28.9,"$7,700",3.76,28.35,14.0,7.6,1.4,0.8,0.9,1.4
A. Horford,Al Horford,PF/C,BOS,28.9,"$7,900",3.66,27.69,11.0,7.2,3.1,0.8,1.1,1.1
K. Walker,Kemba Walker,PG,NY,28.4,"$6,000",4.73,28.56,15.6,3.5,4.3,1.0,0.3,1.8
D. Eubanks,Drew Eubanks,C/PF,DAL,28.2,"$3,700",7.63,26.71,10.5,8.2,1.8,0.7,1.6,1.7
M. Plumlee,Mason Plumlee,C,CHA,27.4,"$5,700",4.8,26.02,8.5,8.8,3.4,0.7,0.9,1.6
B. Hield,Buddy Hield,SG/SF,NO,27.1,"$6,600",4.1,29.64,15.4,4.4,3.0,0.8,0.4,1.7
K. Anderson,Kyle Anderson,SF/PF,DEN,27.0,"$5,000",5.39,25.77,11.3,5.6,3.3,1.0,0.7,1.1
J. Suggs,Jalen Suggs,PG/SG,BOS,26.5,"$5,500",4.83,30.58,13.8,3.7,4.6,1.2,0.1,2.5
G. Trent,Gary Trent Jr.,SG/SF,TOR,26.3,"$5,400",4.88,35.79,16.5,3.4,1.7,1.2,0.2,1.0
B. Bogdanovic,Bogdan Bogdanovic,SF/SG,ATL,26.3,"$5,100",5.16,30.24,13.5,3.8,3.7,1.0,0.3,1.2
K. Johnson,Keldon Johnson,PF/SF,DAL,26.1,"$5,700",4.57,28.79,14.0,5.8,2.0,0.7,0.4,1.2
J. Hart,Josh Hart,SG/SF,NO,26.1,"$5,500",4.74,32.00,9.5,8.5,2.5,1.0,0.3,1.3
T. Maxey,Tyrese Maxey,PG/SG,CHI,26.0,"$5,400",4.81,30.38,13.6,3.5,4.0,0.8,0.4,1.4
T. Mann,Terance Mann,SG/SF,LAC,26.0,"$4,700",5.53,32.15,11.5,6,3.0,0.9,0.4,1.1
J. Poole,Jordan Poole,PG/SG,CHA,26.0,"$5,200",5,29.62,15.8,2.9,3.0,0.9,0.4,1.7
