abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
J. Harden,James Harden,SG/PG,BKN,48.6,"$10,600",4.58,35.77,22.2,7.7,10.1,1.2,0.7,3.7
L. Doncic,Luka Doncic,PG/SG,BKN,48.2,"$10,300",4.68,34.65,24.9,7.6,8.8,1.2,0.5,4.1
K. Durant,Kevin Durant,SF/PF,BKN,47.4,"$10,800",4.39,36.45,27.0,7.8,5.8,0.8,1.0,3.1
J. Tatum,Jayson Tatum,SF/PF,BOS,46.9,"$9,700",4.84,35.49,29.5,7.7,4.0,1.1,0.5,2.6
L. James,LeBron James,SF/PF,BOS,45.4,"$10,500",4.32,35.85,23.5,6.4,7.8,1.3,0.6,3.2
A. Davis,Anthony Davis,PF/C,BOS,44.5,"$10,000",4.45,35.33,21.1,9.1,3.2,1.3,1.9,1.9
D. Murray,Dejounte Murray,PG/SG,NY,40.5,"$9,900",4.09,33.82,18.3,7.8,6.3,1.6,0.2,2.0
J. Randle,Julius Randle,PF/C,NY,39.2,"$8,700",4.5,35.22,19.0,9.8,5.2,0.8,0.4,3.0
R. Westbrook,Russell Westbrook,PG,BOS,39.0,"$9,500",4.11,35.26,16.6,8.3,7.7,1.3,0.3,3.9
K. Porzingis,Kristaps Porzingis,PF/C,BKN,36.5,"$8,500",4.3,31.53,18.6,8.6,1.8,0.7,1.4,1.4
R. Williams,Robert Williams,PF/C,BOS,32.3,"$6,400",5.04,27.30,10.3,9.6,2.1,0.9,2.0,1.4
J. Poeltl,Jakob Poeltl,C,NY,32.1,"$6,300",5.1,30.81,10.4,9.5,2.2,0.8,2.0,1.4
A. Horford,Al Horford,PF/C,BOS,31.8,"$6,800",4.68,29.42,13.0,7.8,3.3,0.8,1.1,1.2
A. Burks,Alec Burks,SG/SF,NY,31.0,"$6,500",4.78,35.45,16.0,6.2,3.0,1.1,0.4,1.4
D. White,Derrick White,PG,NY,29.5,"$7,800",3.78,31.95,13.6,3.6,4.5,1.0,1.1,1.5
D. Schroder,Dennis Schroder,PG/SG,BOS,29.3,"$5,200",5.64,32.41,15.6,3.7,5.4,1.1,0.2,2.7
M. Smart,Marcus Smart,SG/PG,BOS,28.9,"$5,800",4.99,32.41,12.7,3.6,5.4,1.5,0.4,1.9
L. Aldridge,LaMarcus Aldridge,C/PF,BKN,28.6,"$5,600",5.1,29.28,13.9,6.4,1.8,0.6,1.2,1.1
K. Johnson,Keldon Johnson,PF/SF,NY,26.5,"$5,400",4.9,30.80,13.4,6.6,1.9,0.8,0.4,1.3
J. Brunson,Jalen Brunson,PG/SG,BKN,26.4,"$5,300",4.98,29.63,13.9,3.9,4.6,0.8,0.0,1.5
R. Barrett,RJ Barrett,SF/SG,NY,25.8,"$5,300",4.87,32.22,14.0,5.5,2.6,0.7,0.3,1.7
I. Quickley,Immanuel Quickley,SG/PG,NY,24.8,"$5,400",4.6,29.08,14.7,3.2,3.2,0.8,0.2,1.5
D. Rose,Derrick Rose,PG/SG,NY,24.0,"$5,700",4.21,25.30,12.3,2.7,3.9,1.0,0.4,1.6
P. Mills,Patrick Mills,SG/PG,BKN,22.6,"$4,900",4.61,32.52,13.4,2.3,3.3,0.8,0.1,1.2
D. Howard,Dwight Howard,C,BOS,22.6,"$5,200",4.34,20.94,6.6,9.3,1.0,0.6,1.0,1.5
E. Fournier,Evan Fournier,SF/SG,NY,22.6,"$5,100",4.42,27.24,13.1,2.8,2.6,0.9,0.3,1.4
T. Hardaway Jr.,Tim Hardaway Jr.,SG/SF,BKN,22.0,"$5,700",3.85,27.82,14.2,3.1,1.9,0.6,0.1,0.9
C. Anthony,Carmelo Anthony,SF/PF,BOS,21.8,"$4,700",4.63,26.86,12.0,3.5,1.5,0.8,0.6,0.9
M. Robinson,Mitchell Robinson,C,NY,21.7,"$5,100",4.25,24.14,6.7,7.4,0.6,0.7,1.3,0.8
D. Finney-Smith,Dorian Finney-Smith,SF/SG,BKN,21.2,"$5,500",3.85,31.16,9.3,4.9,1.6,1.1,0.4,0.9
D. Bembry,DeAndre Bembry,SG/SF,BKN,20.3,"$4,500",4.5,28.74,7.0,4.5,2.7,1.3,0.5,1.6
T. Horton-Tucker,Talen Horton-Tucker,SG/SF,BOS,19.7,"$5,000",3.94,23.91,8.5,3.2,3.1,1.0,0.4,1.5
M. Kleber,Maxi Kleber,PF,BKN,19.2,"$4,400",4.37,26.21,7.5,5.1,1.4,0.6,0.8,0.7
M. Monk,Malik Monk,SG,BOS,18.7,"$5,500",3.39,24.74,10.3,2.8,2.4,0.7,0.2,1.3
J. Richardson,Josh Richardson,SF/SG,BOS,18.3,"$4,500",4.07,24.27,9.8,2.8,1.9,0.8,0.3,1.0
D. McDermott,Doug McDermott,PF/SF,NY,17.6,"$4,800",3.67,25.82,10.7,3.5,1.4,0.4,0.1,0.9
T. Young,Thaddeus Young,PF,NY,17.6,"$3,700",4.75,15.05,7.0,3.8,2.6,0.7,0.4,1.2
R. Bullock,Reggie Bullock,SG,BKN,16.7,"$3,700",4.51,26.94,9.0,3,1.4,0.8,0.1,0.7
