contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA Showdown $150K Fadeaway [$50K to 1st] (SAC vs LAL),8250,Showdown Captain Mode,154291864,15,150,150000,Wed 10:00PM,8980,11764,95951
NBA $60K SLAM Jam [$15K to 1st] (Night),122100,Classic,154290682,222,9,60000,Wed 10:00PM,236,300,95949
NBA Showdown $26K Jab Step [$5K to 1st] (SAC vs LAL),3300,Showdown Captain Mode,154290700,6,150,26000,Wed 10:00PM,3306,5098,95951
NBA Showdown $15K SLAM Jam [$5K to 1st] (SAC vs LAL),122100,Showdown Captain Mode,154290711,222,2,15000,Wed 10:00PM,50,75,95951
NBA $30K Jab Step [$5K to 1st] (Night),3300,Classic,154290686,6,150,30000,Wed 10:00PM,5321,5882,95949
NBA $10K Triple Threat (Night),18150,Classic,154290684,33,10,10000,Wed 10:00PM,267,353,95949
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,154290687,4,20,10000,Wed 10:00PM,2290,2972,95949
NBA $15K And-One (Night),550,Classic,154290678,1,20,15000,Wed 10:00PM,15533,17835,95949
NBA $500 And-One (Night),550,Classic,154372109,1,17,500,Wed 10:00PM,179,594,95949
NBA Tiers $8K Zone [$2K to 1st] (Night),2750,Tiers,154290699,5,57,8000,Wed 10:00PM,1510,1902,95950
NBA Tiers $750 And-One [20 Entry Max] (Night),550,Tiers,154371262,1,20,750,Wed 10:00PM,208,891,95950
NBA $11.35K Courtside Special [Single Entry] (Night),825000,Classic,154290681,1500,1,11350,Wed 10:00PM,6,8,95949
NBA $5K Pick and Roll [Single Entry] (Night),6600,Classic,154290677,12,1,5000,Wed 10:00PM,335,490,95949
NBA $3K Fadeaway [$1K to 1st] (Night),8250,Classic,154373892,15,7,3000,Wed 10:00PM,38,235,95949
NBA $4K Ankle Breaker [2 Entry Max] (Night),27500,Classic,154290683,50,2,4000,Wed 10:00PM,57,90,95949
NBA Showdown Satellite to NBA MEGA Millionaire (11-29) (SAC vs LAL),15950,Showdown Captain Mode,154301238,29,3,2500,Wed 10:00PM,24,100,95951
NBA Showdown $6K Sharpshooter [20 Entry Max] (SAC vs LAL),1650,Showdown Captain Mode,154290712,3,20,6000,Wed 10:00PM,1613,2378,95951
NBA Showdown Satellite to NBA MEGA Millionaire (11-29) (SAC vs LAL),137500,Showdown Captain Mode,154301237,250,1,2500,Wed 10:00PM,3,11,95951
NBA Showdown $3K Triple Threat [3 Entry Max] (SAC vs LAL),18150,Showdown Captain Mode,154290701,33,3,3000,Wed 10:00PM,74,106,95951
NBA Showdown $10K And-One (SAC vs LAL),550,Showdown Captain Mode,154290702,1,20,10000,Wed 10:00PM,11775,11890,95951
NBA Showdown $1K And-One (SAC vs LAL),550,Showdown Captain Mode,154371863,1,20,1000,Wed 10:00PM,207,1189,95951
NBA Showdown Satellite to NBA $1M MEGA 8's Special (SAC vs LAL),8250,Showdown Captain Mode,154301247,15,2,888,Wed 10:00PM,21,69,95951
NBA Showdown Single Entry $25 Double Up (SAC vs LAL),13750,Showdown Captain Mode,154290713,25,1,1000,Wed 10:00PM,39,45,95951
NBA Showdown Satellite to NBA $1M MEGA 8's Special (SAC vs LAL),77000,Showdown Captain Mode,154301239,140,1,888,Wed 10:00PM,2,7,95951
"NBA Showdown Satellite to $4,494 NFL Showdown MEGA Millionaire (11-20) [Must Fill] (SAC vs LAL)",872850,Showdown Captain Mode,154302529,1587,1,4494,Wed 10:00PM,2,3,95951
NBA In-Game $5K Pull Up Jumper [$1K to 1st] (2H SAC vs LAL),5500,In-Game Showdown (H2),154290714,10,17,5000,Wed 11:00PM,33,588,95953
NBA In-Game $1.53K Showtime [Single Entry] (2H SAC vs LAL),55000,In-Game Showdown (H2),154290723,100,1,1530,Wed 11:00PM,2,17,95953
NBA In-Game $1.35K 3-Ball [Single Entry] (2H SAC vs LAL),165000,In-Game Showdown (H2),154290719,300,1,1350,Wed 11:00PM,0,5,95953
NBA In-Game $300 Sharpshooter (2H SAC vs LAL),1650,In-Game Showdown (H2),154290715,3,3,300,Wed 11:00PM,17,118,95953
NBA In-Game $4K All Star [Single Entry] (Must Fill) (2H SAC vs LAL),583000,In-Game Showdown (H2),154300857,1060,1,4000,Wed 11:00PM,0,4,95953
NBA $300K Fadeaway [$100K to 1st],8250,Classic,154371424,15,150,3e+05,Thu 7:30PM,40,23529,95955
NBA $101K Money Ball [$20K to 1st],183150,Classic,154371425,333,10,101000,Thu 7:30PM,0,337,95955
NBA $60K Four Point Play [20 Entry Max],2200,Classic,154371419,4,20,60000,Thu 7:30PM,65,17835,95955
NBA $20K Mid Range Jumper [Single Entry],22000,Classic,154355641,40,1,20000,Thu 7:30PM,0,583,95955
NBA $10K Mid Range Jumper [Single Entry],22000,Classic,154355642,40,1,10000,Thu 7:30PM,0,291,95955
