abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
L. Doncic,Luka Doncic,PG/SG,DAL,55.1,"$11,500",4.79,36.01,30.5,8.6,8.8,1.2,0.6,4.3
J. Embiid,Joel Embiid,C,BOS,55.0,"$11,600",4.74,32.83,30.6,12.2,4.1,0.9,1.3,3.0
G. Antetokounmpo,Giannis Antetokounmpo,PF/SF,IND,54.2,"$11,400",4.75,33.08,28.8,10.2,6.1,1.1,1.2,2.9
K. Towns,Karl-Anthony Towns,C,CHA,48.3,"$9,900",4.88,33.81,26.3,10.2,4.5,0.9,1.1,3.0
B. Adebayo,Bam Adebayo,C/PF,DAL,47.9,"$9,500",5.04,36.01,22.1,11.8,4.9,1.3,1.1,2.9
T. Young,Trae Young,PG,CLE,47.6,"$10,200",4.67,35.92,28.5,4.2,9.7,1.0,0.2,4.1
J. Butler,Jimmy Butler,SF/SG,DAL,45.6,"$8,900",5.12,35.91,22.1,6.9,6.8,1.9,0.5,2.2
J. Tatum,Jayson Tatum,SF/PF,BOS,44.4,"$10,100",4.4,37.58,24.9,8.5,4.6,1.1,0.6,2.7
L. Ball,LaMelo Ball,PG,CHA,44.4,"$8,700",5.1,34.44,22.3,6.8,7.2,1.7,0.4,3.2
T. Haliburton,Tyrese Haliburton,PG/SG,IND,41.6,"$9,000",4.62,39.05,18.8,4.1,8.7,1.8,0.6,2.4
D. Booker,Devin Booker,SG,LAC,40.6,"$8,800",4.61,36.60,26.2,5,4.9,1.0,0.3,2.9
J. Brown,Jaylen Brown,SF/SG,BOS,40.0,"$8,200",4.88,36.59,23.9,6.9,3.7,1.2,0.5,2.8
C. Paul,Chris Paul,PG,LAC,39.9,"$9,600",4.16,33.82,15.2,4.7,10.5,1.6,0.3,2.4
A. Edwards,Anthony Edwards,SF/SG,CHA,38.7,"$8,400",4.61,34.81,24.1,5,3.6,1.3,0.6,2.5
T. Rozier,Terry Rozier,SG/PG,CHA,38.3,"$7,500",5.11,36.65,20.9,4.5,5.8,1.3,0.4,1.8
D. Garland,Darius Garland,SG/PG,CLE,37.9,"$7,700",4.92,35.92,20.8,3,8.3,1.3,0.1,3.2
J. Holiday,Jrue Holiday,PG/SG,IND,37.1,"$8,300",4.47,33.16,18.1,4.3,6.7,1.5,0.5,2.2
M. Bridges,Miles Bridges,SF,CHA,36.9,"$7,400",4.98,36.86,20.0,7,3.1,1.0,0.9,1.9
J. Valanciunas,Jonas Valanciunas,C,MEM,36.7,"$6,700",5.48,31.90,16.6,11.6,2.4,0.6,1.0,2.2
B. Ingram,Brandon Ingram,SF,MEM,36.7,"$7,800",4.71,34.90,21.4,5.3,5.3,0.7,0.5,2.6
K. Middleton,Khris Middleton,SF/SG,IND,36.7,"$7,600",4.82,34.08,19.8,5.5,5.7,1.2,0.2,2.5
D. Russell,D'Angelo Russell,SG/PG,CHA,36.0,"$7,900",4.55,31.83,19.3,3.3,7.2,1.1,0.4,2.6
C. LeVert,Caris LeVert,SG/SF,CLE,35.5,"$8,500",4.18,31.85,20.1,4.3,4.7,1.2,0.5,1.9
C. McCollum,C.J. McCollum,SG,MEM,35.3,"$7,800",4.53,34.90,20.1,4.2,5.0,1.0,0.5,1.8
J. Jackson,Jaren Jackson Jr.,PF/C,MEM,35.2,"$7,900",4.46,29.96,17.9,6.6,1.4,1.0,2.1,2.0
